row,col
9,0
29,0
39,0
4,1
31,1
44,1
15,2
17,2
38,2
11,3
21,3
37,3
14,4
18,4
46,4
1,5
16,5
33,5
8,6
23,6
41,6
0,7
28,7
32,7
3,8
26,8
35,8
2,9
25,9
34,9
10,10
30,10
42,10
6,11
20,11
43,11
7,12
19,12
47,12
13,13
22,13
45,13
5,14
27,14
36,14
12,15
24,15
40,15
13,16
31,16
42,16
4,17
22,17
36,17
1,18
30,18
35,18
0,19
27,19
33,19
6,20
24,20
46,20
9,21
20,21
32,21
14,22
29,22
34,22
15,23
25,23
47,23
2,24
21,24
45,24
11,25
19,25
40,25
7,26
17,26
37,26
3,27
18,27
44,27
5,28
23,28
39,28
8,29
26,29
38,29
12,30
16,30
41,30
10,31
28,31
43,31
7,32
23,32
33,32
5,33
24,33
35,33
8,34
18,34
42,34
0,35
19,35
45,35
13,36
26,36
41,36
6,37
21,37
38,37
12,38
17,38
34,38
3,39
25,39
39,39
15,40
28,40
37,40
14,41
20,41
47,41
10,42
22,42
44,42
2,43
16,43
46,43
4,44
27,44
43,44
11,45
31,45
32,45
1,46
29,46
40,46
9,47
30,47
36,47
9,48
17,48
35,48
3,49
22,49
43,49
8,50
28,50
39,50
1,51
26,51
37,51
7,52
29,52
41,52
11,53
27,53
42,53
10,54
19,54
36,54
0,55
18,55
34,55
14,56
30,56
38,56
15,57
31,57
40,57
4,58
25,58
32,58
2,59
24,59
44,59
12,60
20,60
33,60
13,61
23,61
47,61
6,62
16,62
45,62
5,63
21,63
46,63
6,64
26,64
39,64
10,65
17,65
32,65
1,66
31,66
34,66
9,67
27,67
46,67
4,68
23,68
40,68
11,69
24,69
36,69
2,70
18,70
38,70
13,71
30,71
43,71
15,72
29,72
33,72
12,73
19,73
37,73
8,74
21,74
35,74
5,75
16,75
44,75
3,76
20,76
41,76
14,77
28,77
45,77
7,78
25,78
42,78
0,79
22,79
47,79
0,80
24,80
41,80
14,81
21,81
39,81
7,82
20,82
40,82
8,83
17,83
46,83
5,84
26,84
42,84
10,85
29,85
45,85
6,86
30,86
34,86
4,87
19,87
35,87
13,88
16,88
37,88
15,89
27,89
44,89
3,90
31,90
36,90
12,91
22,91
32,91
11,92
25,92
43,92
2,93
28,93
47,93
1,94
23,94
38,94
9,95
18,95
33,95
