analysis_method,checkpoint,output_node,reference,intercept,top_grad_dim_1,top_grad_1,top_grad_dim_2,top_grad_2,top_grad_dim_3,top_grad_3
deep_reldec_z1,checkpoint_final.npz,51,x0=ones,5.3812055587768555,9,0.7551205158233643,7,0.4522305428981781,3,0.4436022937297821
deep_reldec_z1,checkpoint_final.npz,51,x0=zeros,11.96822738647461,7,-2.1672725677490234,3,-2.0612716674804688,1,-2.0032052993774414
deep_reldec_z1,checkpoint_final.npz,55,x0=ones,6.166367530822754,5,-0.6737058758735657,0,0.4804956912994385,9,0.46756836771965027
deep_reldec_z1,checkpoint_final.npz,55,x0=zeros,11.927103996276855,7,-2.1907386779785156,1,-2.0133070945739746,10,-1.9965988397598267
deep_reldec_z1,checkpoint_final.npz,91,x0=ones,5.891889572143555,5,-0.577511727809906,9,0.49413320422172546,3,0.43877801299095154
deep_reldec_z1,checkpoint_final.npz,91,x0=zeros,11.9451265335083,7,-2.868992567062378,6,-2.3936593532562256,9,-2.1768250465393066
deep_reldec_z1_eps06const,checkpoint_final.npz,20,x0=ones,5.481540679931641,0,1.255470633506775,10,-1.0789953470230103,9,0.7841086983680725
deep_reldec_z1_eps06const,checkpoint_final.npz,20,x0=zeros,12.05319881439209,5,-4.078291893005371,7,-2.862696647644043,4,-2.7897183895111084
deep_reldec_z1_eps06const,checkpoint_final.npz,55,x0=ones,5.710420608520508,10,-1.295243263244629,0,1.1478557586669922,9,0.8352898955345154
deep_reldec_z1_eps06const,checkpoint_final.npz,55,x0=zeros,12.154054641723633,5,-3.9880199432373047,7,-2.966593027114868,8,-2.8521978855133057
deep_reldec_z1_eps06const,checkpoint_final.npz,121,x0=ones,5.3332839012146,0,1.2412742376327515,10,-1.1249053478240967,9,1.0210895538330078
deep_reldec_z1_eps06const,checkpoint_final.npz,121,x0=zeros,12.017566680908203,5,-3.7349820137023926,4,-3.0711169242858887,7,-2.890044689178467
deep_reldec_z2,checkpoint_final.npz,32,x0=ones,5.543529510498047,18,0.82179856300354,14,0.6046113967895508,8,0.5745347738265991
deep_reldec_z2,checkpoint_final.npz,32,x0=zeros,10.865087509155273,4,-1.6331405639648438,20,-1.2839303016662598,8,-1.2797049283981323
deep_reldec_z2,checkpoint_final.npz,34,x0=ones,5.510575771331787,18,0.8938279151916504,8,0.5830597281455994,14,0.5324377417564392
deep_reldec_z2,checkpoint_final.npz,34,x0=zeros,10.812695503234863,4,-1.8731780052185059,19,-1.3403316736221313,7,-1.3281989097595215
deep_reldec_z2,checkpoint_final.npz,56,x0=ones,5.623418807983398,18,0.9540761113166809,8,0.5531004071235657,14,0.5042468309402466
deep_reldec_z2,checkpoint_final.npz,56,x0=zeros,10.842202186584473,4,-1.622976541519165,7,-1.2519925832748413,17,-1.2377755641937256
deep_reldec_z2_eps06const,checkpoint_final.npz,3,x0=ones,6.304890155792236,13,-0.6724482774734497,11,0.6464489698410034,18,0.6274490356445312
deep_reldec_z2_eps06const,checkpoint_final.npz,3,x0=zeros,11.159154891967773,7,-1.3701249361038208,18,-1.369754672050476,21,-1.3415242433547974
deep_reldec_z2_eps06const,checkpoint_final.npz,31,x0=ones,5.990479469299316,11,0.6325860023498535,13,-0.457798570394516,17,0.4535994231700897
deep_reldec_z2_eps06const,checkpoint_final.npz,31,x0=zeros,11.080709457397461,18,-1.4125525951385498,7,-1.2824581861495972,21,-1.242896556854248
deep_reldec_z2_eps06const,checkpoint_final.npz,57,x0=ones,6.373509407043457,13,-0.711755633354187,8,-0.6671806573867798,18,0.6186621785163879
deep_reldec_z2_eps06const,checkpoint_final.npz,57,x0=zeros,11.135366439819336,18,-1.4717882871627808,7,-1.384201169013977,3,-1.2813326120376587
