method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only,checkpoint,analysis_method,episodes_completed,reused_from_cache
deep_reldec_z1,3.0,266,271,20,0.0026531171679197,0.075187969924812,3546.9473684210525,2.736842105263158,246,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000050.npz,deep_reldec_z1,50,True
deep_reldec_z1,3.0,800,66,6,0.00021484375,0.0075,2577.42,1.98875,794,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000150.npz,deep_reldec_z1,150,False
deep_reldec_z1,3.0,800,103,9,0.0003352864583333,0.01125,2548.26,1.96625,791,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000250.npz,deep_reldec_z1,250,False
deep_reldec_z1,3.0,800,136,10,0.0004427083333333,0.0125,2523.96,1.9475,790,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000400.npz,deep_reldec_z1,400,False
deep_reldec_z1,3.0,800,136,10,0.0004427083333333,0.0125,2601.72,2.0075,790,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000500.npz,deep_reldec_z1,500,False
deep_reldec_z1,3.0,800,112,11,0.0003645833333333,0.01375,2613.06,2.01625,789,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000600.npz,deep_reldec_z1,600,True
deep_reldec_z1,3.0,800,104,7,0.0003385416666666,0.00875,2498.04,1.9275,793,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000750.npz,deep_reldec_z1,750,False
deep_reldec_z1,3.0,800,130,9,0.0004231770833333,0.01125,2637.36,2.035,791,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000850.npz,deep_reldec_z1,850,False
deep_reldec_z1,3.0,800,95,7,0.0003092447916666,0.00875,2493.18,1.92375,793,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000950.npz,deep_reldec_z1,950,False
deep_reldec_z1,3.0,800,128,10,0.0004166666666666,0.0125,2561.22,1.97625,790,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_final.npz,deep_reldec_z1,1000,True
deep_reldec_z1,3.0,266,300,20,0.0029370300751879,0.075187969924812,3668.751879699248,2.830827067669173,246,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,800,True,checkpoint_ep000050.npz,deep_reldec_z1_eps06const,50,True
