method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,1.0,3,82,3,0.07118055555555555,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,1.0,4,91,3,0.059244791666666664,0.75,6480.0,5.0,1,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,1.0,3,101,3,0.0876736111111111,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,1.0,3,108,3,0.09375,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
deep_reldec_z1,1.0,3,82,3,0.07118055555555555,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,2.0,3,63,3,0.0546875,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,2.0,7,28,3,0.010416666666666666,0.42857142857142855,5924.571428571428,4.571428571428571,4,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,2.0,4,39,3,0.025390625,0.75,5184.0,4.0,2,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,2.0,10,69,3,0.01796875,0.3,4795.2,3.7,7,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
deep_reldec_z1,2.0,7,51,3,0.018973214285714284,0.42857142857142855,5739.428571428572,4.428571428571429,4,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,3.0,8,12,3,0.00390625,0.375,5508.0,4.25,5,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,3.0,30,13,2,0.0011284722222222221,0.06666666666666667,3240.0,2.5,28,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,3.0,21,49,3,0.006076388888888889,0.14285714285714285,3456.0,2.6666666666666665,18,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,3.0,30,0,0,0.0,0.0,2678.4,2.066666666666667,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
deep_reldec_z1,3.0,30,0,0,0.0,0.0,3412.8,2.6333333333333333,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,4.0,30,4,2,0.00034722222222222224,0.06666666666666667,3499.2,2.7,28,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,4.0,30,7,1,0.0006076388888888889,0.03333333333333333,2332.8,1.8,29,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,4.0,30,0,0,0.0,0.0,2030.4,1.5666666666666667,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,4.0,30,0,0,0.0,0.0,1555.2,1.2,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
deep_reldec_z1,4.0,30,0,0,0.0,0.0,2419.2,1.8666666666666667,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,5.0,30,0,0,0.0,0.0,1987.2,1.5333333333333334,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,5.0,30,0,0,0.0,0.0,1468.8,1.1333333333333333,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,5.0,30,0,0,0.0,0.0,1684.8,1.3,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,5.0,30,0,0,0.0,0.0,1296.0,1.0,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
deep_reldec_z1,5.0,30,0,0,0.0,0.0,1728.0,1.3333333333333333,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
