method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,1.0,3,82,3,0.07118055555555555,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,1.0,4,91,3,0.059244791666666664,0.75,6480.0,5.0,1,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,1.0,3,101,3,0.0876736111111111,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,1.0,3,108,3,0.09375,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_naive_z2,1.0,3,82,3,0.07118055555555555,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_dqn_z2,1.0,3,119,3,0.1032986111111111,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,2.0,4,32,3,0.020833333333333332,0.75,6480.0,5.0,1,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,2.0,4,35,3,0.022786458333333332,0.75,6480.0,5.0,1,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,2.0,7,49,3,0.018229166666666668,0.42857142857142855,4998.857142857143,3.857142857142857,4,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,2.0,5,64,3,0.03333333333333333,0.6,5443.2,4.2,2,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_naive_z2,2.0,6,53,3,0.023003472222222224,0.5,5400.0,4.166666666666667,3,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_dqn_z2,2.0,3,59,3,0.051215277777777776,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,3.0,17,16,3,0.0024509803921568627,0.17647058823529413,4879.058823529412,3.764705882352941,14,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,3.0,30,1,1,8.680555555555556e-05,0.03333333333333333,3715.2,2.8666666666666667,29,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,3.0,12,49,3,0.010633680555555556,0.25,4212.0,3.25,9,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,3.0,30,0,0,0.0,0.0,2592.0,2.0,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_naive_z2,3.0,30,7,1,0.0006076388888888889,0.03333333333333333,3283.2,2.533333333333333,29,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_dqn_z2,3.0,11,47,3,0.01112689393939394,0.2727272727272727,4123.636363636364,3.1818181818181817,8,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,4.0,30,0,0,0.0,0.0,3369.6,2.6,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,4.0,30,0,0,0.0,0.0,2030.4,1.5666666666666667,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,4.0,30,0,0,0.0,0.0,2073.6,1.6,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,4.0,30,0,0,0.0,0.0,1641.6,1.2666666666666666,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_naive_z2,4.0,30,0,0,0.0,0.0,2462.4,1.9,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_dqn_z2,4.0,30,0,0,0.0,0.0,2203.2,1.7,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
flooding,5.0,30,0,0,0.0,0.0,2160.0,1.6666666666666667,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
random,5.0,30,0,0,0.0,0.0,1598.4,1.2333333333333334,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
round_robin,5.0,30,0,0,0.0,0.0,1512.0,1.1666666666666667,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
reldec,5.0,30,0,0,0.0,0.0,1425.6,1.1,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_naive_z2,5.0,30,0,0,0.0,0.0,1857.6,1.4333333333333333,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
mi_dqn_z2,5.0,30,0,0,0.0,0.0,1555.2,1.2,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,3,30,True
