method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,4.0,10000,446,158,0.00011614583333333334,0.0158,3339.2736,2.5766,9842,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
random,4.0,10000,349,31,9.088541666666667e-05,0.0031,2234.4336,1.7241,9969,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
round_robin,4.0,10000,261,19,6.796875e-05,0.0019,2248.3008,1.7348,9981,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
reldec,4.0,10000,16,1,4.166666666666667e-06,0.0001,1653.4368,1.2758,9999,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
mi_naive_z2,4.0,10000,333,28,8.671875e-05,0.0028,2423.0016,1.8696,9972,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
flooding,5.0,10000,8,3,2.0833333333333334e-06,0.0003,2195.9424,1.6944,9997,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
random,5.0,10000,3,2,7.8125e-07,0.0002,1552.0896,1.1976,9998,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
round_robin,5.0,10000,0,0,0.0,0.0,1593.5616,1.2296,10000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
reldec,5.0,10000,0,0,0.0,0.0,1378.0368,1.0633,10000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
mi_naive_z2,5.0,10000,4,1,1.0416666666666667e-06,0.0001,1675.8576,1.2931,9999,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
flooding,5.5,10000,3,1,7.8125e-07,0.0001,1812.5856,1.3986,9999,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
random,5.5,10000,0,0,0.0,0.0,1404.9936,1.0841,10000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
round_robin,5.5,10000,0,0,0.0,0.0,1433.5056,1.1061,10000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
reldec,5.5,10000,0,0,0.0,0.0,1331.2512,1.0272,10000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
mi_naive_z2,5.5,10000,1,1,2.604166666666667e-07,0.0001,1474.4592,1.1377,9999,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
