method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,1.0,300,9168,300,0.07958333333333334,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
random,1.0,306,9310,300,0.07923134531590414,0.9803921568627451,6467.294117647059,4.990196078431373,6,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
round_robin,1.0,300,9374,300,0.08137152777777777,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
reldec,1.0,313,9065,300,0.07542099307774228,0.9584664536741214,6405.4696485623,4.942492012779553,13,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
mi_naive_z2,1.0,305,9132,300,0.07797131147540984,0.9836065573770492,6467.252459016393,4.99016393442623,5,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
flooding,2.0,355,4073,300,0.029878227699530517,0.8450704225352113,6363.177464788732,4.909859154929578,55,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
random,2.0,450,4875,300,0.028211805555555556,0.6666666666666666,5929.92,4.575555555555556,150,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
round_robin,2.0,547,4873,300,0.02319945917123705,0.5484460694698354,5669.703839122486,4.374771480804387,248,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
reldec,2.0,853,5642,300,0.01722474599452911,0.3516998827667057,4600.572098475967,3.5498241500586167,553,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
mi_naive_z2,2.0,451,4852,300,0.028016444937176643,0.6651884700665188,5905.2771618625275,4.556541019955654,151,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
flooding,3.0,1184,1856,300,0.004082207207207207,0.2533783783783784,5204.7972972972975,4.016047297297297,884,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
random,3.0,3763,3350,300,0.002318351935512446,0.07972362476747276,3708.9088493223494,2.8618123837363805,3463,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
round_robin,3.0,4241,3475,300,0.0021338078676412797,0.07073803348266919,3588.8290497524167,2.7691582174015563,3941,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
reldec,3.0,10000,677,52,0.00017630208333333332,0.0052,2397.9888,1.8503,9948,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
mi_naive_z2,3.0,3503,3508,300,0.0026078837187172898,0.08564087924636027,3859.882386525835,2.978304310590922,3204,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
