method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
mi_naive_z2,1.0,60,1904,60,0.08263888888888889,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_dqn_z2,1.0,60,1770,60,0.07682291666666667,1.0,6480.0,5.0,0,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_naive_z2,2.0,90,1042,60,0.030150462962962962,0.6666666666666666,6048.0,4.666666666666667,30,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_dqn_z2,2.0,100,953,60,0.024817708333333334,0.6,5676.48,4.38,40,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_naive_z2,3.0,871,744,60,0.0022244546498277843,0.06888633754305395,3804.6750861079217,2.935706084959816,811,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_dqn_z2,3.0,744,708,60,0.0024781586021505376,0.08064516129032258,3706.8387096774195,2.860215053763441,684,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_naive_z2,4.0,3000,56,6,4.861111111111111e-05,0.002,2430.0,1.875,2994,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_dqn_z2,4.0,3000,17,5,1.4756944444444445e-05,0.0016666666666666668,2225.232,1.717,2995,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_naive_z2,5.0,3000,2,1,1.7361111111111112e-06,0.0003333333333333333,1679.184,1.2956666666666667,2999,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_dqn_z2,5.0,3000,0,0,0.0,0.0,1573.344,1.214,3000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_naive_z2,5.5,3000,0,0,0.0,0.0,1471.392,1.1353333333333333,3000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
mi_dqn_z2,5.5,3000,0,0,0.0,0.0,1402.272,1.082,3000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True
