method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,2.0,3,35,2,0.030381944444444444,0.6666666666666666,6480.0,5.0,1,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
random,2.0,4,10,2,0.006510416666666667,0.5,4860.0,3.75,2,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
round_robin,2.0,2,12,2,0.015625,1.0,6480.0,5.0,0,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
reldec,2.0,4,47,2,0.030598958333333332,0.5,5832.0,4.5,2,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
flooding,2.5,4,35,2,0.022786458333333332,0.5,5508.0,4.25,2,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
random,2.5,7,25,2,0.009300595238095238,0.2857142857142857,4813.714285714285,3.7142857142857144,5,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
round_robin,2.5,7,6,2,0.002232142857142857,0.2857142857142857,4258.285714285715,3.2857142857142856,5,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
reldec,2.5,11,23,2,0.005445075757575758,0.18181818181818182,4359.272727272727,3.3636363636363638,9,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
flooding,3.0,4,16,2,0.010416666666666666,0.5,5184.0,4.0,2,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
random,3.0,8,13,2,0.004231770833333333,0.25,3888.0,3.0,6,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
round_robin,3.0,15,2,1,0.00034722222222222224,0.06666666666666667,3369.6,2.6,14,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
reldec,3.0,15,0,0,0.0,0.0,3110.4,2.4,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
flooding,4.0,15,0,0,0.0,0.0,3888.0,3.0,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
random,4.0,15,0,0,0.0,0.0,2246.4,1.7333333333333334,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
round_robin,4.0,15,0,0,0.0,0.0,2332.8,1.8,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
reldec,4.0,15,0,0,0.0,0.0,2073.6,1.6,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
flooding,5.0,15,0,0,0.0,0.0,2073.6,1.6,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
random,5.0,15,0,0,0.0,0.0,1555.2,1.2,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
round_robin,5.0,15,0,0,0.0,0.0,1555.2,1.2,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
reldec,5.0,15,0,0,0.0,0.0,1555.2,1.2,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,2,15,True
