method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,2.0,356,910,20,0.005112359550561798,0.056179775280898875,18117.977528089887,12.07865168539326,336,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,2.0,400,656,13,0.00328,0.0325,11205.0,7.47,387,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,2.0,400,291,8,0.001455,0.02,10091.25,6.7275,392,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,2.0,355,985,20,0.005549295774647888,0.056338028169014086,11492.957746478873,7.661971830985915,335,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,2.5,400,113,3,0.000565,0.0075,10616.25,7.0775,397,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,2.5,400,0,0,0.0,0.0,6390.0,4.26,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,2.5,400,43,1,0.000215,0.0025,6412.5,4.275,399,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,2.5,400,0,0,0.0,0.0,5988.75,3.9925,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,3.0,400,0,0,0.0,0.0,7556.25,5.0375,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,3.0,400,0,0,0.0,0.0,4721.25,3.1475,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,3.0,400,0,0,0.0,0.0,4980.0,3.32,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,3.0,400,0,0,0.0,0.0,4342.5,2.895,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,3.25,400,0,0,0.0,0.0,6896.25,4.5975,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,3.25,400,0,0,0.0,0.0,4500.0,3.0,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,3.25,400,0,0,0.0,0.0,4260.0,2.84,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,3.25,400,0,0,0.0,0.0,3881.25,2.5875,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,3.5,400,0,0,0.0,0.0,6311.25,4.2075,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,3.5,400,0,0,0.0,0.0,3948.75,2.6325,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,3.5,400,0,0,0.0,0.0,3948.75,2.6325,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,3.5,400,0,0,0.0,0.0,3585.0,2.39,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
