method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,2.0,400,371,8,0.001855,0.02,14565.0,9.71,392,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,2.0,400,669,14,0.003345,0.035,11610.0,7.74,386,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,2.0,400,559,10,0.002795,0.025,10470.0,6.98,390,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,2.0,400,588,11,0.00294,0.0275,10226.25,6.8175,389,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,2.5,400,94,2,0.00047,0.005,10466.25,6.9775,398,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,2.5,400,0,0,0.0,0.0,6375.0,4.25,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,2.5,400,37,1,0.000185,0.0025,6153.75,4.1025,399,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,2.5,400,0,0,0.0,0.0,5842.5,3.895,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,3.0,400,0,0,0.0,0.0,8088.75,5.3925,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,3.0,400,0,0,0.0,0.0,4875.0,3.25,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,3.0,400,0,0,0.0,0.0,4796.25,3.1975,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,3.0,400,0,0,0.0,0.0,4342.5,2.895,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,4.0,400,0,0,0.0,0.0,5088.75,3.3925,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,4.0,400,0,0,0.0,0.0,3446.25,2.2975,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,4.0,400,0,0,0.0,0.0,3367.5,2.245,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,4.0,400,0,0,0.0,0.0,3075.0,2.05,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
flooding,5.0,400,0,0,0.0,0.0,3648.75,2.4325,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
random,5.0,400,0,0,0.0,0.0,2542.5,1.695,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
reldec,5.0,400,0,0,0.0,0.0,2505.0,1.67,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
round_robin,5.0,400,0,0,0.0,0.0,2347.5,1.565,400,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,20,400,True
