method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,2.0,22,234,20,0.027698863636363636,0.9090909090909091,6303.272727272727,4.863636363636363,2,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
random,2.0,32,307,20,0.024983723958333332,0.625,5913.0,4.5625,12,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
reldec,2.0,30,305,20,0.026475694444444444,0.6666666666666666,6004.8,4.633333333333334,10,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
round_robin,2.0,35,337,20,0.025074404761904763,0.5714285714285714,5850.5142857142855,4.514285714285714,15,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
flooding,2.5,41,157,20,0.009972052845528455,0.4878048780487805,5816.195121951219,4.487804878048781,21,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
random,2.5,46,273,20,0.01545516304347826,0.43478260869565216,5296.695652173913,4.086956521739131,26,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
reldec,2.5,81,191,20,0.0061406893004115224,0.24691358024691357,4720.0,3.6419753086419755,61,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
round_robin,2.5,67,245,20,0.009522699004975124,0.29850746268656714,5087.2835820895525,3.925373134328358,47,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
flooding,3.0,60,109,20,0.0047309027777777775,0.3333333333333333,5011.2,3.8666666666666667,40,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
random,3.0,294,181,20,0.0016032454648526077,0.06802721088435375,3689.6326530612246,2.8469387755102042,274,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
reldec,3.0,274,214,20,0.002033911192214112,0.072992700729927,3561.6350364963505,2.7481751824817517,254,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
round_robin,3.0,150,204,20,0.0035416666666666665,0.13333333333333333,4017.6,3.1,130,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
flooding,4.0,400,32,9,0.00020833333333333335,0.0225,3217.32,2.4825,391,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
random,4.0,400,5,1,3.255208333333333e-05,0.0025,2303.64,1.7775,399,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
reldec,4.0,400,0,0,0.0,0.0,2080.08,1.605,400,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
round_robin,4.0,400,0,0,0.0,0.0,2148.12,1.6575,400,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
flooding,5.0,400,0,0,0.0,0.0,2255.04,1.74,400,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
random,5.0,400,0,0,0.0,0.0,1577.88,1.2175,400,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
reldec,5.0,400,17,1,0.00011067708333333333,0.0025,1493.64,1.1525,399,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
round_robin,5.0,400,0,0,0.0,0.0,1597.32,1.2325,400,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,20,400,True
