method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,2.0,200,217,5,0.00217,0.025,15547.5,10.365,195,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
random,2.0,200,389,8,0.00389,0.04,12202.5,8.135,192,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
reldec,2.0,200,122,2,0.00122,0.01,9015.0,6.01,198,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
round_robin,2.0,200,267,5,0.00267,0.025,9360.0,6.24,195,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
flooding,2.5,200,94,2,0.00094,0.01,11017.5,7.345,198,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
random,2.5,200,0,0,0.0,0.0,6142.5,4.095,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
reldec,2.5,200,6,1,6e-05,0.005,6420.0,4.28,199,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
round_robin,2.5,200,0,0,0.0,0.0,5422.5,3.615,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
flooding,3.0,200,0,0,0.0,0.0,8167.5,5.445,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
random,3.0,200,0,0,0.0,0.0,4800.0,3.2,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
reldec,3.0,200,0,0,0.0,0.0,5040.0,3.36,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
round_robin,3.0,200,0,0,0.0,0.0,4320.0,2.88,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
flooding,4.0,200,0,0,0.0,0.0,5070.0,3.38,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
random,4.0,200,0,0,0.0,0.0,3487.5,2.325,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
reldec,4.0,200,0,0,0.0,0.0,3397.5,2.265,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
round_robin,4.0,200,0,0,0.0,0.0,3127.5,2.085,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
flooding,5.0,200,0,0,0.0,0.0,3562.5,2.375,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
random,5.0,200,0,0,0.0,0.0,2535.0,1.69,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
reldec,5.0,200,0,0,0.0,0.0,2505.0,1.67,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
round_robin,5.0,200,0,0,0.0,0.0,2280.0,1.52,200,ab,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/H_AB_LDPC_500.csv,0.4,50,10,200,True
