method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only,_source_csv
flooding,2.0,342,4528,300,0.0344785575048732,0.8771929824561403,6411.789473684211,4.947368421052632,42,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
flooding,2.5,512,2682,300,0.013641357421875,0.5859375,6029.4375,4.65234375,212,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
flooding,3.0,1157,1940,300,0.0043665370210314,0.2592912705272255,5188.480553154711,4.003457216940363,857,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
flooding,3.25,2023,1648,300,0.0021214368100181,0.148294611962432,4731.713297083539,3.651013346515077,1723,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
flooding,3.5,4072,1300,300,0.000831389161755,0.0736738703339882,4203.724950884087,3.243614931237721,3772,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
flooding,4.0,10000,521,154,0.0001356770833333,0.0154,3343.68,2.58,9847,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_periodic_messages_20260325_002118.csv
flooding,5.0,10000,5,2,1.3020833333333333e-06,0.0002,2185.3152,1.6862,9998,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_periodic_messages_20260325_002118.csv
flooding,5.5,3000,0,0,0.0,0.0,1809.648,1.3963333333333334,3000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_reldec_2_3_4_5_5p5.csv
random,2.0,478,4756,300,0.0259109135285913,0.6276150627615062,5932.3179916318,4.577405857740586,178,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
random,2.5,1009,3761,300,0.0097069086554344,0.2973240832507433,4898.854311199208,3.77998017839445,709,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
random,3.0,3618,3199,300,0.0023025785424728,0.0829187396351575,3727.522388059701,2.8761746821448315,3318,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/latest_messages.csv
random,3.25,7284,3037,300,0.0010857844819696,0.0411861614497528,3266.332784184514,2.520318506315212,6988,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
random,3.5,10000,1555,165,0.0004049479166666,0.0165,2833.9632,2.1867,9838,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
random,4.0,10000,208,17,5.416666666666666e-05,0.0017,2254.392,1.7395,9983,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_periodic_messages_20260325_002118.csv
random,5.0,10000,8,1,2.083333333333333e-06,0.0001,1551.8304,1.1974,9999,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_periodic_messages_20260325_002118.csv
random,5.5,3000,0,0,0.0,0.0,1407.888,1.0863333333333334,3000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_reldec_2_3_4_5_5p5.csv
reldec,2.0,913,5243,300,0.0149547051843738,0.3285870755750273,4589.2311062431545,3.5410733844468782,613,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/latest_messages.csv
reldec,2.5,4978,4463,300,0.0023347520758001,0.0602651667336279,3153.3049417436723,2.433105664925673,4678,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
reldec,3.0,10000,474,49,0.0001234375,0.0049,2408.2272,1.8582,9951,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
reldec,3.25,10000,160,14,4.1666666666666665e-05,0.0014,2147.3424,1.6569,9986,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
reldec,3.5,10000,27,3,7.03125e-06,0.0003,1958.1264,1.5109,9997,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_final_berfer_20260325_021320.csv
reldec,4.0,10000,0,0,0.0,0.0,1651.104,1.274,10000,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_periodic_messages_20260325_002118.csv
reldec,5.0,10000,0,0,0.0,0.0,1380.888,1.0655,10000,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_periodic_messages_20260325_002118.csv
reldec,5.5,3000,0,0,0.0,0.0,1328.832,1.0253333333333334,3000,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,60,3000,True,/root/Research/RithvikDecoder/Decoder/RELDEC/notebook_runs/continuous_reldec/active_run/wran/results/eval_reldec_2_3_4_5_5p5.csv
