#{"t_start": 1765848107.7643044, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.354278,10,2.127918
0.342147,10,2.13366
0.36726,10,2.134835
0.407247,10,2.135707
0.39101,10,2.136549
0.394891,10,2.137522
0.355435,10,2.138566
0.386986,10,2.139537
0.334789,10,2.140457
0.343367,10,2.141408
0.359768,10,2.147029
0.350525,10,2.148083
0.395531,10,2.148983
0.36495,10,2.149989
0.428967,10,2.151094
0.380623,10,2.152042
0.37327,10,2.152972
0.326863,10,2.153776
0.339066,10,2.15509
0.361068,10,2.156089
0.440457,10,2.161418
0.396465,10,2.162392
0.416154,10,2.163522
0.399554,10,2.165685
0.375136,10,2.168986
0.316935,10,2.170457
0.416164,10,2.173943
0.352376,10,2.175453
0.358949,10,2.177293
0.325823,10,2.178416
0.391098,10,2.183712
0.407355,10,2.184792
0.367863,10,2.186206
0.364598,10,2.187328
0.365847,10,2.188783
0.326166,10,2.189722
0.349465,10,2.190779
0.389301,10,2.191751
0.410124,10,2.193442
0.345413,10,2.195033
0.365284,10,2.200219
0.404508,10,2.201806
0.366823,10,2.202905
0.345466,10,2.203936
0.366167,10,2.204931
0.337856,10,2.205855
0.360734,10,2.207222
0.383463,10,2.208565
0.334466,10,2.209802
0.372267,10,2.210779
0.391591,10,2.214583
0.412916,10,2.21665
0.380076,10,2.217741
0.389342,10,2.218655
0.412457,10,2.21973
0.370084,10,2.226298
0.401788,10,2.229517
0.378381,10,2.231349
0.390114,10,2.232238
0.356714,10,2.233162
0.419092,10,2.236849
0.391647,10,2.237807
0.342192,10,2.238877
0.363476,10,2.239839
0.392668,10,2.240721
0.377657,10,2.241746
0.327197,10,2.242943
0.38951,10,2.243936
0.385517,10,2.244881
0.359628,10,2.245732
0.39579,10,2.248032
0.38693,10,2.249196
0.356545,10,2.250113
0.407501,10,2.251035
0.353853,10,2.251987
0.437265,10,2.252768
0.427505,10,2.253581
0.343763,10,2.2551
0.383039,10,2.256265
0.404035,10,2.257307
0.357893,10,2.260883
0.363447,10,2.262088
0.394915,10,2.263537
0.308848,10,2.264547
0.349912,10,2.265454
0.390551,10,2.266289
0.366328,10,2.267207
0.408316,10,2.268052
0.381414,10,2.268871
0.387428,10,2.269763
0.404881,10,2.272684
0.37986,10,2.273619
0.393972,10,2.274442
0.366392,10,2.275373
0.423476,10,2.276423
0.404918,10,2.27732
0.355015,10,2.27823
0.385971,10,2.279063
0.366221,10,2.279924
0.383672,10,2.281015
0.196495,10,2.357199
0.202502,10,2.406223
0.193491,10,2.471262
0.201897,10,2.50335
0.260542,10,2.543966
0.183846,10,2.573892
0.221493,10,2.606768
0.297378,10,2.653987
0.189317,10,2.695852
0.185069,10,2.7319
0.200341,10,2.781528
0.175561,10,2.821001
0.258956,10,2.871827
0.267193,10,2.916892
0.254518,10,2.980371
0.307704,10,3.012839
0.253256,10,3.065607
0.316585,10,3.087229
0.291951,10,3.122321
0.338056,10,3.148988
0.310135,10,3.186431
0.30926,10,3.207493
0.299674,10,3.23888
0.326071,10,3.264703
0.350462,10,3.293724
0.339295,10,3.315307
0.33956,10,3.344099
0.225463,10,3.369808
0.227845,10,3.394766
0.353866,10,3.424118
0.241211,10,3.449894
0.268404,10,3.481761
0.360403,10,3.519348
0.300019,10,3.541682
0.296897,10,3.578224
0.349629,10,3.600935
0.369648,10,3.633029
0.325252,10,3.659251
0.318534,10,3.703012
0.329827,10,3.729915
0.332936,10,3.767839
0.327183,10,3.797125
0.339463,10,3.828285
0.345399,10,3.85671
0.355236,10,3.888899
0.380762,10,3.915423
0.387543,10,3.937788
0.339915,10,3.959858
0.380342,10,3.981241
0.364164,10,4.005076
0.344804,10,4.038027
0.340992,10,4.061865
0.361712,10,4.091181
0.394236,10,4.114694
0.298928,10,4.13617
0.380356,10,4.15509
0.353124,10,4.19406
0.358718,10,4.210201
0.360094,10,4.243847
0.31861,10,4.265185
0.272722,10,4.298263
0.277883,10,4.31856
0.312982,10,4.359838
0.372362,10,4.404726
0.357233,10,4.444962
0.314038,10,4.477953
0.316486,10,4.507795
0.374012,10,4.535659
0.356691,10,4.567225
0.335588,10,4.588748
0.351225,10,4.632339
0.387049,10,4.656814
0.373804,10,4.68207
0.360033,10,4.70225
0.368804,10,4.729942
0.350752,10,4.748716
0.357956,10,4.768336
0.3559,10,4.785073
0.351551,10,4.809388
0.377961,10,4.830877
0.312504,10,4.865187
0.367689,10,4.891761
0.336505,10,4.921623
0.312923,10,4.963056
0.385813,10,5.005275
0.366544,10,5.055708
0.371501,10,5.097719
0.386221,10,5.148389
0.384791,10,5.176121
0.315639,10,5.215479
0.345582,10,5.261427
0.361225,10,5.291964
0.350139,10,5.351334
0.382578,10,5.380895
0.333046,10,5.422796
0.349537,10,5.466614
0.325712,10,5.505241
0.322049,10,5.535546
0.338404,10,5.590236
0.336818,10,5.631432
0.331268,10,5.681378
0.348533,10,5.708354
0.356643,10,5.735473
0.320338,10,5.770824
0.31569,10,5.809411
0.356558,10,5.838385
0.353676,10,5.874543
0.329957,10,5.900725
0.37873,10,5.944183
0.387374,10,5.985625
0.348617,10,6.031796
0.374056,10,6.070282
0.334642,10,6.122156
0.355876,10,6.156445
0.347616,10,6.19113
0.371327,10,6.214551
0.378279,10,6.254416
0.338685,10,6.292347
0.373604,10,6.337164
0.342774,10,6.367793
0.352822,10,6.425616
0.352123,10,6.47165
0.369834,10,6.520079
0.331611,10,6.544233
0.359853,10,6.587057
0.381834,10,6.610314
0.374027,10,6.656317
0.398843,10,6.680953
0.414276,10,6.717795
0.350103,10,6.744048
0.333285,10,6.778373
0.352431,10,6.818375
0.364084,10,6.847918
0.31145,10,6.88639
0.375524,10,6.933492
0.368955,10,6.966173
0.349187,10,7.012455
0.377028,10,7.039197
0.405899,10,7.08191
0.384405,10,7.122832
0.338375,10,7.158067
0.319314,10,7.182721
0.374826,10,7.249422
0.365614,10,7.323131
0.370795,10,7.360592
0.35105,10,7.387567
0.33389,10,7.432854
0.367615,10,7.469486
0.336946,10,7.497398
0.320041,10,7.526655
0.320119,10,7.561728
0.400479,10,7.587414
0.390879,10,7.610109
0.327611,10,7.642331
0.354507,10,7.668363
0.338746,10,7.69291
0.311288,10,7.725595
0.372173,10,7.756167
0.360122,10,7.783128
0.308708,10,7.808927
0.307998,10,7.843669
0.365331,10,7.871333
0.322784,10,7.899913
0.367268,10,7.925498
0.30674,10,7.960242
0.373143,10,7.979953
0.389831,10,8.006731
0.35063,10,8.027272
0.382209,10,8.060818
0.375,10,8.081054
0.33971,10,8.121219
0.33131,10,8.143024
0.342124,10,8.173373
0.298222,10,8.196553
0.347411,10,8.220792
0.320791,10,8.248239
0.373319,10,8.290435
0.385161,10,8.317158
0.344901,10,8.342076
0.355326,10,8.370041
0.324213,10,8.397689
0.315984,10,8.426434
0.387231,10,8.481168
0.298483,10,8.557837
0.342685,10,8.629104
0.357521,10,8.653846
0.412955,10,8.681679
0.337286,10,8.706881
0.326403,10,8.726997
0.327999,10,8.747685
0.330427,10,8.770101
0.353294,10,8.798194
0.39931,10,8.829395
0.317367,10,8.856941
0.38378,10,8.880809
0.333711,10,8.900038
0.363756,10,8.924142
0.382872,10,8.9439
0.386893,10,8.973594
0.35825,10,8.993134
0.39555,10,9.026121
0.386709,10,9.05553
0.392402,10,9.085443
0.393877,10,9.112026
0.390293,10,9.155697
0.379675,10,9.176664
0.359291,10,9.216971
0.402522,10,9.255766
0.386316,10,9.28763
0.391707,10,9.316395
0.3649,10,9.354403
0.354468,10,9.38017
0.392892,10,9.428939
0.365197,10,9.460667
0.355475,10,9.496089
0.353941,10,9.521358
0.435086,10,9.550794
0.372389,10,9.573033
0.353624,10,9.597632
0.399367,10,9.626148
0.419504,10,9.664979
0.393827,10,9.692425
0.378515,10,9.725402
0.384233,10,9.745288
0.360389,10,9.776159
0.323738,10,9.803491
0.23128,10,9.841714
0.366202,10,9.863918
0.398582,10,9.891804
0.402152,10,9.916013
0.377417,10,9.951908
0.393221,10,9.973473
0.357237,10,10.005289
0.321285,10,10.029302
0.336211,10,10.066752
0.307998,10,10.092403
0.337719,10,10.128011
0.40007,10,10.165549
0.388323,10,10.196567
0.397408,10,10.218589
0.394011,10,10.25824
0.332435,10,10.282032
0.387216,10,10.313474
0.395592,10,10.335205
0.385228,10,10.369819
0.372679,10,10.404063
0.379096,10,10.441381
0.39863,10,10.480671
0.357708,10,10.514675
0.384905,10,10.534821
0.343848,10,10.570603
0.368767,10,10.591253
0.354489,10,10.622952
0.371224,10,10.647546
0.400292,10,10.676061
0.376364,10,10.695286
0.410911,10,10.72062
0.26418,10,10.744378
0.412463,10,10.784967
0.399586,10,10.80656
0.372655,10,10.831665
0.365265,10,10.853827
0.423674,10,10.885819
0.363415,10,10.916765
0.360272,10,10.945815
0.382071,10,10.978297
0.382594,10,11.006261
0.369533,10,11.022974
0.372354,10,11.053402
0.375172,10,11.0791
0.391731,10,11.11662
0.410056,10,11.143438
0.377013,10,11.163858
0.392252,10,11.189991
0.355944,10,11.214685
0.374644,10,11.23296
0.399606,10,11.260511
0.391725,10,11.285419
0.383849,10,11.323084
0.388808,10,11.358325
0.335235,10,11.395707
0.361638,10,11.416222
0.358224,10,11.449058
0.376907,10,11.486259
0.396497,10,11.512317
0.365934,10,11.533666
0.347743,10,11.563835
0.405068,10,11.598037
0.374621,10,11.636847
0.388932,10,11.659364
0.40028,10,11.707123
0.389723,10,11.734376
0.395347,10,11.761497
0.369508,10,11.786065
0.367674,10,11.817044
0.328669,10,11.840471
0.346334,10,11.873952
0.297963,10,11.901911
0.377845,10,11.926429
0.410081,10,11.946413
0.368392,10,11.975721
0.364571,10,12.005381
0.285335,10,12.036651
0.326321,10,12.054776
0.317479,10,12.087387
0.384825,10,12.110791
0.379395,10,12.13665
0.403241,10,12.156808
0.36753,10,12.186226
0.394186,10,12.215447
0.382172,10,12.246241
0.415511,10,12.282947
0.414818,10,12.310156
0.374557,10,12.333136
0.382745,10,12.360411
0.365742,10,12.385211
0.385006,10,12.418979
0.381995,10,12.443831
0.377666,10,12.476478
0.418892,10,12.501451
0.429764,10,12.528178
0.42436,10,12.551766
0.394058,10,12.572917
0.386364,10,12.596728
0.38762,10,12.63061
