#{"t_start": 1765847988.766026, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.393099,10,4.905221
0.366269,10,4.931314
0.389544,10,4.958204
0.412216,10,4.976377
0.385102,10,5.005158
0.409121,10,5.023806
0.40188,10,5.051303
0.378373,10,5.066265
0.387677,10,5.084646
0.355196,10,5.10561
0.380694,10,5.145071
0.411061,10,5.162379
0.349933,10,5.177501
0.3905,10,5.197284
0.356395,10,5.213692
0.389377,10,5.232237
0.317191,10,5.262217
0.353685,10,5.285851
0.402406,10,5.300329
0.383412,10,5.315418
0.370136,10,5.333212
0.407451,10,5.353139
0.378815,10,5.367576
0.386478,10,5.384526
0.374729,10,5.400025
0.361582,10,5.415226
0.339766,10,5.43397
0.384841,10,5.459828
0.398498,10,5.475405
0.362297,10,5.491722
0.369546,10,5.508058
0.421898,10,5.530009
0.391786,10,5.545155
0.40657,10,5.566751
0.344319,10,5.590487
0.355542,10,5.608589
0.365997,10,5.628605
0.333501,10,5.644293
0.420471,10,5.666117
0.376072,10,5.68268
0.387859,10,5.696946
0.429914,10,5.714217
0.428028,10,5.732415
0.334329,10,5.747881
0.382174,10,5.774104
0.418418,10,5.809943
0.393593,10,5.852228
0.375039,10,5.877867
0.436197,10,5.897456
0.397538,10,5.920421
0.409196,10,5.968089
0.364555,10,6.016481
0.352685,10,6.049581
0.380655,10,6.097951
0.430561,10,6.143033
0.396648,10,6.197475
0.371764,10,6.241719
0.364767,10,6.297537
0.393071,10,6.347259
0.363712,10,6.373107
0.356399,10,6.400161
0.390722,10,6.429449
0.403051,10,6.453069
0.342758,10,6.475247
0.320712,10,6.51839
0.384758,10,6.570791
0.342275,10,6.611416
0.377041,10,6.660223
0.331606,10,6.690072
0.354014,10,6.722672
0.37127,10,6.7452
0.385246,10,6.779367
0.358455,10,6.814452
0.435543,10,6.837225
0.400568,10,6.867164
0.333841,10,6.892582
0.362767,10,6.932493
0.326693,10,6.95936
0.365524,10,7.017852
0.354943,10,7.047173
0.350045,10,7.06468
0.384429,10,7.081979
0.347778,10,7.098451
0.39044,10,7.124688
0.336107,10,7.141094
0.344717,10,7.155755
0.388336,10,7.180532
0.391189,10,7.199305
0.363379,10,7.216256
0.38422,10,7.236943
0.348826,10,7.251776
0.340557,10,7.280376
0.394997,10,7.295665
0.41587,10,7.315124
0.356055,10,7.336058
0.422614,10,7.350193
0.383287,10,7.365414
0.391825,10,7.381364
0.385493,10,7.39617
0.422196,10,7.418113
0.386617,10,7.448079
0.380319,10,7.474022
0.382812,10,7.496795
0.371993,10,7.515111
0.38137,10,7.534667
0.379929,10,7.549232
0.383767,10,7.565469
0.375567,10,7.580615
0.359733,10,7.596494
0.355504,10,7.613922
0.334865,10,7.629802
0.381746,10,7.652633
0.373659,10,7.677326
0.407278,10,7.692254
0.410175,10,7.709446
0.414207,10,7.724861
0.418732,10,7.743691
0.377221,10,7.760157
0.349342,10,7.776658
0.37289,10,7.790974
0.367928,10,7.808006
0.431904,10,7.844185
0.387408,10,7.870838
0.387161,10,7.889905
0.352295,10,7.905926
0.422896,10,7.9234
0.389722,10,7.947101
0.409673,10,7.968915
0.376341,10,7.985461
0.396292,10,8.021411
0.400188,10,8.069035
0.377342,10,8.107868
0.363558,10,8.165486
0.397251,10,8.203515
0.33793,10,8.235672
0.391103,10,8.284022
0.40776,10,8.321736
0.384378,10,8.350875
0.371793,10,8.40308
0.38518,10,8.443592
0.357045,10,8.473306
0.375028,10,8.49585
0.420032,10,8.527539
0.372825,10,8.545624
0.404456,10,8.563525
0.385699,10,8.59988
0.368287,10,8.6357
0.365449,10,8.651569
0.371385,10,8.679418
0.406178,10,8.705
0.36402,10,8.7276
0.37854,10,8.744261
0.360357,10,8.771329
0.355387,10,8.791675
0.405051,10,8.808193
0.419384,10,8.826576
0.388724,10,8.848519
0.391062,10,8.868302
0.434147,10,8.898959
0.348399,10,8.934288
0.385858,10,8.960348
0.369415,10,8.98421
0.381634,10,8.99907
0.381302,10,9.014692
0.372396,10,9.034931
0.405926,10,9.051231
0.384611,10,9.079629
0.404477,10,9.101621
0.413837,10,9.118379
0.382362,10,9.146297
0.364025,10,9.164122
0.397251,10,9.181256
0.364963,10,9.20151
0.405797,10,9.221262
0.387383,10,9.236686
0.332406,10,9.261874
0.380722,10,9.279041
