method,cluster_size,num_clusters,snr_db,ber,fer,avg_sweeps_used,avg_check_updates,n_frames
layered,24,24,-3,0.1034375,1.0,5.0,2880.0,50
layered,24,24,-2,0.050243055555555555,1.0,5.0,2880.0,50
layered,24,24,-1,0.020104166666666666,1.0,4.994166666666667,2876.64,50
layered,24,24,0,0.008802083333333334,0.96,4.773333333333333,2749.44,50
layered,24,24,1,0.00296875,0.7,3.4783333333333335,2003.52,50
layered,24,24,2,0.0006423611111111111,0.28,1.964166666666666,1131.36,50
layered,24,24,3,0.00038194444444444446,0.18,1.28,737.28,50
parallel,24,24,-3,0.104375,1.0,5.0,2880.0,50
parallel,24,24,-2,0.06145833333333333,1.0,5.0,2880.0,50
parallel,24,24,-1,0.02779513888888889,1.0,5.0,2880.0,50
parallel,24,24,0,0.01140625,1.0,5.0,2880.0,50
parallel,24,24,1,0.004166666666666667,0.82,5.0,2880.0,50
parallel,24,24,2,0.0008333333333333334,0.42,5.0,2880.0,50
parallel,24,24,3,0.0003125,0.14,5.0,2880.0,50
residual,24,24,-3,0.105625,1.0,5.0,2880.0,50
residual,24,24,-2,0.05475694444444444,1.0,5.0,2880.0,50
residual,24,24,-1,0.026336805555555554,1.0,5.0,2880.0,50
residual,24,24,0,0.010850694444444444,1.0,4.95,2851.2,50
residual,24,24,1,0.0029340277777777776,0.74,4.1825,2409.12,50
residual,24,24,2,0.0007465277777777778,0.32,2.8633333333333324,1649.28,50
residual,24,24,3,0.0003298611111111111,0.18,1.9025000000000007,1095.84,50
serial_emulated,24,24,-3,0.09826388888888889,1.0,5.0,2880.0,50
serial_emulated,24,24,-2,0.05157986111111111,1.0,5.0,2880.0,50
serial_emulated,24,24,-1,0.0234375,1.0,5.0,2880.0,50
serial_emulated,24,24,0,0.008350694444444445,0.92,4.805381944444445,2767.9,50
serial_emulated,24,24,1,0.001857638888888889,0.54,3.2776736111111107,1887.94,50
serial_emulated,24,24,2,0.0005208333333333333,0.26,1.853472222222222,1067.6,50
serial_emulated,24,24,3,8.680555555555556e-05,0.04,1.222638888888889,704.24,50
layered,48,12,-3,0.09913194444444444,1.0,5.0,2880.0,50
layered,48,12,-2,0.05012152777777778,1.0,5.0,2880.0,50
layered,48,12,-1,0.02390625,1.0,5.0,2880.0,50
layered,48,12,0,0.009600694444444445,0.94,4.6866666666666665,2699.52,50
layered,48,12,1,0.0024652777777777776,0.68,3.365,1938.24,50
layered,48,12,2,0.0010243055555555556,0.4,2.2616666666666667,1302.72,50
layered,48,12,3,6.944444444444444e-05,0.02,1.226666666666667,706.56,50
parallel,48,12,-3,0.10446180555555555,1.0,5.0,2880.0,50
parallel,48,12,-2,0.05482638888888889,1.0,5.0,2880.0,50
parallel,48,12,-1,0.029618055555555557,1.0,5.0,2880.0,50
parallel,48,12,0,0.0125,1.0,5.0,2880.0,50
parallel,48,12,1,0.0036631944444444446,0.8,5.0,2880.0,50
parallel,48,12,2,0.0010069444444444444,0.48,5.0,2880.0,50
parallel,48,12,3,0.00024305555555555555,0.12,5.0,2880.0,50
residual,48,12,-3,0.10432291666666667,1.0,5.0,2880.0,50
residual,48,12,-2,0.058506944444444445,1.0,5.0,2880.0,50
residual,48,12,-1,0.025121527777777777,1.0,5.0,2880.0,50
residual,48,12,0,0.0103125,0.96,4.824999999999999,2779.2,50
residual,48,12,1,0.0027083333333333334,0.68,3.6533333333333324,2104.32,50
residual,48,12,2,0.0008680555555555555,0.3,2.8950000000000005,1667.52,50
residual,48,12,3,0.00038194444444444446,0.18,1.8250000000000006,1051.2,50
serial_emulated,48,12,-3,0.10369791666666667,1.0,5.0,2880.0,50
serial_emulated,48,12,-2,0.051076388888888886,1.0,5.0,2880.0,50
serial_emulated,48,12,-1,0.023055555555555555,0.98,4.968888888888889,2862.08,50
serial_emulated,48,12,0,0.008385416666666666,0.94,4.726631944444445,2722.54,50
serial_emulated,48,12,1,0.002204861111111111,0.62,3.1484375000000004,1813.5,50
serial_emulated,48,12,2,0.0007291666666666667,0.32,2.0175,1162.08,50
serial_emulated,48,12,3,0.0001388888888888889,0.08,1.27375,733.68,50
