method,cluster_size,num_clusters,snr_db,ber,fer,avg_sweeps_used,avg_check_updates,n_frames
layered,48,12,-3,0.09913194444444444,1.0,5.0,2880.0,50
layered,48,12,-2,0.05012152777777778,1.0,5.0,2880.0,50
layered,48,12,-1,0.02390625,1.0,5.0,2880.0,50
layered,48,12,0,0.009600694444444445,0.94,4.6866666666666665,2699.52,50
layered,48,12,1,0.0024652777777777776,0.68,3.365,1938.24,50
layered,48,12,2,0.0010243055555555556,0.4,2.2616666666666667,1302.72,50
layered,48,12,3,6.944444444444444e-05,0.02,1.226666666666667,706.56,50
parallel,48,12,-3,0.10446180555555555,1.0,5.0,2880.0,50
parallel,48,12,-2,0.05482638888888889,1.0,5.0,2880.0,50
parallel,48,12,-1,0.029618055555555557,1.0,5.0,2880.0,50
parallel,48,12,0,0.0125,1.0,5.0,2880.0,50
parallel,48,12,1,0.0036631944444444446,0.8,5.0,2880.0,50
parallel,48,12,2,0.0010069444444444444,0.48,5.0,2880.0,50
parallel,48,12,3,0.00024305555555555555,0.12,5.0,2880.0,50
residual,48,12,-3,0.10432291666666667,1.0,5.0,2880.0,50
residual,48,12,-2,0.058506944444444445,1.0,5.0,2880.0,50
residual,48,12,-1,0.025121527777777777,1.0,5.0,2880.0,50
residual,48,12,0,0.0103125,0.96,4.824999999999999,2779.2,50
residual,48,12,1,0.0027083333333333334,0.68,3.6533333333333324,2104.32,50
residual,48,12,2,0.0008680555555555555,0.3,2.8950000000000005,1667.52,50
residual,48,12,3,0.00038194444444444446,0.18,1.8250000000000006,1051.2,50
serial_emulated,48,12,-3,0.10369791666666667,1.0,5.0,2880.0,50
serial_emulated,48,12,-2,0.051076388888888886,1.0,5.0,2880.0,50
serial_emulated,48,12,-1,0.023055555555555555,0.98,4.968888888888889,2862.08,50
serial_emulated,48,12,0,0.008385416666666666,0.94,4.726631944444445,2722.54,50
serial_emulated,48,12,1,0.002204861111111111,0.62,3.1484375000000004,1813.5,50
serial_emulated,48,12,2,0.0007291666666666667,0.32,2.0175,1162.08,50
serial_emulated,48,12,3,0.0001388888888888889,0.08,1.27375,733.68,50
