source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,layered,24,0,0,4.23509393682882,0.0
baseline,layered,24,0,1,4.4448339176742815,0.0
baseline,layered,24,0,2,4.080160501757381,0.0
baseline,layered,24,0,3,4.8036564508720145,0.0
baseline,layered,24,0,4,4.061122057513004,0.0
baseline,layered,24,0,5,4.5363212454119255,0.0
baseline,layered,24,0,6,4.532784630186618,0.0
baseline,layered,24,0,7,4.46223738551479,0.0
baseline,layered,24,0,8,4.431230479694946,0.0
baseline,layered,24,0,9,3.7760156268171494,0.0
baseline,layered,24,0,10,4.226681819243725,0.0
baseline,layered,24,0,11,3.9925144362070486,0.0
baseline,layered,24,0,12,4.296913604147067,0.0
baseline,layered,24,0,13,4.414521444995303,0.0
baseline,layered,24,0,14,4.251440951484942,0.0
baseline,layered,24,0,15,4.450849587893891,0.0
baseline,layered,24,0,16,4.072405301867177,0.0
baseline,layered,24,0,17,4.774516351127667,0.0
baseline,layered,24,0,18,4.125084020989241,0.0
baseline,layered,24,0,19,5.299511436492012,0.0
baseline,layered,24,0,20,4.455120826797236,0.0
baseline,layered,24,0,21,4.410503638087996,0.0
baseline,layered,24,0,22,4.493956119370163,0.0
baseline,layered,24,0,23,3.7979819699451127,0.0
baseline,layered,24,1,0,4.355596813399155,0.0
baseline,layered,24,1,1,4.4448339176742815,0.0
baseline,layered,24,1,2,4.1820912034420665,0.0
baseline,layered,24,1,3,4.776154924075486,0.0
baseline,layered,24,1,4,4.099485021803116,0.0
baseline,layered,24,1,5,4.548345999646833,0.0
baseline,layered,24,1,6,4.562253478178714,0.0
baseline,layered,24,1,7,4.458983969629192,0.0
baseline,layered,24,1,8,4.504806190656577,0.0
baseline,layered,24,1,9,3.7602703070595638,0.0
baseline,layered,24,1,10,4.2674502334937054,0.0
baseline,layered,24,1,11,3.9925144362070486,0.0
baseline,layered,24,1,12,4.330665182219983,0.0
baseline,layered,24,1,13,4.40784535667892,0.0
baseline,layered,24,1,14,4.29129436098729,0.0
baseline,layered,24,1,15,4.455992592410718,0.0
baseline,layered,24,1,16,4.191719266345257,0.0
baseline,layered,24,1,17,4.75374366055226,0.0
baseline,layered,24,1,18,4.138967773127081,0.0
baseline,layered,24,1,19,5.336500383766433,0.0
baseline,layered,24,1,20,4.431527714109406,0.0
baseline,layered,24,1,21,4.456714955232474,0.0
baseline,layered,24,1,22,4.568669062185527,0.0
baseline,layered,24,1,23,3.7979819699451127,0.0
baseline,layered,24,2,0,4.355596813399155,0.0
baseline,layered,24,2,1,4.600398042546947,0.0
baseline,layered,24,2,2,4.19196655232746,0.0
baseline,layered,24,2,3,4.84121980892531,0.0
baseline,layered,24,2,4,4.096339089183034,0.0
baseline,layered,24,2,5,4.611795246693828,0.0
baseline,layered,24,2,6,4.564634416870482,0.0
baseline,layered,24,2,7,4.562236719665879,0.0
baseline,layered,24,2,8,4.509151613286424,0.0
baseline,layered,24,2,9,3.879957617859562,0.0
baseline,layered,24,2,10,4.2674502334937054,0.0
baseline,layered,24,2,11,4.058851575376039,0.0
baseline,layered,24,2,12,4.325846801325254,0.0
baseline,layered,24,2,13,4.495613117353026,0.0
baseline,layered,24,2,14,4.348552047545555,0.0
baseline,layered,24,2,15,4.497059588401019,0.0
baseline,layered,24,2,16,4.249192064200926,0.0
baseline,layered,24,2,17,4.80813146854884,0.0
baseline,layered,24,2,18,4.183748976605069,0.0
baseline,layered,24,2,19,5.361244052992776,0.0
baseline,layered,24,2,20,4.479794985639388,0.0
baseline,layered,24,2,21,4.470942321994749,0.0
baseline,layered,24,2,22,4.568669062185527,0.0
baseline,layered,24,2,23,3.9028588395393036,0.0
baseline,layered,24,3,0,4.518083100402669,0.0
baseline,layered,24,3,1,4.610432526579409,0.0
baseline,layered,24,3,2,4.567293773940341,0.0
baseline,layered,24,3,3,4.84121980892531,0.0
baseline,layered,24,3,4,4.2578936010245645,0.0
baseline,layered,24,3,5,4.642546164961481,0.0
baseline,layered,24,3,6,4.649986842243419,0.0
baseline,layered,24,3,7,4.577676335213736,0.0
baseline,layered,24,3,8,4.568620731819012,0.0
baseline,layered,24,3,9,3.883137457410623,0.0
baseline,layered,24,3,10,4.3278529664169305,0.0
baseline,layered,24,3,11,4.073627592153192,0.0
baseline,layered,24,3,12,4.452682669751867,0.0
