source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,serial_emulated,24,0,0,4.23509393682882,0.0
baseline,serial_emulated,24,0,1,4.4448339176742815,0.0
baseline,serial_emulated,24,0,2,4.080160501757381,0.0
baseline,serial_emulated,24,0,3,4.8036564508720145,0.0
baseline,serial_emulated,24,0,4,4.061122057513004,0.0
baseline,serial_emulated,24,0,5,4.5363212454119255,0.0
baseline,serial_emulated,24,0,6,4.532784630186618,0.0
baseline,serial_emulated,24,0,7,4.46223738551479,0.0
baseline,serial_emulated,24,0,8,4.431230479694946,0.0
baseline,serial_emulated,24,0,9,3.7760156268171494,0.0
baseline,serial_emulated,24,0,10,4.226681819243725,0.0
baseline,serial_emulated,24,0,11,3.9925144362070486,0.0
baseline,serial_emulated,24,0,12,4.296913604147067,0.0
baseline,serial_emulated,24,0,13,4.414521444995303,0.0
baseline,serial_emulated,24,0,14,4.251440951484942,0.0
baseline,serial_emulated,24,0,15,4.450849587893891,0.0
baseline,serial_emulated,24,0,16,4.072405301867177,0.0
baseline,serial_emulated,24,0,17,4.774516351127667,0.0
baseline,serial_emulated,24,0,18,4.125084020989241,0.0
baseline,serial_emulated,24,0,19,5.299511436492012,0.0
baseline,serial_emulated,24,0,20,4.455120826797236,0.0
baseline,serial_emulated,24,0,21,4.410503638087996,0.0
baseline,serial_emulated,24,0,22,4.493956119370163,0.0
baseline,serial_emulated,24,0,23,3.7979819699451127,0.0
baseline,serial_emulated,24,1,0,4.189687552445965,0.0
baseline,serial_emulated,24,1,1,4.4448339176742815,0.0
baseline,serial_emulated,24,1,2,4.052086783381349,0.0
baseline,serial_emulated,24,1,3,4.8036564508720145,0.0
baseline,serial_emulated,24,1,4,4.050959337326662,0.0
baseline,serial_emulated,24,1,5,4.531307286684736,0.0
baseline,serial_emulated,24,1,6,4.5268265284433875,0.0
baseline,serial_emulated,24,1,7,4.44948891601049,0.0
baseline,serial_emulated,24,1,8,4.410880021501163,0.0
baseline,serial_emulated,24,1,9,3.7760156268171494,0.0
baseline,serial_emulated,24,1,10,4.2106069713627265,0.0
baseline,serial_emulated,24,1,11,3.9925144362070486,0.0
baseline,serial_emulated,24,1,12,4.2870880808045495,0.0
baseline,serial_emulated,24,1,13,4.406499111031802,0.0
baseline,serial_emulated,24,1,14,4.223505767802512,0.0
baseline,serial_emulated,24,1,15,4.450849587893891,0.0
baseline,serial_emulated,24,1,16,4.038035289229118,0.0
baseline,serial_emulated,24,1,17,4.774516351127667,0.0
baseline,serial_emulated,24,1,18,4.116975701724738,0.0
baseline,serial_emulated,24,1,19,5.2914891025285105,0.0
baseline,serial_emulated,24,1,20,4.455120826797236,0.0
baseline,serial_emulated,24,1,21,4.400475720633619,0.0
baseline,serial_emulated,24,1,22,4.473857110130143,0.0
baseline,serial_emulated,24,1,23,3.7979819699451127,0.0
baseline,serial_emulated,24,2,0,4.199970560845758,0.0
baseline,serial_emulated,24,2,1,4.4448339176742815,0.0
baseline,serial_emulated,24,2,2,4.057043114727887,0.0
baseline,serial_emulated,24,2,3,4.8036564508720145,0.0
baseline,serial_emulated,24,2,4,4.0563524274394185,0.0
baseline,serial_emulated,24,2,5,4.532148690214186,0.0
baseline,serial_emulated,24,2,6,4.527766876964407,0.0
baseline,serial_emulated,24,2,7,4.4513888412333085,0.0
baseline,serial_emulated,24,2,8,4.414196328969035,0.0
baseline,serial_emulated,24,2,9,3.7760156268171494,0.0
baseline,serial_emulated,24,2,10,4.213267720283115,0.0
baseline,serial_emulated,24,2,11,3.9925144362070486,0.0
baseline,serial_emulated,24,2,12,4.288401730469375,0.0
baseline,serial_emulated,24,2,13,4.40784535667892,0.0
baseline,serial_emulated,24,2,14,4.227589259955865,0.0
baseline,serial_emulated,24,2,15,4.450849587893891,0.0
baseline,serial_emulated,24,2,16,4.049434075898054,0.0
baseline,serial_emulated,24,2,17,4.774516351127667,0.0
baseline,serial_emulated,24,2,18,4.119295570923094,0.0
baseline,serial_emulated,24,2,19,5.292835348175628,0.0
baseline,serial_emulated,24,2,20,4.455120826797236,0.0
baseline,serial_emulated,24,2,21,4.402158527692517,0.0
baseline,serial_emulated,24,2,22,4.477185961420166,0.0
baseline,serial_emulated,24,2,23,3.7979819699451127,0.0
baseline,serial_emulated,24,3,0,4.259345540228303,0.0
baseline,serial_emulated,24,3,1,4.4448339176742815,0.0
baseline,serial_emulated,24,3,2,4.091315561959658,0.0
baseline,serial_emulated,24,3,3,4.8036564508720145,0.0
baseline,serial_emulated,24,3,4,4.071047964769124,0.0
baseline,serial_emulated,24,3,5,4.539149160157126,0.0
baseline,serial_emulated,24,3,6,4.543548470823093,0.0
baseline,serial_emulated,24,3,7,4.459389378310954,0.0
baseline,serial_emulated,24,3,8,4.443965385709158,0.0
baseline,serial_emulated,24,3,9,3.7760156268171494,0.0
baseline,serial_emulated,24,3,10,4.235758730498769,0.0
baseline,serial_emulated,24,3,11,3.9925144362070486,0.0
baseline,serial_emulated,24,3,12,4.310473000225295,0.0
baseline,serial_emulated,24,3,13,4.40784535667892,0.0
baseline,serial_emulated,24,3,14,4.24988911310874,0.0
baseline,serial_emulated,24,3,15,4.462050339802596,0.0
baseline,serial_emulated,24,3,16,4.095577022839946,0.0
baseline,serial_emulated,24,3,17,4.774516351127667,0.0
baseline,serial_emulated,24,3,18,4.13059778622013,0.0
baseline,serial_emulated,24,3,19,5.304036100084333,0.0
baseline,serial_emulated,24,3,20,4.455120826797236,0.0
baseline,serial_emulated,24,3,21,4.416159467578399,0.0
baseline,serial_emulated,24,3,22,4.507809904586669,0.0
baseline,serial_emulated,24,3,23,3.7979819699451127,0.0
baseline,serial_emulated,24,4,0,4.254622688256485,0.0
baseline,serial_emulated,24,4,1,4.4448339176742815,0.0
baseline,serial_emulated,24,4,2,4.08772756590515,0.0
baseline,serial_emulated,24,4,3,4.8036564508720145,0.0
baseline,serial_emulated,24,4,4,4.0697059213812095,0.0
baseline,serial_emulated,24,4,5,4.5387944275605845,0.0
baseline,serial_emulated,24,4,6,4.542683221883049,0.0
baseline,serial_emulated,24,4,7,4.458983969629192,0.0
baseline,serial_emulated,24,4,8,4.442554608841338,0.0
baseline,serial_emulated,24,4,9,3.7760156268171494,0.0
baseline,serial_emulated,24,4,10,4.23404798760161,0.0
baseline,serial_emulated,24,4,11,3.9925144362070486,0.0
baseline,serial_emulated,24,4,12,4.309252158442288,0.0
baseline,serial_emulated,24,4,13,4.40784535667892,0.0
baseline,serial_emulated,24,4,14,4.246928410682044,0.0
baseline,serial_emulated,24,4,15,4.46148276764813,0.0
baseline,serial_emulated,24,4,16,4.090554748466661,0.0
baseline,serial_emulated,24,4,17,4.774516351127667,0.0
baseline,serial_emulated,24,4,18,4.129006655414276,0.0
baseline,serial_emulated,24,4,19,5.303468527929866,0.0
baseline,serial_emulated,24,4,20,4.455120826797236,0.0
baseline,serial_emulated,24,4,21,4.415450002385314,0.0
baseline,serial_emulated,24,4,22,4.50639133789434,0.0
baseline,serial_emulated,24,4,23,3.7979819699451127,0.0
baseline,serial_emulated,24,5,0,4.332074687638025,0.0
baseline,serial_emulated,24,5,1,4.4448339176742815,0.0
baseline,serial_emulated,24,5,2,4.132421239626398,0.0
baseline,serial_emulated,24,5,3,4.8036564508720145,0.0
baseline,serial_emulated,24,5,4,4.087669691843118,0.0
baseline,serial_emulated,24,5,5,4.547821160378976,0.0
baseline,serial_emulated,24,5,6,4.573683267673501,0.0
baseline,serial_emulated,24,5,7,4.458983969629192,0.0
