source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,parallel,48,0,0,4.380152899571696,0.0
baseline,parallel,48,0,1,4.3580086399112705,0.0
baseline,parallel,48,0,2,4.373151170270912,0.0
baseline,parallel,48,0,3,4.243422223493118,0.0
baseline,parallel,48,0,4,4.12136964745276,0.0
baseline,parallel,48,0,5,4.150076718833029,0.0
baseline,parallel,48,0,6,4.081086603301352,0.0
baseline,parallel,48,0,7,4.293480233697195,0.0
baseline,parallel,48,0,8,4.424445744061511,0.0
baseline,parallel,48,0,9,4.412739510745198,0.0
baseline,parallel,48,0,10,4.108206946192794,0.0
baseline,parallel,48,0,11,4.235396139506343,0.0
baseline,parallel,48,1,0,7.812450527183149,0.0
baseline,parallel,48,1,1,8.304103194211041,0.0
baseline,parallel,48,1,2,8.513597926830952,0.0
baseline,parallel,48,1,3,8.5156505519729,0.0
baseline,parallel,48,1,4,8.253406434273577,0.0
baseline,parallel,48,1,5,7.9411141368783085,0.0
baseline,parallel,48,1,6,8.021199790696794,0.0
baseline,parallel,48,1,7,8.440053749934284,0.0
baseline,parallel,48,1,8,8.985810997113283,0.0
baseline,parallel,48,1,9,9.151752039569567,0.0
baseline,parallel,48,1,10,10.057684602834081,0.0
baseline,parallel,48,1,11,9.672098128223027,0.0
baseline,parallel,48,2,0,12.353063424656057,0.0
baseline,parallel,48,2,1,13.114850585161037,0.0
baseline,parallel,48,2,2,13.772162380252169,0.0
baseline,parallel,48,2,3,13.881773075375287,0.0
baseline,parallel,48,2,4,13.913022341066593,0.0
baseline,parallel,48,2,5,12.553482822086119,0.0
baseline,parallel,48,2,6,12.196741901503477,0.0
baseline,parallel,48,2,7,12.520131626178685,0.0
baseline,parallel,48,2,8,14.120208039086942,0.0
baseline,parallel,48,2,9,14.59550570365664,0.0
baseline,parallel,48,2,10,17.31164755809524,0.0
baseline,parallel,48,2,11,16.101484179867438,0.0
baseline,parallel,48,3,0,17.360376543882403,0.0
baseline,parallel,48,3,1,18.568646919809265,0.0
baseline,parallel,48,3,2,19.810077176476977,0.0
baseline,parallel,48,3,3,20.095791297620384,0.0
baseline,parallel,48,3,4,20.745148527215527,0.0
baseline,parallel,48,3,5,18.31045783468347,0.0
baseline,parallel,48,3,6,17.227374433564872,0.0
baseline,parallel,48,3,7,17.22580014913011,0.0
baseline,parallel,48,3,8,19.925646869415232,0.0
baseline,parallel,48,3,9,20.788302883711953,0.0
baseline,parallel,48,3,10,25.97445870701942,0.0
baseline,parallel,48,3,11,23.583700148791973,0.0
baseline,parallel,48,4,0,22.125302456908916,0.0
baseline,parallel,48,4,1,23.62708667627869,0.0
baseline,parallel,48,4,2,25.36290687397916,0.0
baseline,parallel,48,4,3,25.87803282382722,0.0
baseline,parallel,48,4,4,27.64761939073534,0.0
baseline,parallel,48,4,5,24.306372560761922,0.0
baseline,parallel,48,4,6,22.113589861949027,0.0
baseline,parallel,48,4,7,21.439768891390734,0.0
baseline,parallel,48,4,8,25.497140492496964,0.0
baseline,parallel,48,4,9,26.842367655735522,0.0
baseline,parallel,48,4,10,34.60690579414665,0.0
baseline,parallel,48,4,11,31.49715696304712,0.0
baseline,parallel,48,5,0,26.03685227139142,0.0
baseline,parallel,48,5,1,27.768036997559552,0.0
baseline,parallel,48,5,2,30.08371724236299,0.0
baseline,parallel,48,5,3,30.73547306022492,0.0
baseline,parallel,48,5,4,inf,0.0
baseline,parallel,48,5,5,29.899221646417562,0.0
baseline,parallel,48,5,6,26.475075448229564,0.0
baseline,parallel,48,5,7,24.825422590089776,0.0
baseline,parallel,48,5,8,30.010837609789014,0.0
baseline,parallel,48,5,9,31.60889029607607,0.0
baseline,parallel,48,5,10,inf,0.0
baseline,parallel,48,5,11,38.663668884060066,0.0
