source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,residual,48,0,0,4.380152899571696,0.0
baseline,residual,48,0,1,4.3580086399112705,0.0
baseline,residual,48,0,2,4.373151170270912,0.0
baseline,residual,48,0,3,4.243422223493118,0.0
baseline,residual,48,0,4,4.12136964745276,0.0
baseline,residual,48,0,5,4.150076718833029,0.0
baseline,residual,48,0,6,4.081086603301352,0.0
baseline,residual,48,0,7,4.293480233697195,0.0
baseline,residual,48,0,8,4.424445744061511,0.0
baseline,residual,48,0,9,4.412739510745198,0.0
baseline,residual,48,0,10,4.108206946192794,0.0
baseline,residual,48,0,11,4.235396139506343,0.0
baseline,residual,48,1,0,4.725474859487177,0.0
baseline,residual,48,1,1,4.567719930295038,0.0
baseline,residual,48,1,2,4.779924232682416,0.0
baseline,residual,48,1,3,4.70830572339198,0.0
baseline,residual,48,1,4,4.937053498426925,0.0
baseline,residual,48,1,5,4.733091978694974,0.0
baseline,residual,48,1,6,4.374682409838626,0.0
baseline,residual,48,1,7,4.587076040234469,0.0
baseline,residual,48,1,8,4.718041550598785,0.0
baseline,residual,48,1,9,4.7063353172824725,0.0
baseline,residual,48,1,10,4.921753071015803,0.0
baseline,residual,48,1,11,5.820696232623429,0.0
baseline,residual,48,2,0,4.943570152465475,0.0
baseline,residual,48,2,1,5.177355927646269,0.0
baseline,residual,48,2,2,5.567671037571141,0.0
baseline,residual,48,2,3,5.6085877861219515,0.0
baseline,residual,48,2,4,5.969963678812318,0.0
baseline,residual,48,2,5,5.125663506055913,0.0
baseline,residual,48,2,6,4.767253937199565,0.0
baseline,residual,48,2,7,4.979647567595408,0.0
baseline,residual,48,2,8,5.110613077959725,0.0
baseline,residual,48,2,9,5.559825713574195,0.0
baseline,residual,48,2,10,7.047266927757374,0.0
baseline,residual,48,2,11,6.8200412562374,0.0
baseline,residual,48,3,0,5.307674262503929,0.0
baseline,residual,48,3,1,5.880967795677492,0.0
baseline,residual,48,3,2,6.183331422098462,0.0
baseline,residual,48,3,3,6.263587706867515,0.0
baseline,residual,48,3,4,6.190563466154938,0.0
baseline,residual,48,3,5,5.390383250867057,0.0
baseline,residual,48,3,6,5.031973682010709,0.0
baseline,residual,48,3,7,5.244367312406552,0.0
baseline,residual,48,3,8,5.766000476028941,0.0
baseline,residual,48,3,9,7.235722153663202,0.0
baseline,residual,48,3,10,7.790253130239424,0.0
baseline,residual,48,3,11,7.15094093725133,0.0
baseline,residual,48,4,0,6.131516882619122,0.0
baseline,residual,48,4,1,6.6418356005437165,0.0
baseline,residual,48,4,2,6.863117092946333,0.0
baseline,residual,48,4,3,6.495289294408009,0.0
baseline,residual,48,4,4,6.460881984952181,0.0
baseline,residual,48,4,5,5.714765473423748,0.0
baseline,residual,48,4,6,5.356355904567399,0.0
baseline,residual,48,4,7,5.9640091778139945,0.0
baseline,residual,48,4,8,7.699518655228716,0.0
baseline,residual,48,4,9,7.905677437625164,0.0
baseline,residual,48,4,10,8.195730908435287,0.0
baseline,residual,48,4,11,7.556418715447194,0.0
baseline,residual,48,5,0,6.3752142445907145,0.0
baseline,residual,48,5,1,6.779387488352301,0.0
baseline,residual,48,5,2,7.1539108638909426,0.0
baseline,residual,48,5,3,6.632841182216593,0.0
baseline,residual,48,5,4,6.868499780265721,0.0
baseline,residual,48,5,5,6.934987478012511,0.0
baseline,residual,48,5,6,5.821625938078772,0.0
baseline,residual,48,5,7,6.1565818207460135,0.0
baseline,residual,48,5,8,7.892091298160736,0.0
baseline,residual,48,5,9,8.098250080557184,0.0
baseline,residual,48,5,10,8.436446712100311,0.0
baseline,residual,48,5,11,8.062510332882612,0.0
baseline,residual,48,6,0,6.913559403356247,0.0
baseline,residual,48,6,1,7.203589928419216,0.0
baseline,residual,48,6,2,7.329785674188867,0.0
baseline,residual,48,6,3,7.101796586617281,0.0
baseline,residual,48,6,4,7.102999527329621,0.0
baseline,residual,48,6,5,7.216387174489191,0.0
baseline,residual,48,6,6,6.478163504239733,0.0
baseline,residual,48,6,7,7.884017336318909,0.0
baseline,residual,48,6,8,8.485974714254416,0.0
baseline,residual,48,6,9,8.379649777033865,0.0
baseline,residual,48,6,10,8.788196332696161,0.0
baseline,residual,48,6,11,8.414259953478464,0.0
baseline,residual,48,7,0,7.207651080195359,0.0
baseline,residual,48,7,1,7.622091016527357,0.0
baseline,residual,48,7,2,7.664156055899085,0.0
baseline,residual,48,7,3,7.479914456838995,0.0
baseline,residual,48,7,4,7.306419444468397,0.0
baseline,residual,48,7,5,7.751379785225539,0.0
baseline,residual,48,7,6,8.01582629931935,0.0
baseline,residual,48,7,7,8.41338235462931,0.0
baseline,residual,48,7,8,8.730078614820947,0.0
baseline,residual,48,7,9,8.623753677600396,0.0
baseline,residual,48,7,10,9.093326208404326,0.0
baseline,residual,48,7,11,8.719389829186627,0.0
baseline,residual,48,8,0,7.860883597179339,0.0
baseline,residual,48,8,1,7.857970796499122,0.0
baseline,residual,48,8,2,8.080090734741582,0.0
baseline,residual,48,8,3,8.28634481194708,0.0
baseline,residual,48,8,4,9.271350442133105,0.0
baseline,residual,48,8,5,8.542968001992294,0.0
baseline,residual,48,8,6,8.34605799127982,0.0
baseline,residual,48,8,7,8.74361404658978,0.0
baseline,residual,48,8,8,9.060310306781416,0.0
baseline,residual,48,8,9,8.953985369560863,0.0
baseline,residual,48,8,10,10.407043500630161,0.0
baseline,residual,48,8,11,10.028858971380837,0.0
baseline,residual,48,9,0,8.570412176315843,0.0
baseline,residual,48,9,1,9.458405555358643,0.0
baseline,residual,48,9,2,8.829010524978855,0.0
baseline,residual,48,9,3,8.690060509441558,0.0
baseline,residual,48,9,4,9.499657641653856,0.0
baseline,residual,48,9,5,8.816936641417197,0.0
baseline,residual,48,9,6,8.941223351116264,0.0
baseline,residual,48,9,7,9.299658423652344,0.0
baseline,residual,48,9,8,9.898397209252629,0.0
baseline,residual,48,9,9,9.801229871461787,0.0
baseline,residual,48,9,10,11.113545971245495,0.0
baseline,residual,48,9,11,10.37131977066197,0.0
baseline,residual,48,10,0,9.278999568730013,0.0
baseline,residual,48,10,1,10.023548608572588,0.0
baseline,residual,48,10,2,9.973611591401385,0.0
baseline,residual,48,10,3,10.957476370747552,0.0
baseline,residual,48,10,4,10.541732495082995,0.0
baseline,residual,48,10,5,9.207985439435065,0.0
baseline,residual,48,10,6,9.764838214652688,0.0
baseline,residual,48,10,7,10.123273287188765,0.0
baseline,residual,48,10,8,10.289446007270495,0.0
baseline,residual,48,10,9,11.051042137186013,0.0
baseline,residual,48,10,10,12.612044543479918,0.0
baseline,residual,48,10,11,11.369628997294319,0.0
baseline,residual,48,11,0,10.335448222821347,0.0
baseline,residual,48,11,1,11.817589303239146,0.0
baseline,residual,48,11,2,13.226640221802924,0.0
baseline,residual,48,11,3,12.746410630514214,0.0
baseline,residual,48,11,4,11.553860426107427,0.0
baseline,residual,48,11,5,10.50630524706009,0.0
baseline,residual,48,11,6,11.063158022277715,0.0
baseline,residual,48,11,7,10.72315981597086,0.0
baseline,residual,48,11,8,12.191053584634897,0.0
baseline,residual,48,11,9,12.8625155921753,0.0
baseline,residual,48,11,10,14.88719800793527,0.0
baseline,residual,48,11,11,12.887820893830963,0.0
baseline,residual,48,12,0,12.87845746187069,0.0
baseline,residual,48,12,1,13.228723454408867,0.0
baseline,residual,48,12,2,14.107250229614968,0.0
baseline,residual,48,12,3,13.798586825130672,0.0
baseline,residual,48,12,4,12.78296803642541,0.0
baseline,residual,48,12,5,11.5804135100313,0.0
baseline,residual,48,12,6,12.030581752418344,0.0
baseline,residual,48,12,7,12.193806256689658,0.0
baseline,residual,48,12,8,14.103252307712333,0.0
baseline,residual,48,12,9,13.796575401569084,0.0
baseline,residual,48,12,10,15.466176553746813,0.0
baseline,residual,48,12,11,14.099453631404929,0.0
baseline,residual,48,13,0,12.98485662664536,0.0
baseline,residual,48,13,1,13.524040081996024,0.0
baseline,residual,48,13,2,14.577871774047525,0.0
baseline,residual,48,13,3,14.078354062629295,0.0
baseline,residual,48,13,4,12.937881395549075,0.0
baseline,residual,48,13,5,11.78702572567288,0.0
baseline,residual,48,13,6,12.237193968059922,0.0
baseline,residual,48,13,7,12.28334973991463,0.0
baseline,residual,48,13,8,14.294770804306742,0.0
baseline,residual,48,13,9,14.06774208738312,0.0
baseline,residual,48,13,10,15.820219530226582,0.0
baseline,residual,48,13,11,14.331823670090422,0.0
baseline,residual,48,14,0,13.196726140454134,0.0
baseline,residual,48,14,1,13.741869726875398,0.0
baseline,residual,48,14,2,14.677166654408722,0.0
baseline,residual,48,14,3,14.246407941631137,0.0
baseline,residual,48,14,4,13.070274569364004,0.0
baseline,residual,48,14,5,11.945897534250797,0.0
baseline,residual,48,14,6,12.472469398662499,0.0
baseline,residual,48,14,7,13.27093961585546,0.0
baseline,residual,48,14,8,14.599732307137867,0.0
baseline,residual,48,14,9,14.226613895961036,0.0
baseline,residual,48,14,10,16.01880929094898,0.0
baseline,residual,48,14,11,14.53041343081282,0.0
baseline,residual,48,15,0,13.339986400148085,0.0
baseline,residual,48,15,1,13.981468007422661,0.0
baseline,residual,48,15,2,14.846535359351902,0.0
baseline,residual,48,15,3,14.430599704094794,0.0
baseline,residual,48,15,4,13.189312070592596,0.0
baseline,residual,48,15,5,12.216887462159882,0.0
baseline,residual,48,15,6,13.538429336566718,0.0
baseline,residual,48,15,7,13.528808083304574,0.0
baseline,residual,48,15,8,14.74257730861218,0.0
baseline,residual,48,15,9,14.369458897435345,0.0
baseline,residual,48,15,10,16.197365542791868,0.0
baseline,residual,48,15,11,14.708969682655706,0.0
baseline,residual,48,16,0,14.024458056423907,0.0
baseline,residual,48,16,1,14.677369821803003,0.0
baseline,residual,48,16,2,15.437467596396681,0.0
baseline,residual,48,16,3,14.680946239262234,0.0
baseline,residual,48,16,4,13.481383028287944,0.0
baseline,residual,48,16,5,12.567372611394298,0.0
baseline,residual,48,16,6,13.888914485801136,0.0
baseline,residual,48,16,7,14.16585063456382,0.0
baseline,residual,48,16,8,16.962229636962967,0.0
baseline,residual,48,16,9,15.057164035542993,0.0
baseline,residual,48,16,10,16.635471979334888,0.0
baseline,residual,48,16,11,15.14707611919873,0.0
baseline,residual,48,17,0,14.289345147588097,0.0
baseline,residual,48,17,1,14.820138710750614,0.0
baseline,residual,48,17,2,15.689838265232469,0.0
baseline,residual,48,17,3,15.032611177259469,0.0
baseline,residual,48,17,4,14.65266998330474,0.0
baseline,residual,48,17,5,13.191983353562469,0.0
baseline,residual,48,17,6,14.088790930327797,0.0
baseline,residual,48,17,7,14.365727079090478,0.0
baseline,residual,48,17,8,17.16210608148963,0.0
baseline,residual,48,17,9,15.257040480069653,0.0
baseline,residual,48,17,10,17.515334140347083,0.0
baseline,residual,48,17,11,15.887295552507828,0.0
baseline,residual,48,18,0,14.342792045279689,0.0
baseline,residual,48,18,1,14.939204301817076,0.0
baseline,residual,48,18,2,15.88975771678281,0.0
baseline,residual,48,18,3,15.1497452200122,0.0
baseline,residual,48,18,4,14.711734864921588,0.0
baseline,residual,48,18,5,13.266723266210422,0.0
baseline,residual,48,18,6,14.16353084297575,0.0
baseline,residual,48,18,7,14.400087051739755,0.0
baseline,residual,48,18,8,17.258310497334488,0.0
baseline,residual,48,18,9,15.370073228130245,0.0
baseline,residual,48,18,10,17.659816007272056,0.0
baseline,residual,48,18,11,15.975892874933104,0.0
baseline,residual,48,19,0,14.343004267440884,0.0
baseline,residual,48,19,1,14.940460518124144,0.0
baseline,residual,48,19,2,15.889881727922779,0.0
baseline,residual,48,19,3,15.150018077076599,0.0
baseline,residual,48,19,4,14.711887724124644,0.0
baseline,residual,48,19,5,13.26692168403437,0.0
baseline,residual,48,19,6,14.174420599619449,0.0
baseline,residual,48,19,7,14.400469051629909,0.0
baseline,residual,48,19,8,17.25849392837815,0.0
baseline,residual,48,19,9,15.37025665917391,0.0
baseline,residual,48,19,10,17.660045296076635,0.0
baseline,residual,48,19,11,15.976122163737685,0.0
baseline,residual,48,20,0,14.351657370161284,0.0
baseline,residual,48,20,1,14.948722359377092,0.0
baseline,residual,48,20,2,15.895707931624791,0.0
baseline,residual,48,20,3,15.151981756300419,0.0
baseline,residual,48,20,4,14.7141786832191,0.0
baseline,residual,48,20,5,13.26967083494772,0.0
baseline,residual,48,20,6,14.177169750532796,0.0
baseline,residual,48,20,7,14.409471861516757,0.0
