source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteMI-v0,24,0,0,4.111572169374925,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,1,4.047668163181161,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,2,4.073440633852028,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,3,3.986007305482351,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,4,4.025610186944881,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,5,3.8568162002999173,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,6,3.9655299747030273,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,7,4.151609893565003,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,8,4.124463711365779,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,9,4.180479461822852,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,10,4.14260920782707,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,11,4.138396713773957,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,12,4.038761590694159,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,13,4.345735059918875,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,14,4.057513923688766,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,15,3.7535781159815684,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,16,4.075594289492643,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,17,3.8249317823974165,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,18,4.0767364255865015,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,19,4.3296936498179495,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,20,3.9265083847971347,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,21,3.9429209695647374,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,22,4.26110796101579,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,0,23,4.4124461904741805,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,0,4.236154278426641,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,1,4.160788616469076,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,2,4.2070236144848145,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,3,4.381218918668084,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,4,4.098740912711058,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,5,4.246380744124944,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,6,4.084438124478158,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,7,4.5554240365561105,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,8,4.305636985972067,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,9,4.180479461822852,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,10,4.36685700412016,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,11,4.131556847008414,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,12,4.245747748910834,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,13,4.356156831229744,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,14,4.067935694999637,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,15,3.960564274198243,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,16,4.1759930577943045,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,17,4.152397626307091,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,18,4.0767364255865015,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,19,5.4815589123167205,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,20,3.964498080599192,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,21,4.567250959590349,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,22,4.541417706382151,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,1,23,4.403896357017251,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,0,4.236154278426641,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,1,4.160788616469076,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,2,4.2070236144848145,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,3,4.381218918668084,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,4,4.098740912711058,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,5,4.246380744124944,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,6,4.084438124478158,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,7,4.55542403655611,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,8,4.305636985972067,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,9,4.180479461822852,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,10,4.36685700412016,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,11,4.131556847008414,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,12,4.245747748910834,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,13,4.356156831229744,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,14,4.067935694999637,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,15,3.960564274198243,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,16,4.1759930577943045,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,17,4.152397626307091,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,18,4.0767364255865015,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,19,5.4815589123167205,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,20,3.964498080599192,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,21,4.567250959590349,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,22,4.541417706382151,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,2,23,4.403896357017251,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,0,4.236154278426641,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,1,4.160788616469076,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,2,4.2070236144848145,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,3,4.381218918668084,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,4,4.098740912711058,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,5,4.246380744124944,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,6,4.084438124478158,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,7,4.55542403655611,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,8,4.305636985972067,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,9,4.180479461822852,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,10,4.36685700412016,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,11,4.131556847008414,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,12,4.245747748910834,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,13,4.356156831229744,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,14,4.067935694999637,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,15,3.960564274198243,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,16,4.1759930577943045,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,17,4.152397626307091,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,18,4.0767364255865015,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,19,5.4815589123167205,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,20,3.964498080599192,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,21,4.567250959590349,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,22,4.541417706382151,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,3,23,4.403896357017251,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,0,4.236154278426641,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,1,4.160788616469076,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,2,4.2070236144848145,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,3,4.381218918668084,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,4,4.098740912711058,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,5,4.246380744124944,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,6,4.084438124478158,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,7,4.55542403655611,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,8,4.305636985972067,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,9,4.180479461822852,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,10,4.36685700412016,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,11,4.131556847008414,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,12,4.245747748910834,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,13,4.356156831229744,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,14,4.067935694999637,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,15,3.960564274198243,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,16,4.1759930577943045,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,17,4.152397626307091,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,18,4.0767364255865015,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,19,5.4815589123167205,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,20,3.964498080599192,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,21,4.567250959590349,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,22,4.541417706382151,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,4,23,4.403896357017251,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,0,4.236154278426641,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,1,4.160788616469076,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,2,4.2070236144848145,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,3,4.381218918668084,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,4,4.098740912711058,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,5,4.246380744124944,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,6,4.084438124478158,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,7,4.55542403655611,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,8,4.305636985972067,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,9,4.180479461822852,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,10,4.36685700412016,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,11,4.131556847008414,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,12,4.245747748910834,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,13,4.356156831229744,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,14,4.067935694999637,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,15,3.960564274198243,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,16,4.1759930577943045,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,17,4.152397626307091,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,18,4.0767364255865015,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,19,5.4815589123167205,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,20,3.964498080599192,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,21,4.567250959590349,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,22,4.541417706382151,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,5,23,4.403896357017251,0.0
rl,dqn | LDPC-DiscreteMI-v0,24,6,0,4.236154278426641,0.0
