source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteResidual-v0,48,0,0,4.079620166278043,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,1,4.02972396966719,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,2,3.941213193622399,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,3,4.058569934134015,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,4,4.152471586594315,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,5,4.140502960800514,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,6,4.192248325306517,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,7,3.905546019835167,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,8,3.9502630359450297,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,9,4.2032150377022255,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,10,3.9347146771809363,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,0,11,4.336777075744985,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,0,4.4562083400317345,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,1,4.273375221674306,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,2,4.385343198187847,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,3,4.566147082208813,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,4,5.025267392637147,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,5,4.816795610045555,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,6,4.53336007811648,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,7,4.24665777264513,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,8,4.291374788754992,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,9,4.544326790512188,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,10,4.822974686311832,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,1,11,6.064946905353082,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,0,4.855135112352719,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,1,4.647950238843898,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,2,4.7050522695197285,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,3,4.678838090939887,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,4,5.1567402361567325,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,5,4.974563022269056,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,6,4.691127490339981,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,7,4.610958860915394,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,8,5.209522566461905,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,9,4.862198138502854,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,10,5.02018395159121,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,2,11,6.262156170632458,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,0,5.012871203589349,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,1,4.942918567314664,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,2,5.212641591614427,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,3,4.98571743877229,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,4,5.316411639753302,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,5,5.171070626095148,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,6,4.887635094166073,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,7,4.708952338599967,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,8,5.493447530687839,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,9,5.177087582658654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,10,5.42320062678241,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,3,11,6.501663276027315,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,4,0,5.346694549017831,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,4,1,5.127168323845973,0.0
