source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,48,0,0,4.079620166278043,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,1,4.02972396966719,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,2,3.941213193622399,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,3,4.058569934134015,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,4,4.152471586594315,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,5,4.140502960800514,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,6,4.192248325306517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,7,3.905546019835167,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,8,3.9502630359450297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,9,4.2032150377022255,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,10,3.9347146771809363,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,0,11,4.336777075744985,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,1,10,4.122532849190943,0.0
