source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
baseline,layered,48,0,0,13.190018717476084,0.0
baseline,layered,48,0,1,11.440631936758273,0.0
baseline,layered,48,0,2,13.190018717476084,0.0
baseline,layered,48,0,3,11.66318145706882,0.0
baseline,layered,48,0,4,11.440631936758273,0.0
baseline,layered,48,0,5,11.440631936758273,0.0
baseline,layered,48,0,6,11.839148153182606,0.0
baseline,layered,48,0,7,11.440631936758273,0.0
baseline,layered,48,0,8,13.190018717476084,0.0
baseline,layered,48,0,9,11.66318145706882,0.0
baseline,layered,48,0,10,11.440631936758273,0.0
baseline,layered,48,0,11,11.440631936758273,0.0
baseline,layered,48,1,0,12.898460306431238,0.0
baseline,layered,48,1,1,11.456458948829152,0.0
baseline,layered,48,1,2,12.898460306431238,0.0
baseline,layered,48,1,3,11.66318145706882,0.0
baseline,layered,48,1,4,11.748365585676448,0.0
baseline,layered,48,1,5,11.456458948829152,0.0
baseline,layered,48,1,6,11.839148153182606,0.0
baseline,layered,48,1,7,11.456458948829152,0.0
baseline,layered,48,1,8,12.898460306431238,0.0
baseline,layered,48,1,9,11.66318145706882,0.0
baseline,layered,48,1,10,11.456458948829152,0.0
baseline,layered,48,1,11,11.748365585676448,0.0
baseline,layered,48,2,0,12.898460306431238,0.0
baseline,layered,48,2,1,12.711196135091608,0.0
baseline,layered,48,2,2,12.898460306431238,0.0
baseline,layered,48,2,3,11.66318145706882,0.0
baseline,layered,48,2,4,11.748365585676448,0.0
baseline,layered,48,2,5,10.800947095706963,0.0
baseline,layered,48,2,6,11.839148153182606,0.0
baseline,layered,48,2,7,11.871493018737933,0.0
baseline,layered,48,2,8,12.898460306431238,0.0
baseline,layered,48,2,9,12.53756094424169,0.0
baseline,layered,48,2,10,10.944496977307473,0.0
baseline,layered,48,2,11,11.748365585676448,0.0
baseline,layered,48,3,0,14.403509786415963,0.0
baseline,layered,48,3,1,13.489823329834438,0.0
baseline,layered,48,3,2,14.705511582850582,0.0
baseline,layered,48,3,3,14.705511582850582,0.0
baseline,layered,48,3,4,14.705511582850582,0.0
baseline,layered,48,3,5,13.131266469282714,0.0
baseline,layered,48,3,6,13.131266469282714,0.0
baseline,layered,48,3,7,13.131266469282714,0.0
baseline,layered,48,3,8,14.403509786415963,0.0
baseline,layered,48,3,9,13.489823329834438,0.0
baseline,layered,48,3,10,14.705511582850582,0.0
baseline,layered,48,3,11,14.705511582850582,0.0
baseline,layered,48,4,0,16.21931367113288,0.0
baseline,layered,48,4,1,16.93240429301931,0.0
baseline,layered,48,4,2,18.14806211284455,0.0
baseline,layered,48,4,3,18.14806211284455,0.0
baseline,layered,48,4,4,18.14806211284455,0.0
baseline,layered,48,4,5,16.21931367113288,0.0
baseline,layered,48,4,6,16.21931367113288,0.0
baseline,layered,48,4,7,16.21931367113288,0.0
baseline,layered,48,4,8,16.21931367113288,0.0
baseline,layered,48,4,9,16.93240429301931,0.0
baseline,layered,48,4,10,18.14806211284455,0.0
baseline,layered,48,4,11,18.14806211284455,0.0
baseline,layered,48,5,0,15.411471151259708,0.0
baseline,layered,48,5,1,16.93240429301931,0.0
baseline,layered,48,5,2,19.05177098850244,0.0
baseline,layered,48,5,3,19.05177098850244,0.0
baseline,layered,48,5,4,19.05177098850244,0.0
baseline,layered,48,5,5,15.411471151259708,0.0
baseline,layered,48,5,6,15.411471151259708,0.0
baseline,layered,48,5,7,15.411471151259708,0.0
baseline,layered,48,5,8,15.411471151259708,0.0
baseline,layered,48,5,9,16.93240429301931,0.0
baseline,layered,48,5,10,19.05177098850244,0.0
baseline,layered,48,5,11,19.05177098850244,0.0
baseline,layered,48,6,0,15.102225100711479,0.0
baseline,layered,48,6,1,16.93240429301931,0.0
baseline,layered,48,6,2,19.05177098850244,0.0
baseline,layered,48,6,3,19.05177098850244,0.0
baseline,layered,48,6,4,19.05177098850244,0.0
baseline,layered,48,6,5,15.102225100711479,0.0
baseline,layered,48,6,6,15.102225100711479,0.0
baseline,layered,48,6,7,15.102225100711479,0.0
baseline,layered,48,6,8,15.102225100711479,0.0
baseline,layered,48,6,9,16.93240429301931,0.0
baseline,layered,48,6,10,19.05177098850244,0.0
baseline,layered,48,6,11,19.05177098850244,0.0
baseline,layered,48,7,0,21.64130523068133,0.0
baseline,layered,48,7,1,21.64130523068133,0.0
baseline,layered,48,7,2,21.64130523068133,0.0
baseline,layered,48,7,3,21.64130523068133,0.0
baseline,layered,48,7,4,21.64130523068133,0.0
baseline,layered,48,7,5,21.64130523068133,0.0
baseline,layered,48,7,6,21.64130523068133,0.0
baseline,layered,48,7,7,21.64130523068133,0.0
baseline,layered,48,7,8,21.64130523068133,0.0
baseline,layered,48,7,9,21.64130523068133,0.0
baseline,layered,48,7,10,21.64130523068133,0.0
baseline,layered,48,7,11,21.64130523068133,0.0
baseline,layered,48,8,0,24.463511303039297,0.0
baseline,layered,48,8,1,24.463511303039297,0.0
baseline,layered,48,8,2,24.463511303039297,0.0
baseline,layered,48,8,3,24.463511303039297,0.0
baseline,layered,48,8,4,24.463511303039297,0.0
baseline,layered,48,8,5,24.463511303039297,0.0
baseline,layered,48,8,6,24.463511303039297,0.0
baseline,layered,48,8,7,24.463511303039297,0.0
baseline,layered,48,8,8,24.463511303039297,0.0
baseline,layered,48,8,9,24.463511303039297,0.0
baseline,layered,48,8,10,24.463511303039297,0.0
baseline,layered,48,8,11,24.463511303039297,0.0
baseline,layered,48,9,0,27.262390892471817,0.0
baseline,layered,48,9,1,27.262390892471817,0.0
baseline,layered,48,9,2,27.262390892471817,0.0
baseline,layered,48,9,3,27.262390892471817,0.0
baseline,layered,48,9,4,27.262390892471817,0.0
baseline,layered,48,9,5,27.262390892471817,0.0
baseline,layered,48,9,6,27.262390892471817,0.0
baseline,layered,48,9,7,27.262390892471817,0.0
baseline,layered,48,9,8,27.262390892471817,0.0
baseline,layered,48,9,9,27.262390892471817,0.0
baseline,layered,48,9,10,27.262390892471817,0.0
baseline,layered,48,9,11,27.262390892471817,0.0
baseline,layered,48,10,0,30.348978438898797,0.0
baseline,layered,48,10,1,30.348978438898797,0.0
baseline,layered,48,10,2,30.348978438898797,0.0
baseline,layered,48,10,3,30.348978438898797,0.0
baseline,layered,48,10,4,30.348978438898797,0.0
baseline,layered,48,10,5,30.348978438898797,0.0
baseline,layered,48,10,6,30.348978438898797,0.0
baseline,layered,48,10,7,30.348978438898797,0.0
baseline,layered,48,10,8,30.348978438898797,0.0
baseline,layered,48,10,9,30.348978438898797,0.0
baseline,layered,48,10,10,30.348978438898797,0.0
baseline,layered,48,10,11,30.348978438898797,0.0
baseline,layered,48,11,0,32.11510476386815,0.0
baseline,layered,48,11,1,32.11510476386815,0.0
baseline,layered,48,11,2,32.11510476386815,0.0
baseline,layered,48,11,3,32.11510476386815,0.0
baseline,layered,48,11,4,32.11510476386815,0.0
baseline,layered,48,11,5,32.11510476386815,0.0
baseline,layered,48,11,6,32.11510476386815,0.0
baseline,layered,48,11,7,32.11510476386815,0.0
baseline,layered,48,11,8,32.11510476386815,0.0
baseline,layered,48,11,9,32.11510476386815,0.0
baseline,layered,48,11,10,32.11510476386815,0.0
baseline,layered,48,11,11,32.11510476386815,0.0
baseline,layered,48,12,0,37.09470070995677,0.0
baseline,layered,48,12,1,37.09470070995677,0.0
baseline,layered,48,12,2,37.09470070995677,0.0
baseline,layered,48,12,3,37.09470070995677,0.0
baseline,layered,48,12,4,37.09470070995677,0.0
baseline,layered,48,12,5,37.09470070995677,0.0
baseline,layered,48,12,6,37.09470070995677,0.0
baseline,layered,48,12,7,37.09470070995677,0.0
baseline,layered,48,12,8,37.09470070995677,0.0
baseline,layered,48,12,9,37.09470070995677,0.0
baseline,layered,48,12,10,37.09470070995677,0.0
baseline,layered,48,12,11,37.09470070995677,0.0
baseline,layered,48,13,0,39.487500189335165,0.0
baseline,layered,48,13,1,39.487500189335165,0.0
baseline,layered,48,13,2,39.487500189335165,0.0
baseline,layered,48,13,3,39.487500189335165,0.0
baseline,layered,48,13,4,39.487500189335165,0.0
baseline,layered,48,13,5,39.487500189335165,0.0
baseline,layered,48,13,6,39.487500189335165,0.0
baseline,layered,48,13,7,39.487500189335165,0.0
baseline,layered,48,13,8,39.487500189335165,0.0
baseline,layered,48,13,9,39.487500189335165,0.0
baseline,layered,48,13,10,39.487500189335165,0.0
baseline,layered,48,13,11,39.487500189335165,0.0
baseline,layered,48,14,0,39.50108037039905,0.0
baseline,layered,48,14,1,39.50108037039905,0.0
baseline,layered,48,14,2,39.50108037039905,0.0
baseline,layered,48,14,3,39.50108037039905,0.0
baseline,layered,48,14,4,39.50108037039905,0.0
baseline,layered,48,14,5,39.50108037039905,0.0
baseline,layered,48,14,6,39.50108037039905,0.0
baseline,layered,48,14,7,39.50108037039905,0.0
baseline,layered,48,14,8,39.50108037039905,0.0
baseline,layered,48,14,9,39.50108037039905,0.0
baseline,layered,48,14,10,39.50108037039905,0.0
baseline,layered,48,14,11,39.50108037039905,0.0
baseline,layered,48,15,0,45.33880912732866,0.0
baseline,layered,48,15,1,45.33880912732866,0.0
baseline,layered,48,15,2,45.33880912732866,0.0
baseline,layered,48,15,3,45.33880912732866,0.0
baseline,layered,48,15,4,45.33880912732866,0.0
baseline,layered,48,15,5,45.33880912732866,0.0
baseline,layered,48,15,6,45.33880912732866,0.0
baseline,layered,48,15,7,45.33880912732866,0.0
baseline,layered,48,15,8,45.33880912732866,0.0
baseline,layered,48,15,9,45.33880912732866,0.0
baseline,layered,48,15,10,45.33880912732866,0.0
baseline,layered,48,15,11,45.33880912732866,0.0
baseline,layered,48,16,0,48.81918894436091,0.0
baseline,layered,48,16,1,48.81918894436091,0.0
baseline,layered,48,16,2,48.81918894436091,0.0
baseline,layered,48,16,3,48.81918894436091,0.0
baseline,layered,48,16,4,48.81918894436091,0.0
baseline,layered,48,16,5,48.81918894436091,0.0
baseline,layered,48,16,6,48.81918894436091,0.0
baseline,layered,48,16,7,48.81918894436091,0.0
baseline,layered,48,16,8,48.81918894436091,0.0
baseline,layered,48,16,9,48.81918894436091,0.0
baseline,layered,48,16,10,48.81918894436091,0.0
baseline,layered,48,16,11,48.81918894436091,0.0
baseline,layered,48,17,0,51.693704059624224,0.0
baseline,layered,48,17,1,51.693704059624224,0.0
baseline,layered,48,17,2,51.693704059624224,0.0
baseline,layered,48,17,3,51.693704059624224,0.0
baseline,layered,48,17,4,51.693704059624224,0.0
baseline,layered,48,17,5,51.693704059624224,0.0
baseline,layered,48,17,6,51.693704059624224,0.0
baseline,layered,48,17,7,51.693704059624224,0.0
baseline,layered,48,17,8,51.693704059624224,0.0
baseline,layered,48,17,9,51.693704059624224,0.0
baseline,layered,48,17,10,51.693704059624224,0.0
baseline,layered,48,17,11,51.693704059624224,0.0
baseline,layered,48,18,0,55.48003879297698,0.0
baseline,layered,48,18,1,55.48003879297698,0.0
baseline,layered,48,18,2,55.48003879297698,0.0
baseline,layered,48,18,3,55.48003879297698,0.0
baseline,layered,48,18,4,55.48003879297698,0.0
baseline,layered,48,18,5,55.48003879297698,0.0
baseline,layered,48,18,6,55.48003879297698,0.0
baseline,layered,48,18,7,55.48003879297698,0.0
baseline,layered,48,18,8,55.48003879297698,0.0
baseline,layered,48,18,9,55.48003879297698,0.0
baseline,layered,48,18,10,55.48003879297698,0.0
baseline,layered,48,18,11,55.48003879297698,0.0
baseline,layered,48,19,0,56.34841352544837,0.0
baseline,layered,48,19,1,56.34841352544837,0.0
baseline,layered,48,19,2,56.34841352544837,0.0
baseline,layered,48,19,3,56.34841352544837,0.0
baseline,layered,48,19,4,56.34841352544837,0.0
baseline,layered,48,19,5,56.34841352544837,0.0
baseline,layered,48,19,6,56.34841352544837,0.0
baseline,layered,48,19,7,56.34841352544837,0.0
baseline,layered,48,19,8,56.34841352544837,0.0
baseline,layered,48,19,9,56.34841352544837,0.0
baseline,layered,48,19,10,56.34841352544837,0.0
baseline,layered,48,19,11,56.34841352544837,0.0
baseline,layered,48,20,0,57.537734447844294,0.0
baseline,layered,48,20,1,57.537734447844294,0.0
baseline,layered,48,20,2,57.537734447844294,0.0
baseline,layered,48,20,3,57.537734447844294,0.0
baseline,layered,48,20,4,57.537734447844294,0.0
baseline,layered,48,20,5,57.537734447844294,0.0
baseline,layered,48,20,6,57.537734447844294,0.0
baseline,layered,48,20,7,57.537734447844294,0.0
baseline,layered,48,20,8,57.537734447844294,0.0
baseline,layered,48,20,9,57.537734447844294,0.0
baseline,layered,48,20,10,57.537734447844294,0.0
baseline,layered,48,20,11,57.537734447844294,0.0
baseline,layered,48,21,0,59.13564206704807,0.0
baseline,layered,48,21,1,59.13564206704807,0.0
baseline,layered,48,21,2,59.13564206704807,0.0
baseline,layered,48,21,3,59.13564206704807,0.0
baseline,layered,48,21,4,59.13564206704807,0.0
baseline,layered,48,21,5,59.13564206704807,0.0
baseline,layered,48,21,6,59.13564206704807,0.0
baseline,layered,48,21,7,59.13564206704807,0.0
baseline,layered,48,21,8,59.13564206704807,0.0
baseline,layered,48,21,9,59.13564206704807,0.0
baseline,layered,48,21,10,59.13564206704807,0.0
baseline,layered,48,21,11,59.13564206704807,0.0
baseline,layered,48,22,0,62.53244275787349,0.0
baseline,layered,48,22,1,62.53244275787349,0.0
baseline,layered,48,22,2,62.53244275787349,0.0
baseline,layered,48,22,3,62.53244275787349,0.0
baseline,layered,48,22,4,62.53244275787349,0.0
baseline,layered,48,22,5,62.53244275787349,0.0
baseline,layered,48,22,6,62.53244275787349,0.0
baseline,layered,48,22,7,62.53244275787349,0.0
baseline,layered,48,22,8,62.53244275787349,0.0
baseline,layered,48,22,9,62.53244275787349,0.0
baseline,layered,48,22,10,62.53244275787349,0.0
baseline,layered,48,22,11,62.53244275787349,0.0
baseline,layered,48,23,0,65.66531675498797,0.0
baseline,layered,48,23,1,65.66531675498797,0.0
baseline,layered,48,23,2,65.66531675498797,0.0
baseline,layered,48,23,3,65.66531675498797,0.0
baseline,layered,48,23,4,65.66531675498797,0.0
baseline,layered,48,23,5,65.66531675498797,0.0
baseline,layered,48,23,6,65.66531675498797,0.0
baseline,layered,48,23,7,65.66531675498797,0.0
baseline,layered,48,23,8,65.66531675498797,0.0
baseline,layered,48,23,9,65.66531675498797,0.0
baseline,layered,48,23,10,65.66531675498797,0.0
baseline,layered,48,23,11,65.66531675498797,0.0
baseline,layered,48,24,0,70.98738216692914,0.0
baseline,layered,48,24,1,70.98738216692914,0.0
baseline,layered,48,24,2,70.98738216692914,0.0
baseline,layered,48,24,3,70.98738216692914,0.0
baseline,layered,48,24,4,70.98738216692914,0.0
baseline,layered,48,24,5,70.98738216692914,0.0
baseline,layered,48,24,6,70.98738216692914,0.0
baseline,layered,48,24,7,70.98738216692914,0.0
baseline,layered,48,24,8,70.98738216692914,0.0
baseline,layered,48,24,9,70.98738216692914,0.0
baseline,layered,48,24,10,70.98738216692914,0.0
baseline,layered,48,24,11,70.98738216692914,0.0
baseline,layered,48,25,0,75.91481396735423,0.0
baseline,layered,48,25,1,75.91481396735423,0.0
baseline,layered,48,25,2,75.91481396735423,0.0
baseline,layered,48,25,3,75.91481396735423,0.0
baseline,layered,48,25,4,75.91481396735423,0.0
baseline,layered,48,25,5,75.91481396735423,0.0
baseline,layered,48,25,6,75.91481396735423,0.0
baseline,layered,48,25,7,75.91481396735423,0.0
baseline,layered,48,25,8,75.91481396735423,0.0
baseline,layered,48,25,9,75.91481396735423,0.0
baseline,layered,48,25,10,75.91481396735423,0.0
baseline,layered,48,25,11,75.91481396735423,0.0
baseline,layered,48,26,0,79.51957037958758,0.0
baseline,layered,48,26,1,79.51957037958758,0.0
baseline,layered,48,26,2,79.51957037958758,0.0
baseline,layered,48,26,3,79.51957037958758,0.0
baseline,layered,48,26,4,79.51957037958758,0.0
baseline,layered,48,26,5,79.51957037958758,0.0
baseline,layered,48,26,6,79.51957037958758,0.0
baseline,layered,48,26,7,79.51957037958758,0.0
baseline,layered,48,26,8,79.51957037958758,0.0
baseline,layered,48,26,9,79.51957037958758,0.0
baseline,layered,48,26,10,79.51957037958758,0.0
baseline,layered,48,26,11,79.51957037958758,0.0
baseline,layered,48,27,0,85.99192155203045,0.0
baseline,layered,48,27,1,85.99192155203045,0.0
baseline,layered,48,27,2,85.99192155203045,0.0
baseline,layered,48,27,3,85.99192155203045,0.0
baseline,layered,48,27,4,85.99192155203045,0.0
baseline,layered,48,27,5,85.99192155203045,0.0
baseline,layered,48,27,6,85.99192155203045,0.0
baseline,layered,48,27,7,85.99192155203045,0.0
baseline,layered,48,27,8,85.99192155203045,0.0
baseline,layered,48,27,9,85.99192155203045,0.0
baseline,layered,48,27,10,85.99192155203045,0.0
baseline,layered,48,27,11,85.99192155203045,0.0
baseline,layered,48,28,0,87.35189312846724,0.0
baseline,layered,48,28,1,87.35189312846724,0.0
baseline,layered,48,28,2,87.35189312846724,0.0
baseline,layered,48,28,3,87.35189312846724,0.0
