source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
baseline,parallel,48,0,0,13.190018717476084,0.0
baseline,parallel,48,0,1,11.440631936758273,0.0
baseline,parallel,48,0,2,13.190018717476084,0.0
baseline,parallel,48,0,3,11.66318145706882,0.0
baseline,parallel,48,0,4,11.440631936758273,0.0
baseline,parallel,48,0,5,11.440631936758273,0.0
baseline,parallel,48,0,6,11.839148153182606,0.0
baseline,parallel,48,0,7,11.440631936758273,0.0
baseline,parallel,48,0,8,13.190018717476084,0.0
baseline,parallel,48,0,9,11.66318145706882,0.0
baseline,parallel,48,0,10,11.440631936758273,0.0
baseline,parallel,48,0,11,11.440631936758273,0.0
baseline,parallel,48,1,0,27.961334567136987,0.0
baseline,parallel,48,1,1,27.961334567136987,0.0
baseline,parallel,48,1,2,27.961334567136987,0.0
baseline,parallel,48,1,3,27.961334567136987,0.0
baseline,parallel,48,1,4,27.961334567136987,0.0
baseline,parallel,48,1,5,27.961334567136987,0.0
baseline,parallel,48,1,6,27.961334567136987,0.0
baseline,parallel,48,1,7,27.961334567136987,0.0
baseline,parallel,48,1,8,27.961334567136987,0.0
baseline,parallel,48,1,9,27.961334567136987,0.0
baseline,parallel,48,1,10,27.961334567136987,0.0
baseline,parallel,48,1,11,27.961334567136987,0.0
baseline,parallel,48,2,0,45.36621099970669,0.0
baseline,parallel,48,2,1,45.36621099970669,0.0
baseline,parallel,48,2,2,45.36621099970669,0.0
baseline,parallel,48,2,3,45.36621099970669,0.0
baseline,parallel,48,2,4,45.36621099970669,0.0
baseline,parallel,48,2,5,45.36621099970669,0.0
baseline,parallel,48,2,6,45.36621099970669,0.0
baseline,parallel,48,2,7,45.36621099970669,0.0
baseline,parallel,48,2,8,45.36621099970669,0.0
baseline,parallel,48,2,9,45.36621099970669,0.0
baseline,parallel,48,2,10,45.36621099970669,0.0
baseline,parallel,48,2,11,45.36621099970669,0.0
baseline,parallel,48,3,0,63.15833516241784,0.0
baseline,parallel,48,3,1,63.15833516241784,0.0
baseline,parallel,48,3,2,63.15833516241784,0.0
baseline,parallel,48,3,3,63.15833516241784,0.0
baseline,parallel,48,3,4,63.15833516241784,0.0
baseline,parallel,48,3,5,63.15833516241784,0.0
baseline,parallel,48,3,6,63.15833516241784,0.0
baseline,parallel,48,3,7,63.15833516241784,0.0
baseline,parallel,48,3,8,63.15833516241784,0.0
baseline,parallel,48,3,9,63.15833516241784,0.0
baseline,parallel,48,3,10,63.15833516241784,0.0
baseline,parallel,48,3,11,63.15833516241784,0.0
baseline,parallel,48,4,0,86.30921545099471,0.0
baseline,parallel,48,4,1,86.30921545099471,0.0
baseline,parallel,48,4,2,86.30921545099471,0.0
baseline,parallel,48,4,3,86.30921545099471,0.0
baseline,parallel,48,4,4,86.30921545099471,0.0
baseline,parallel,48,4,5,86.30921545099471,0.0
baseline,parallel,48,4,6,86.30921545099471,0.0
baseline,parallel,48,4,7,86.30921545099471,0.0
baseline,parallel,48,4,8,86.30921545099471,0.0
baseline,parallel,48,4,9,86.30921545099471,0.0
baseline,parallel,48,4,10,86.30921545099471,0.0
baseline,parallel,48,4,11,86.30921545099471,0.0
baseline,parallel,48,5,0,104.3945398220648,0.0
baseline,parallel,48,5,1,104.3945398220648,0.0
baseline,parallel,48,5,2,104.3945398220648,0.0
baseline,parallel,48,5,3,104.3945398220648,0.0
baseline,parallel,48,5,4,inf,0.0
baseline,parallel,48,5,5,104.3945398220648,0.0
baseline,parallel,48,5,6,104.3945398220648,0.0
baseline,parallel,48,5,7,104.3945398220648,0.0
baseline,parallel,48,5,8,104.3945398220648,0.0
baseline,parallel,48,5,9,104.3945398220648,0.0
baseline,parallel,48,5,10,inf,0.0
baseline,parallel,48,5,11,104.3945398220648,0.0
