source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
baseline,serial_emulated,48,0,0,13.190018717476084,0.0
baseline,serial_emulated,48,0,1,11.440631936758273,0.0
baseline,serial_emulated,48,0,2,13.190018717476084,0.0
baseline,serial_emulated,48,0,3,11.66318145706882,0.0
baseline,serial_emulated,48,0,4,11.440631936758273,0.0
baseline,serial_emulated,48,0,5,11.440631936758273,0.0
baseline,serial_emulated,48,0,6,11.839148153182606,0.0
baseline,serial_emulated,48,0,7,11.440631936758273,0.0
baseline,serial_emulated,48,0,8,13.190018717476084,0.0
baseline,serial_emulated,48,0,9,11.66318145706882,0.0
baseline,serial_emulated,48,0,10,11.440631936758273,0.0
baseline,serial_emulated,48,0,11,11.440631936758273,0.0
baseline,serial_emulated,48,1,0,13.190018717476084,0.0
baseline,serial_emulated,48,1,1,11.440631936758273,0.0
baseline,serial_emulated,48,1,2,13.190018717476084,0.0
baseline,serial_emulated,48,1,3,11.66318145706882,0.0
baseline,serial_emulated,48,1,4,11.440631936758273,0.0
baseline,serial_emulated,48,1,5,11.440631936758273,0.0
baseline,serial_emulated,48,1,6,11.839148153182606,0.0
baseline,serial_emulated,48,1,7,11.440631936758273,0.0
baseline,serial_emulated,48,1,8,13.190018717476084,0.0
baseline,serial_emulated,48,1,9,11.66318145706882,0.0
baseline,serial_emulated,48,1,10,11.440631936758273,0.0
baseline,serial_emulated,48,1,11,11.440631936758273,0.0
baseline,serial_emulated,48,2,0,13.190018717476084,0.0
baseline,serial_emulated,48,2,1,11.440631936758273,0.0
baseline,serial_emulated,48,2,2,13.190018717476084,0.0
baseline,serial_emulated,48,2,3,11.66318145706882,0.0
baseline,serial_emulated,48,2,4,11.440631936758273,0.0
baseline,serial_emulated,48,2,5,11.440631936758273,0.0
baseline,serial_emulated,48,2,6,11.839148153182606,0.0
baseline,serial_emulated,48,2,7,11.440631936758273,0.0
baseline,serial_emulated,48,2,8,13.190018717476084,0.0
baseline,serial_emulated,48,2,9,11.66318145706882,0.0
baseline,serial_emulated,48,2,10,11.440631936758273,0.0
baseline,serial_emulated,48,2,11,11.440631936758273,0.0
baseline,serial_emulated,48,3,0,13.190018717476084,0.0
baseline,serial_emulated,48,3,1,11.440631936758273,0.0
baseline,serial_emulated,48,3,2,13.190018717476084,0.0
baseline,serial_emulated,48,3,3,11.66318145706882,0.0
baseline,serial_emulated,48,3,4,11.440631936758273,0.0
baseline,serial_emulated,48,3,5,11.440631936758273,0.0
baseline,serial_emulated,48,3,6,11.839148153182606,0.0
baseline,serial_emulated,48,3,7,11.440631936758273,0.0
baseline,serial_emulated,48,3,8,13.190018717476084,0.0
baseline,serial_emulated,48,3,9,11.66318145706882,0.0
baseline,serial_emulated,48,3,10,11.440631936758273,0.0
baseline,serial_emulated,48,3,11,11.440631936758273,0.0
baseline,serial_emulated,48,4,0,13.190018717476084,0.0
baseline,serial_emulated,48,4,1,11.440631936758273,0.0
baseline,serial_emulated,48,4,2,13.190018717476084,0.0
baseline,serial_emulated,48,4,3,11.66318145706882,0.0
baseline,serial_emulated,48,4,4,11.440631936758273,0.0
baseline,serial_emulated,48,4,5,11.440631936758273,0.0
baseline,serial_emulated,48,4,6,11.839148153182606,0.0
baseline,serial_emulated,48,4,7,11.440631936758273,0.0
baseline,serial_emulated,48,4,8,13.190018717476084,0.0
baseline,serial_emulated,48,4,9,11.66318145706882,0.0
baseline,serial_emulated,48,4,10,11.440631936758273,0.0
baseline,serial_emulated,48,4,11,11.440631936758273,0.0
baseline,serial_emulated,48,5,0,13.190018717476084,0.0
baseline,serial_emulated,48,5,1,11.440631936758273,0.0
baseline,serial_emulated,48,5,2,13.190018717476084,0.0
baseline,serial_emulated,48,5,3,11.66318145706882,0.0
baseline,serial_emulated,48,5,4,11.440631936758273,0.0
baseline,serial_emulated,48,5,5,11.440631936758273,0.0
baseline,serial_emulated,48,5,6,11.839148153182606,0.0
baseline,serial_emulated,48,5,7,11.440631936758273,0.0
baseline,serial_emulated,48,5,8,13.190018717476084,0.0
baseline,serial_emulated,48,5,9,11.66318145706882,0.0
baseline,serial_emulated,48,5,10,11.440631936758273,0.0
baseline,serial_emulated,48,5,11,11.440631936758273,0.0
baseline,serial_emulated,48,6,0,13.190018717476084,0.0
baseline,serial_emulated,48,6,1,11.440631936758273,0.0
baseline,serial_emulated,48,6,2,13.190018717476084,0.0
baseline,serial_emulated,48,6,3,11.66318145706882,0.0
baseline,serial_emulated,48,6,4,11.440631936758273,0.0
baseline,serial_emulated,48,6,5,11.440631936758273,0.0
baseline,serial_emulated,48,6,6,11.839148153182606,0.0
baseline,serial_emulated,48,6,7,11.440631936758273,0.0
baseline,serial_emulated,48,6,8,13.190018717476084,0.0
baseline,serial_emulated,48,6,9,11.66318145706882,0.0
baseline,serial_emulated,48,6,10,11.440631936758273,0.0
baseline,serial_emulated,48,6,11,11.440631936758273,0.0
baseline,serial_emulated,48,7,0,13.190018717476084,0.0
baseline,serial_emulated,48,7,1,11.440631936758273,0.0
baseline,serial_emulated,48,7,2,13.190018717476084,0.0
baseline,serial_emulated,48,7,3,11.66318145706882,0.0
baseline,serial_emulated,48,7,4,11.440631936758273,0.0
