source,mode,cluster_size,snr_db,iterations_recorded,sum_cluster_max_abs_llr_iter0,sum_cluster_max_abs_llr_last,trace_csv,trace_plot
rl,dqn | LDPC-DiscreteMI-v0,24,0.0,120,259.15624843658924,269.5409138987514,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteMI-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteMI-v0_cluster_max_llr_trace.png
rl,dqn | LDPC-DiscreteResidual-v0,24,0.0,120,259.15624843658924,269.5409138987514,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.png
rl,ppo | LDPC-DiscreteMI-v0,24,0.0,120,259.15624843658924,268.4703816738068,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteMI-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteMI-v0_cluster_max_llr_trace.png
rl,ppo | LDPC-DiscreteResidual-v0,24,0.0,120,259.15624843658924,309.0999041809273,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.png
rl,dqn | LDPC-DiscreteMI-v0,48,0.0,60,135.5512952291715,142.05696575025004,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteMI-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteMI-v0_cluster_max_llr_trace.png
rl,dqn | LDPC-DiscreteResidual-v0,48,0.0,60,135.5512952291715,151.4155483337915,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.png
rl,ppo | LDPC-DiscreteMI-v0,48,0.0,60,135.5512952291715,162.04547620139363,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteMI-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteMI-v0_cluster_max_llr_trace.png
rl,ppo | LDPC-DiscreteResidual-v0,48,0.0,60,135.5512952291715,142.54450556672325,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteResidual-v0_cluster_max_llr_trace.png
baseline,parallel,24,0.0,5,274.4674117393608,2334.8800241523563,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/parallel_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/parallel_cluster_max_llr_trace.png
baseline,layered,24,0.0,120,274.4674117393608,3309.697687809703,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/layered_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/layered_cluster_max_llr_trace.png
baseline,residual,24,0.0,120,274.4674117393608,2629.0231905975584,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/residual_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/residual_cluster_max_llr_trace.png
baseline,serial_emulated,24,0.0,2880,274.4674117393608,3309.697687809703,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/serial_emulated_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_24/serial_emulated_cluster_max_llr_trace.png
baseline,parallel,48,0.0,5,143.37935884029812,inf,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/parallel_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/parallel_cluster_max_llr_trace.png
baseline,layered,48,0.0,60,143.37935884029812,1601.8354314272729,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/layered_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/layered_cluster_max_llr_trace.png
baseline,residual,48,0.0,60,143.37935884029812,1327.1201808315864,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/residual_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/residual_cluster_max_llr_trace.png
baseline,serial_emulated,48,0.0,2880,143.37935884029812,1601.8354314272729,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/serial_emulated_cluster_max_llr_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/llr_abs_cluster_max_raw/baseline/cluster_48/serial_emulated_cluster_max_llr_trace.png
