source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,24,0,0,11.462914717273524,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,1,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,2,10.392095357462132,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,3,10.121485809294725,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,4,10.392095357462132,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,5,12.092320047961632,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,6,11.462914717273524,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,7,11.101647021092171,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,8,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,9,11.338765464649214,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,10,9.739082907269719,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,11,12.092320047961632,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,12,11.462914717273524,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,13,12.092320047961632,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,14,11.462914717273524,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,15,10.684647422638774,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,16,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,17,9.739082907269719,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,18,10.171513624964245,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,19,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,20,9.739082907269719,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,21,11.338765464649214,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,22,9.739082907269719,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,23,11.101647021092171,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,0,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,1,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,2,11.229287384938111,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,3,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,4,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,5,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,6,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,7,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,8,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,9,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,10,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,11,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,12,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,13,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,14,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,15,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,16,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,17,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,18,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,19,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,20,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,21,11.338765464649214,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,22,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,23,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,0,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,1,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,2,11.229287384938111,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,3,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,4,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,5,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,6,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,7,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,8,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,9,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,10,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,11,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,12,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,13,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,14,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,15,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,16,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,17,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,18,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,19,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,20,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,21,11.338765464649214,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,22,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,23,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,0,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,1,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,2,11.229287384938111,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,3,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,4,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,5,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,6,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,7,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,8,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,9,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,10,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,11,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,12,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,13,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,14,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,15,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,16,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,17,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,18,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,19,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,20,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,21,11.338765464649214,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,22,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,23,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,0,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,1,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,2,11.229287384938111,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,3,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,4,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,5,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,6,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,7,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,8,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,9,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,10,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,11,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,12,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,13,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,14,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,15,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,16,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,17,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,18,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,19,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,20,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,21,11.338765464649214,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,22,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,23,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,0,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,1,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,2,11.229287384938111,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,3,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,4,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,5,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,6,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,7,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,8,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,9,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,10,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,11,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,12,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,13,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,14,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,15,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,16,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,17,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,18,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,19,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,20,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,21,11.338765464649214,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,22,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,23,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,0,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,1,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,2,11.229287384938111,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,3,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,4,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,5,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,6,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,7,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,8,10.357158812806643,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,9,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,10,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,11,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,12,13.503789683449469,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,13,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,14,12.971507188041635,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,15,13.503789683449469,0.0
