source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
rl,dqn | LDPC-DiscreteMI-v0,48,0,0,11.462914717273524,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,1,10.392095357462132,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,3,11.462914717273524,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,4,11.338765464649214,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,7,11.462914717273524,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,8,10.357158812806643,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,9,10.357158812806643,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,10,11.338765464649214,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,0,11,11.101647021092171,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,0,11.819124193055533,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,1,11.819124193055533,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,1,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,2,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,3,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,4,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,5,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,1,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,2,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,3,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,4,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,5,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,6,12.092320047961632,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,7,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,8,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,9,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,10,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,6,11,11.734536745750585,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,7,0,11.81912419305553,0.0
rl,dqn | LDPC-DiscreteMI-v0,48,7,1,11.81912419305553,0.0
