source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,parallel,24,0,0,2.55295436242369,0.0
baseline,parallel,24,0,1,3.9036903071833216,0.0
baseline,parallel,24,0,2,3.3085069983603406,0.0
baseline,parallel,24,0,3,4.908516072160684,0.0
baseline,parallel,24,0,4,3.5583068080721136,0.0
baseline,parallel,24,0,5,3.4667893163498062,0.0
baseline,parallel,24,0,6,4.726163627035912,0.0
baseline,parallel,24,0,7,4.144268395993943,0.0
baseline,parallel,24,0,8,5.2809971617544935,0.0
baseline,parallel,24,0,9,4.747910323911438,0.0
baseline,parallel,24,0,10,4.432956359640149,0.0
baseline,parallel,24,0,11,4.391765823034438,0.0
baseline,parallel,24,0,12,5.195143103920704,0.0
baseline,parallel,24,0,13,5.747506973412645,0.0
baseline,parallel,24,0,14,5.23704952153753,0.0
baseline,parallel,24,0,15,5.4100879666559765,0.0
baseline,parallel,24,0,16,4.337367404442795,0.0
baseline,parallel,24,0,17,5.512092644668852,0.0
baseline,parallel,24,0,18,3.8438057405965758,0.0
baseline,parallel,24,0,19,6.048170256893621,0.0
baseline,parallel,24,0,20,5.682811077897046,0.0
baseline,parallel,24,0,21,8.295391488466219,0.0
baseline,parallel,24,0,22,5.986041034392833,0.0
baseline,parallel,24,0,23,4.597689936596569,0.0
baseline,parallel,24,1,0,5.071488470342338,0.0
baseline,parallel,24,1,1,5.4371330039889,0.0
baseline,parallel,24,1,2,5.697036892468687,0.0
baseline,parallel,24,1,3,4.624904492614496,0.0
baseline,parallel,24,1,4,5.744774007782904,0.0
baseline,parallel,24,1,5,5.1446794702695895,0.0
baseline,parallel,24,1,6,5.817450209233389,0.0
baseline,parallel,24,1,7,5.024528574386015,0.0
baseline,parallel,24,1,8,5.6977406184772565,0.0
baseline,parallel,24,1,9,4.556503818755496,0.0
baseline,parallel,24,1,10,5.9758863183880395,0.0
baseline,parallel,24,1,11,5.564431486199068,0.0
baseline,parallel,24,1,12,5.731507876440153,0.0
baseline,parallel,24,1,13,4.351700256014761,0.0
baseline,parallel,24,1,14,5.386813195707825,0.0
baseline,parallel,24,1,15,5.393020907425528,0.0
baseline,parallel,24,1,16,5.987561238408027,0.0
baseline,parallel,24,1,17,5.206848016351712,0.0
baseline,parallel,24,1,18,4.818903621834343,0.0
baseline,parallel,24,1,19,7.640898822155299,0.0
baseline,parallel,24,1,20,9.205285689497641,0.0
baseline,parallel,24,1,21,7.508833185228507,0.0
baseline,parallel,24,1,22,9.300500433403784,0.0
baseline,parallel,24,1,23,5.799087437710528,0.0
baseline,parallel,24,2,0,6.023485825150224,0.0
baseline,parallel,24,2,1,6.110722196782971,0.0
baseline,parallel,24,2,2,5.892523310751883,0.0
baseline,parallel,24,2,3,7.736622075813359,0.0
baseline,parallel,24,2,4,6.107329979403943,0.0
baseline,parallel,24,2,5,5.880698226179823,0.0
baseline,parallel,24,2,6,6.767771715974494,0.0
baseline,parallel,24,2,7,5.89748767113898,0.0
baseline,parallel,24,2,8,6.899770746567029,0.0
baseline,parallel,24,2,9,5.9882408113542365,0.0
baseline,parallel,24,2,10,6.192170202800666,0.0
baseline,parallel,24,2,11,5.652301797789228,0.0
baseline,parallel,24,2,12,5.876914829887048,0.0
baseline,parallel,24,2,13,5.121261569854367,0.0
baseline,parallel,24,2,14,4.916701956879923,0.0
baseline,parallel,24,2,15,6.1525165807501505,0.0
baseline,parallel,24,2,16,8.395143124304486,0.0
baseline,parallel,24,2,17,9.804778221980277,0.0
baseline,parallel,24,2,18,4.9729582156601895,0.0
baseline,parallel,24,2,19,6.838682987731545,0.0
baseline,parallel,24,2,20,10.222341839487708,0.0
baseline,parallel,24,2,21,10.793864188331991,0.0
baseline,parallel,24,2,22,7.98705257606888,0.0
baseline,parallel,24,2,23,8.42668614298045,0.0
baseline,parallel,24,3,0,5.68536307534697,0.0
baseline,parallel,24,3,1,5.808502083313903,0.0
baseline,parallel,24,3,2,4.913551511007489,0.0
baseline,parallel,24,3,3,5.927307214761866,0.0
baseline,parallel,24,3,4,5.218020608880678,0.0
baseline,parallel,24,3,5,5.901831420663557,0.0
baseline,parallel,24,3,6,8.705134158852193,0.0
baseline,parallel,24,3,7,5.992507196440585,0.0
baseline,parallel,24,3,8,6.524894379627364,0.0
baseline,parallel,24,3,9,10.791954874944024,0.0
baseline,parallel,24,3,10,5.518696820045039,0.0
baseline,parallel,24,3,11,4.7922305296089505,0.0
baseline,parallel,24,3,12,5.543318211260841,0.0
baseline,parallel,24,3,13,4.588782620991171,0.0
baseline,parallel,24,3,14,4.3124221255417785,0.0
baseline,parallel,24,3,15,3.365735063835093,0.0
baseline,parallel,24,3,16,6.281845679398088,0.0
baseline,parallel,24,3,17,7.635335308249552,0.0
baseline,parallel,24,3,18,7.1751429731109475,0.0
baseline,parallel,24,3,19,5.876053446211655,0.0
baseline,parallel,24,3,20,11.460207427645718,0.0
baseline,parallel,24,3,21,10.681495279951667,0.0
baseline,parallel,24,3,22,9.92631853330219,0.0
baseline,parallel,24,3,23,8.695687940954455,0.0
baseline,parallel,24,4,0,4.418553565888423,0.0
baseline,parallel,24,4,1,4.683038110635234,0.0
baseline,parallel,24,4,2,6.045598425530455,0.0
baseline,parallel,24,4,3,4.870667065954941,0.0
baseline,parallel,24,4,4,6.227830719555365,0.0
baseline,parallel,24,4,5,5.728514174879878,0.0
baseline,parallel,24,4,6,7.158747815518947,0.0
baseline,parallel,24,4,7,4.1155606351857354,0.0
baseline,parallel,24,4,8,9.426130629217248,0.0
baseline,parallel,24,4,9,8.283372423025412,0.0
baseline,parallel,24,4,10,9.924912350569357,0.0
baseline,parallel,24,4,11,6.533223167795192,0.0
baseline,parallel,24,4,12,7.082989302144302,0.0
baseline,parallel,24,4,13,5.927320877706386,0.0
baseline,parallel,24,4,14,1.219660910013359,0.0
baseline,parallel,24,4,15,2.722973595066794,0.0
baseline,parallel,24,4,16,7.475599952946138,0.0
baseline,parallel,24,4,17,7.139282713067216,0.0
baseline,parallel,24,4,18,8.705135055399488,0.0
baseline,parallel,24,4,19,5.243206012289953,0.0
baseline,parallel,24,4,20,10.481143772026387,0.0
baseline,parallel,24,4,21,13.017438900447448,0.0
baseline,parallel,24,4,22,7.719540307676052,0.0
baseline,parallel,24,4,23,9.578848499399507,0.0
baseline,parallel,24,5,0,5.506049965292929,0.0
baseline,parallel,24,5,1,3.001157188744523,0.0
baseline,parallel,24,5,2,4.360065679084819,0.0
baseline,parallel,24,5,3,5.721430441174051,0.0
baseline,parallel,24,5,4,5.706822100929848,0.0
baseline,parallel,24,5,5,3.5850306243052916,0.0
baseline,parallel,24,5,6,6.171889683618092,0.0
baseline,parallel,24,5,7,4.176813965870471,0.0
baseline,parallel,24,5,8,7.879206317009009,0.0
baseline,parallel,24,5,9,4.574553306945379,0.0
baseline,parallel,24,5,10,8.685069361803611,0.0
baseline,parallel,24,5,11,4.565254935473263,0.0
baseline,parallel,24,5,12,4.773622399998352,0.0
baseline,parallel,24,5,13,4.8706019597074,0.0
baseline,parallel,24,5,14,1.748946502889634,0.0
baseline,parallel,24,5,15,1.0087617776059385,0.0
baseline,parallel,24,5,16,4.930501810980417,0.0
baseline,parallel,24,5,17,7.98440190296046,0.0
baseline,parallel,24,5,18,6.808417081232645,0.0
baseline,parallel,24,5,19,5.262934492470675,0.0
baseline,parallel,24,5,20,14.946710937451503,0.0
baseline,parallel,24,5,21,9.6928136644867,0.0
baseline,parallel,24,5,22,7.216292498179046,0.0
baseline,parallel,24,5,23,6.964621581691141,0.0
