source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,residual,48,0,0,3.129868357276026,0.0
baseline,residual,48,0,1,4.1677457749793865,0.0
baseline,residual,48,0,2,4.431574288953058,0.0
baseline,residual,48,0,3,4.162166763783995,0.0
baseline,residual,48,0,4,4.8182994717083005,0.0
baseline,residual,48,0,5,5.2056503198329045,0.0
baseline,residual,48,0,6,5.112822782613463,0.0
baseline,residual,48,0,7,5.27863107645026,0.0
baseline,residual,48,0,8,5.7511765509012065,0.0
baseline,residual,48,0,9,5.839082654672709,0.0
baseline,residual,48,0,10,6.225023095180543,0.0
baseline,residual,48,0,11,6.587314081512432,0.0
baseline,residual,48,1,0,3.129868357276026,0.0
baseline,residual,48,1,1,4.1677457749793865,0.0
baseline,residual,48,1,2,4.431574288953058,0.0
baseline,residual,48,1,3,4.162166763783995,0.0
baseline,residual,48,1,4,4.8182994717083005,0.0
baseline,residual,48,1,5,5.2056503198329045,0.0
baseline,residual,48,1,6,5.112822782613463,0.0
baseline,residual,48,1,7,5.27863107645026,0.0
baseline,residual,48,1,8,5.7511765509012065,0.0
baseline,residual,48,1,9,5.839082654672709,0.0
baseline,residual,48,1,10,6.225023095180543,0.0
baseline,residual,48,1,11,0.0,0.0
baseline,residual,48,2,0,3.129868357276026,0.0
baseline,residual,48,2,1,4.1677457749793865,0.0
baseline,residual,48,2,2,4.431574288953058,0.0
baseline,residual,48,2,3,4.162166763783995,0.0
baseline,residual,48,2,4,4.8182994717083005,0.0
baseline,residual,48,2,5,5.2056503198329045,0.0
baseline,residual,48,2,6,5.112822782613463,0.0
baseline,residual,48,2,7,5.27863107645026,0.0
baseline,residual,48,2,8,5.7511765509012065,0.0
baseline,residual,48,2,9,5.839082654672709,0.0
baseline,residual,48,2,10,0.0,0.0
baseline,residual,48,2,11,0.0,0.0
baseline,residual,48,3,0,3.129868357276026,0.0
baseline,residual,48,3,1,4.1677457749793865,0.0
baseline,residual,48,3,2,4.431574288953058,0.0
baseline,residual,48,3,3,4.162166763783995,0.0
baseline,residual,48,3,4,4.8182994717083005,0.0
baseline,residual,48,3,5,5.2056503198329045,0.0
baseline,residual,48,3,6,5.112822782613463,0.0
baseline,residual,48,3,7,5.27863107645026,0.0
baseline,residual,48,3,8,5.7511765509012065,0.0
baseline,residual,48,3,9,0.0,0.0
baseline,residual,48,3,10,0.0,0.0
baseline,residual,48,3,11,0.0,0.0
baseline,residual,48,4,0,3.129868357276026,0.0
baseline,residual,48,4,1,4.1677457749793865,0.0
baseline,residual,48,4,2,4.431574288953058,0.0
baseline,residual,48,4,3,4.162166763783995,0.0
baseline,residual,48,4,4,4.8182994717083005,0.0
baseline,residual,48,4,5,5.2056503198329045,0.0
baseline,residual,48,4,6,5.112822782613463,0.0
baseline,residual,48,4,7,5.27863107645026,0.0
baseline,residual,48,4,8,0.0,0.0
baseline,residual,48,4,9,0.0,0.0
baseline,residual,48,4,10,0.0,0.0
baseline,residual,48,4,11,0.0,0.0
baseline,residual,48,5,0,3.129868357276026,0.0
baseline,residual,48,5,1,4.1677457749793865,0.0
baseline,residual,48,5,2,4.431574288953058,0.0
baseline,residual,48,5,3,4.162166763783995,0.0
baseline,residual,48,5,4,4.8182994717083005,0.0
baseline,residual,48,5,5,0.0,0.0
baseline,residual,48,5,6,5.112822782613463,0.0
baseline,residual,48,5,7,5.27863107645026,0.0
baseline,residual,48,5,8,0.0,0.0
baseline,residual,48,5,9,0.0,0.0
baseline,residual,48,5,10,0.0,0.0
baseline,residual,48,5,11,0.0,0.0
baseline,residual,48,6,0,3.129868357276026,0.0
baseline,residual,48,6,1,4.1677457749793865,0.0
baseline,residual,48,6,2,4.431574288953058,0.0
baseline,residual,48,6,3,4.162166763783995,0.0
baseline,residual,48,6,4,4.8182994717083005,0.0
baseline,residual,48,6,5,0.0,0.0
baseline,residual,48,6,6,5.112822782613463,0.0
baseline,residual,48,6,7,0.0,0.0
baseline,residual,48,6,8,0.0,0.0
baseline,residual,48,6,9,0.0,0.0
baseline,residual,48,6,10,0.0,0.0
baseline,residual,48,6,11,0.0,0.0
baseline,residual,48,7,0,3.129868357276026,0.0
baseline,residual,48,7,1,4.1677457749793865,0.0
baseline,residual,48,7,2,4.431574288953058,0.0
baseline,residual,48,7,3,4.162166763783995,0.0
baseline,residual,48,7,4,4.8182994717083005,0.0
baseline,residual,48,7,5,0.0,0.0
baseline,residual,48,7,6,0.0,0.0
baseline,residual,48,7,7,0.0,0.0
baseline,residual,48,7,8,0.0,0.0
baseline,residual,48,7,9,0.0,0.0
baseline,residual,48,7,10,0.0,0.0
baseline,residual,48,7,11,0.0,0.0
baseline,residual,48,8,0,3.129868357276026,0.0
baseline,residual,48,8,1,4.1677457749793865,0.0
baseline,residual,48,8,2,4.431574288953058,0.0
baseline,residual,48,8,3,4.162166763783995,0.0
baseline,residual,48,8,4,0.0,0.0
baseline,residual,48,8,5,0.0,0.0
baseline,residual,48,8,6,0.0,0.0
baseline,residual,48,8,7,0.0,0.0
baseline,residual,48,8,8,0.0,0.0
baseline,residual,48,8,9,0.0,0.0
baseline,residual,48,8,10,0.0,0.0
baseline,residual,48,8,11,0.0,0.0
baseline,residual,48,9,0,3.129868357276026,0.0
baseline,residual,48,9,1,0.0,0.0
baseline,residual,48,9,2,4.431574288953058,0.0
baseline,residual,48,9,3,4.162166763783995,0.0
baseline,residual,48,9,4,0.0,0.0
baseline,residual,48,9,5,0.0,0.0
baseline,residual,48,9,6,0.0,0.0
