source,mode,cluster_size,snr_db,iterations_recorded,sum_cluster_max_iter0,sum_cluster_max_last,trace_csv,trace_plot
rl,dqn | LDPC-DiscreteMI-v0,24,0.0,120,104.9994469719285,101.99346599252999,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteMI-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteMI-v0_cluster_max_trace.png
rl,dqn | LDPC-DiscreteResidual-v0,24,0.0,120,104.9994469719285,101.99346599252999,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteResidual-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/dqn/LDPC-DiscreteResidual-v0_cluster_max_trace.png
rl,ppo | LDPC-DiscreteMI-v0,24,0.0,120,104.9994469719285,99.43337397765879,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteMI-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteMI-v0_cluster_max_trace.png
rl,ppo | LDPC-DiscreteResidual-v0,24,0.0,120,104.9994469719285,99.2578353357028,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteResidual-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_24/ppo/LDPC-DiscreteResidual-v0_cluster_max_trace.png
rl,dqn | LDPC-DiscreteMI-v0,48,0.0,60,57.56974633133228,53.63812977820909,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteMI-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteMI-v0_cluster_max_trace.png
rl,dqn | LDPC-DiscreteResidual-v0,48,0.0,60,57.56974633133228,51.18937712863977,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteResidual-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/dqn/LDPC-DiscreteResidual-v0_cluster_max_trace.png
rl,ppo | LDPC-DiscreteMI-v0,48,0.0,60,57.56974633133228,51.828134695106556,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteMI-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteMI-v0_cluster_max_trace.png
rl,ppo | LDPC-DiscreteResidual-v0,48,0.0,60,57.56974633133228,52.003673337062565,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteResidual-v0_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/rl/cluster_48/ppo/LDPC-DiscreteResidual-v0_cluster_max_trace.png
baseline,parallel,24,0.0,5,115.3159827054017,140.1419701799052,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/parallel_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/parallel_cluster_max_trace.png
baseline,layered,24,0.0,120,115.3159827054017,0.0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/layered_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/layered_cluster_max_trace.png
baseline,residual,24,0.0,120,115.3159827054017,0.0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/residual_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/residual_cluster_max_trace.png
baseline,serial_emulated,24,0.0,2880,115.3159827054017,0.0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/serial_emulated_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_24/serial_emulated_cluster_max_trace.png
baseline,parallel,48,0.0,5,60.709355217864285,inf,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/parallel_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/parallel_cluster_max_trace.png
baseline,layered,48,0.0,60,60.709355217864285,0.0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/layered_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/layered_cluster_max_trace.png
baseline,residual,48,0.0,60,60.709355217864285,0.0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/residual_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/residual_cluster_max_trace.png
baseline,serial_emulated,48,0.0,2880,60.709355217864285,0.0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/serial_emulated_cluster_max_trace.csv,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix/residual_cluster_max_raw/baseline/cluster_48/serial_emulated_cluster_max_trace.png
