source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,24,0,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,18,5.741611636225724,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,0,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,1,6,3.337119470129416,0.0
