source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteMI-v0,48,0,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,9,5.741611636225724,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,0,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,1,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,2,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,3,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,4,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,5,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,9,0.0,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,10,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,6,11,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,1,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,2,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,3,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,4,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,5,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,6,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,7,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,8,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteMI-v0,48,7,9,0.0,0.0
