method,cluster_size,num_clusters,snr_db,ber,fer,avg_sweeps_used,avg_check_updates,n_frames
layered,384,42,-3,0.0,0.0,2.7666666666666666,44620.8,20
layered,384,42,-2,0.0,0.0,2.0821428571428564,33580.8,20
layered,384,42,-1,0.0,0.0,1.8833333333333333,30374.4,20
layered,384,42,0,0.0,0.0,1.7702380952380952,28550.4,20
layered,384,42,1,0.0,0.0,1.6404761904761904,26457.6,20
layered,384,42,2,0.0,0.0,1.511904761904762,24384.0,20
layered,384,42,3,0.0,0.0,1.2309523809523808,19852.8,20
parallel,384,42,-3,0.0,0.0,5.0,80640.0,20
parallel,384,42,-2,0.0,0.0,5.0,80640.0,20
parallel,384,42,-1,0.0,0.0,5.0,80640.0,20
parallel,384,42,0,0.0,0.0,5.0,80640.0,20
parallel,384,42,1,0.0,0.0,5.0,80640.0,20
parallel,384,42,2,0.0,0.0,5.0,80640.0,20
parallel,384,42,3,0.0,0.0,5.0,80640.0,20
residual,384,42,-3,0.0011192908653846153,0.75,4.807142857142857,77529.6,20
residual,384,42,-2,0.0006109775641025641,0.55,4.711904761904761,75993.6,20
residual,384,42,-1,0.00019030448717948718,0.45,4.4904761904761905,72422.4,20
residual,384,42,0,0.00017277644230769232,0.4,4.59047619047619,74035.2,20
residual,384,42,1,9.264823717948718e-05,0.3,4.211904761904762,67929.6,20
residual,384,42,2,2.7544070512820513e-05,0.15,4.203571428571427,67795.2,20
residual,384,42,3,5.0080128205128205e-06,0.05,3.407142857142857,54950.4,20
