source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,layered,384,0,0,4.259265035135947,0.0
baseline,layered,384,0,1,4.257283243895105,0.0
baseline,layered,384,0,2,4.205065236506107,0.0
baseline,layered,384,0,3,4.19071525864083,0.0
baseline,layered,384,0,4,4.204915227257409,0.0
baseline,layered,384,0,5,4.257295309443115,0.0
baseline,layered,384,0,6,4.30117332606081,0.0
baseline,layered,384,0,7,4.23310661304458,0.0
baseline,layered,384,0,8,4.238839145244412,0.0
baseline,layered,384,0,9,4.181649420847029,0.0
baseline,layered,384,0,10,4.176204753036546,0.0
baseline,layered,384,0,11,4.2279128815542375,0.0
baseline,layered,384,0,12,4.264505735514951,0.0
baseline,layered,384,0,13,4.199601100498886,0.0
baseline,layered,384,0,14,4.187343765131127,0.0
baseline,layered,384,0,15,4.250756688333154,0.0
baseline,layered,384,0,16,4.2660043489051604,0.0
baseline,layered,384,0,17,4.254379273858874,0.0
baseline,layered,384,0,18,4.260287473430531,0.0
baseline,layered,384,0,19,4.204197908822632,0.0
baseline,layered,384,0,20,3.179728562062271,0.0
baseline,layered,384,0,21,3.151314381193989,0.0
baseline,layered,384,0,22,2.771445168626512,0.0
baseline,layered,384,0,23,3.2334426756977543,0.0
baseline,layered,384,0,24,3.1491822482820204,0.0
baseline,layered,384,0,25,2.8568184538203965,0.0
baseline,layered,384,0,26,3.3529103094928616,0.0
baseline,layered,384,0,27,2.8353009872876225,0.0
baseline,layered,384,0,28,3.141877037278057,0.0
baseline,layered,384,0,29,2.8513270036109972,0.0
baseline,layered,384,0,30,3.391419764267683,0.0
baseline,layered,384,0,31,2.7333100807109227,0.0
baseline,layered,384,0,32,3.1922364181290557,0.0
baseline,layered,384,0,33,3.150722854140014,0.0
baseline,layered,384,0,34,3.165075393708906,0.0
baseline,layered,384,0,35,3.1838471497193197,0.0
baseline,layered,384,0,36,3.1847038522714186,0.0
baseline,layered,384,0,37,2.775295757084991,0.0
baseline,layered,384,0,38,3.1838471497193197,0.0
baseline,layered,384,0,39,3.1695929777104603,0.0
baseline,layered,384,0,40,3.1462052701384593,0.0
baseline,layered,384,0,41,3.1838471497193197,0.0
baseline,layered,384,1,0,4.669750927385002,0.0
baseline,layered,384,1,1,4.461623775766869,0.0
baseline,layered,384,1,2,4.410373879052465,0.0
baseline,layered,384,1,3,4.398503966993881,0.0
baseline,layered,384,1,4,4.50761480871333,0.0
baseline,layered,384,1,5,4.459095030413729,0.0
baseline,layered,384,1,6,4.50268966735787,0.0
baseline,layered,384,1,7,4.368837105317971,0.0
baseline,layered,384,1,8,4.441756784604567,0.0
baseline,layered,384,1,9,4.4285943453820416,0.0
baseline,layered,384,1,10,4.42330893593262,0.0
baseline,layered,384,1,11,4.389906937434096,0.0
baseline,layered,384,1,12,4.570715702398921,0.0
baseline,layered,384,1,13,4.361935211987009,0.0
baseline,layered,384,1,14,4.434990427267146,0.0
baseline,layered,384,1,15,4.554727890733431,0.0
baseline,layered,384,1,16,4.511591921076424,0.0
baseline,layered,384,1,17,4.417255864586944,0.0
baseline,layered,384,1,18,4.465353905736301,0.0
baseline,layered,384,1,19,4.512200965441465,0.0
baseline,layered,384,1,20,3.383324300472358,0.0
baseline,layered,384,1,21,3.2504182242398216,0.0
baseline,layered,384,1,22,3.044825218706543,0.0
baseline,layered,384,1,23,3.43516074721747,0.0
baseline,layered,384,1,24,3.4576060126460337,0.0
baseline,layered,384,1,25,2.98895691121484,0.0
baseline,layered,384,1,26,3.4338873024894223,0.0
baseline,layered,384,1,27,3.108722897028649,0.0
baseline,layered,384,1,28,3.3469120748380803,0.0
baseline,layered,384,1,29,2.983465461005441,0.0
baseline,layered,384,1,30,3.555107738707436,0.0
baseline,layered,384,1,31,2.8717284757966848,0.0
baseline,layered,384,1,32,3.2913402611748883,0.0
baseline,layered,384,1,33,3.3570295126443934,0.0
baseline,layered,384,1,34,3.264179236754739,0.0
baseline,layered,384,1,35,3.387442888129408,0.0
baseline,layered,384,1,36,3.3850289365629522,0.0
baseline,layered,384,1,37,2.9154096467632287,0.0
baseline,layered,384,1,38,3.387442888129408,0.0
baseline,layered,384,1,39,3.2686968207562934,0.0
baseline,layered,384,1,40,3.352511928642839,0.0
baseline,layered,384,1,41,3.387442888129408,0.0
baseline,layered,384,2,0,4.775798707702673,0.0
baseline,layered,384,2,1,4.636468724115372,0.0
baseline,layered,384,2,2,4.51921528618439,0.0
baseline,layered,384,2,3,4.506274725488523,0.0
baseline,layered,384,2,4,4.5924416657710525,0.0
baseline,layered,384,2,5,4.577695628909483,0.0
baseline,layered,384,2,6,4.645377388354112,0.0
baseline,layered,384,2,7,4.458328843727104,0.0
baseline,layered,384,2,8,4.5262019377275164,0.0
baseline,layered,384,2,9,4.498308712466322,0.0
baseline,layered,384,2,10,4.536474110045727,0.0
