source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,parallel,384,0,0,4.259265035135947,0.0
baseline,parallel,384,0,1,4.257283243895105,0.0
baseline,parallel,384,0,2,4.205065236506107,0.0
baseline,parallel,384,0,3,4.19071525864083,0.0
baseline,parallel,384,0,4,4.204915227257409,0.0
baseline,parallel,384,0,5,4.257295309443115,0.0
baseline,parallel,384,0,6,4.30117332606081,0.0
baseline,parallel,384,0,7,4.23310661304458,0.0
baseline,parallel,384,0,8,4.238839145244412,0.0
baseline,parallel,384,0,9,4.181649420847029,0.0
baseline,parallel,384,0,10,4.176204753036546,0.0
baseline,parallel,384,0,11,4.2279128815542375,0.0
baseline,parallel,384,0,12,4.264505735514951,0.0
baseline,parallel,384,0,13,4.199601100498886,0.0
baseline,parallel,384,0,14,4.187343765131127,0.0
baseline,parallel,384,0,15,4.250756688333154,0.0
baseline,parallel,384,0,16,4.2660043489051604,0.0
baseline,parallel,384,0,17,4.254379273858874,0.0
baseline,parallel,384,0,18,4.260287473430531,0.0
baseline,parallel,384,0,19,4.204197908822632,0.0
baseline,parallel,384,0,20,3.179728562062271,0.0
baseline,parallel,384,0,21,3.151314381193989,0.0
baseline,parallel,384,0,22,2.771445168626512,0.0
baseline,parallel,384,0,23,3.2334426756977543,0.0
baseline,parallel,384,0,24,3.1491822482820204,0.0
baseline,parallel,384,0,25,2.8568184538203965,0.0
baseline,parallel,384,0,26,3.3529103094928616,0.0
baseline,parallel,384,0,27,2.8353009872876225,0.0
baseline,parallel,384,0,28,3.141877037278057,0.0
baseline,parallel,384,0,29,2.8513270036109972,0.0
baseline,parallel,384,0,30,3.391419764267683,0.0
baseline,parallel,384,0,31,2.7333100807109227,0.0
baseline,parallel,384,0,32,3.1922364181290557,0.0
baseline,parallel,384,0,33,3.150722854140014,0.0
baseline,parallel,384,0,34,3.165075393708906,0.0
baseline,parallel,384,0,35,3.1838471497193197,0.0
baseline,parallel,384,0,36,3.1847038522714186,0.0
baseline,parallel,384,0,37,2.775295757084991,0.0
baseline,parallel,384,0,38,3.1838471497193197,0.0
baseline,parallel,384,0,39,3.1695929777104603,0.0
baseline,parallel,384,0,40,3.1462052701384593,0.0
baseline,parallel,384,0,41,3.1838471497193197,0.0
baseline,parallel,384,1,0,11.127135829912637,0.0
baseline,parallel,384,1,1,9.409196446194441,0.0
baseline,parallel,384,1,2,10.124537319253447,0.0
baseline,parallel,384,1,3,8.831276021692258,0.0
baseline,parallel,384,1,4,14.3235994600878,0.0
baseline,parallel,384,1,5,12.52713833959349,0.0
baseline,parallel,384,1,6,10.608991200521354,0.0
baseline,parallel,384,1,7,11.123575480779316,0.0
baseline,parallel,384,1,8,12.605060761461033,0.0
baseline,parallel,384,1,9,11.159471885009866,0.0
baseline,parallel,384,1,10,12.057573673707177,0.0
baseline,parallel,384,1,11,9.775454280592369,0.0
baseline,parallel,384,1,12,11.843640404541455,0.0
baseline,parallel,384,1,13,11.386868585658387,0.0
baseline,parallel,384,1,14,11.422810760804047,0.0
baseline,parallel,384,1,15,11.8093822873592,0.0
baseline,parallel,384,1,16,11.236048126933017,0.0
baseline,parallel,384,1,17,11.292094649481168,0.0
baseline,parallel,384,1,18,10.45182820458757,0.0
baseline,parallel,384,1,19,12.797704426558306,0.0
baseline,parallel,384,1,20,10.422026989602246,0.0
baseline,parallel,384,1,21,8.565545997149387,0.0
baseline,parallel,384,1,22,8.932792581584417,0.0
baseline,parallel,384,1,23,8.445228231083457,0.0
baseline,parallel,384,1,24,8.462848309015536,0.0
baseline,parallel,384,1,25,9.225621580539,0.0
baseline,parallel,384,1,26,6.695392860238092,0.0
baseline,parallel,384,1,27,9.42818531732643,0.0
baseline,parallel,384,1,28,8.497044798419664,0.0
baseline,parallel,384,1,29,8.241065106461653,0.0
baseline,parallel,384,1,30,6.487280463433734,0.0
baseline,parallel,384,1,31,10.143017264064762,0.0
baseline,parallel,384,1,32,8.811712171266514,0.0
baseline,parallel,384,1,33,6.545260685222776,0.0
baseline,parallel,384,1,34,8.958347833277127,0.0
baseline,parallel,384,1,35,11.1779053671225,0.0
baseline,parallel,384,1,36,8.533008489693179,0.0
baseline,parallel,384,1,37,6.7656478199678975,0.0
baseline,parallel,384,1,38,11.170203421154495,0.0
baseline,parallel,384,1,39,9.382154795485496,0.0
baseline,parallel,384,1,40,6.107211902203665,0.0
baseline,parallel,384,1,41,11.182670722605366,0.0
baseline,parallel,384,2,0,24.390346554109794,0.0
baseline,parallel,384,2,1,21.178747863535126,0.0
baseline,parallel,384,2,2,22.02277199886035,0.0
baseline,parallel,384,2,3,19.548748119256167,0.0
baseline,parallel,384,2,4,32.36827610946832,0.0
baseline,parallel,384,2,5,27.94497292332403,0.0
baseline,parallel,384,2,6,23.775411544101587,0.0
baseline,parallel,384,2,7,24.642663877668628,0.0
baseline,parallel,384,2,8,27.03689559691122,0.0
baseline,parallel,384,2,9,24.094244934938363,0.0
baseline,parallel,384,2,10,26.498429245100716,0.0
baseline,parallel,384,2,11,21.41107222746629,0.0
baseline,parallel,384,2,12,25.121300387246396,0.0
baseline,parallel,384,2,13,24.49858844475441,0.0
baseline,parallel,384,2,14,24.813643932164897,0.0
baseline,parallel,384,2,15,25.749709755278996,0.0
baseline,parallel,384,2,16,24.400422815339304,0.0
baseline,parallel,384,2,17,24.57542843957289,0.0
baseline,parallel,384,2,18,22.639564974682646,0.0
baseline,parallel,384,2,19,27.57384046915487,0.0
baseline,parallel,384,2,20,23.101506661333744,0.0
baseline,parallel,384,2,21,19.308574634244096,0.0
baseline,parallel,384,2,22,18.501629192646874,0.0
baseline,parallel,384,2,23,19.08660229712345,0.0
baseline,parallel,384,2,24,18.246614009256582,0.0
baseline,parallel,384,2,25,21.518643401952957,0.0
baseline,parallel,384,2,26,14.520217709171751,0.0
baseline,parallel,384,2,27,21.698864318027056,0.0
baseline,parallel,384,2,28,18.486710948872254,0.0
baseline,parallel,384,2,29,17.686838877312173,0.0
baseline,parallel,384,2,30,14.677043127043847,0.0
baseline,parallel,384,2,31,23.04472477796045,0.0
baseline,parallel,384,2,32,20.128401330756542,0.0
baseline,parallel,384,2,33,14.000655428310269,0.0
baseline,parallel,384,2,34,20.068917757193702,0.0
baseline,parallel,384,2,35,25.929347972301212,0.0
baseline,parallel,384,2,36,18.716608039553293,0.0
baseline,parallel,384,2,37,14.863936791752943,0.0
baseline,parallel,384,2,38,25.927877251007292,0.0
baseline,parallel,384,2,39,21.530928700273464,0.0
baseline,parallel,384,2,40,12.644699031314005,0.0
baseline,parallel,384,2,41,25.928952752323905,0.0
baseline,parallel,384,3,0,39.76656721776846,0.0
baseline,parallel,384,3,1,35.450598048746926,0.0
baseline,parallel,384,3,2,36.794308450582676,0.0
baseline,parallel,384,3,3,33.28692539622599,0.0
baseline,parallel,384,3,4,inf,0.0
baseline,parallel,384,3,5,44.22272968155139,0.0
baseline,parallel,384,3,6,38.38814936643252,0.0
baseline,parallel,384,3,7,39.053981681089084,0.0
baseline,parallel,384,3,8,42.66989649246265,0.0
baseline,parallel,384,3,9,38.60094057924464,0.0
baseline,parallel,384,3,10,42.51982258602909,0.0
baseline,parallel,384,3,11,35.18896986970582,0.0
baseline,parallel,384,3,12,39.790352426922084,0.0
baseline,parallel,384,3,13,39.64519979529236,0.0
baseline,parallel,384,3,14,39.32128374214945,0.0
baseline,parallel,384,3,15,40.792964903980035,0.0
baseline,parallel,384,3,16,38.89149103997645,0.0
baseline,parallel,384,3,17,38.807428741652274,0.0
baseline,parallel,384,3,18,36.93414912714818,0.0
baseline,parallel,384,3,19,43.71697405857839,0.0
baseline,parallel,384,3,20,38.58577812788408,0.0
baseline,parallel,384,3,21,32.973044979923735,0.0
baseline,parallel,384,3,22,31.160366818924345,0.0
baseline,parallel,384,3,23,32.320800981294276,0.0
baseline,parallel,384,3,24,31.242102957825207,0.0
baseline,parallel,384,3,25,36.42825911211392,0.0
baseline,parallel,384,3,26,24.9102837125058,0.0
baseline,parallel,384,3,27,36.63126981825058,0.0
baseline,parallel,384,3,28,31.03943333244321,0.0
baseline,parallel,384,3,29,31.79000276708588,0.0
baseline,parallel,384,3,30,25.7847619090616,0.0
baseline,parallel,384,3,31,37.94433174687585,0.0
baseline,parallel,384,3,32,33.37488518879663,0.0
