source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,residual,384,0,0,4.259265035135947,0.0
baseline,residual,384,0,1,4.257283243895105,0.0
baseline,residual,384,0,2,4.205065236506107,0.0
baseline,residual,384,0,3,4.19071525864083,0.0
baseline,residual,384,0,4,4.204915227257409,0.0
baseline,residual,384,0,5,4.257295309443115,0.0
baseline,residual,384,0,6,4.30117332606081,0.0
baseline,residual,384,0,7,4.23310661304458,0.0
baseline,residual,384,0,8,4.238839145244412,0.0
baseline,residual,384,0,9,4.181649420847029,0.0
baseline,residual,384,0,10,4.176204753036546,0.0
baseline,residual,384,0,11,4.2279128815542375,0.0
baseline,residual,384,0,12,4.264505735514951,0.0
baseline,residual,384,0,13,4.199601100498886,0.0
baseline,residual,384,0,14,4.187343765131127,0.0
baseline,residual,384,0,15,4.250756688333154,0.0
baseline,residual,384,0,16,4.2660043489051604,0.0
baseline,residual,384,0,17,4.254379273858874,0.0
baseline,residual,384,0,18,4.260287473430531,0.0
baseline,residual,384,0,19,4.204197908822632,0.0
baseline,residual,384,0,20,3.179728562062271,0.0
baseline,residual,384,0,21,3.151314381193989,0.0
baseline,residual,384,0,22,2.771445168626512,0.0
baseline,residual,384,0,23,3.2334426756977543,0.0
baseline,residual,384,0,24,3.1491822482820204,0.0
baseline,residual,384,0,25,2.8568184538203965,0.0
baseline,residual,384,0,26,3.3529103094928616,0.0
baseline,residual,384,0,27,2.8353009872876225,0.0
baseline,residual,384,0,28,3.141877037278057,0.0
baseline,residual,384,0,29,2.8513270036109972,0.0
baseline,residual,384,0,30,3.391419764267683,0.0
baseline,residual,384,0,31,2.7333100807109227,0.0
baseline,residual,384,0,32,3.1922364181290557,0.0
baseline,residual,384,0,33,3.150722854140014,0.0
baseline,residual,384,0,34,3.165075393708906,0.0
baseline,residual,384,0,35,3.1838471497193197,0.0
baseline,residual,384,0,36,3.1847038522714186,0.0
baseline,residual,384,0,37,2.775295757084991,0.0
baseline,residual,384,0,38,3.1838471497193197,0.0
baseline,residual,384,0,39,3.1695929777104603,0.0
baseline,residual,384,0,40,3.1462052701384593,0.0
baseline,residual,384,0,41,3.1838471497193197,0.0
baseline,residual,384,1,0,4.846596540752109,0.0
baseline,residual,384,1,1,4.563883823740203,0.0
baseline,residual,384,1,2,4.602458985470775,0.0
baseline,residual,384,1,3,4.353979883288662,0.0
baseline,residual,384,1,4,4.992952302179984,0.0
baseline,residual,384,1,5,4.782653359391499,0.0
baseline,residual,384,1,6,4.554423668262805,0.0
baseline,residual,384,1,7,4.758464662992964,0.0
baseline,residual,384,1,8,4.647000706863994,0.0
baseline,residual,384,1,9,4.81207908078509,0.0
baseline,residual,384,1,10,4.502734002332212,0.0
baseline,residual,384,1,11,4.2279128815542375,0.0
baseline,residual,384,1,12,5.831797713478203,0.0
baseline,residual,384,1,13,4.526130349794552,0.0
baseline,residual,384,1,14,4.817773425069186,0.0
baseline,residual,384,1,15,4.630632201636146,0.0
baseline,residual,384,1,16,4.8964340088432206,0.0
baseline,residual,384,1,17,4.8848089337969345,0.0
baseline,residual,384,1,18,4.260287473430531,0.0
baseline,residual,384,1,19,4.612359470442215,0.0
baseline,residual,384,1,20,3.9677656369848457,0.0
baseline,residual,384,1,21,3.151314381193989,0.0
baseline,residual,384,1,22,3.3156605841192883,0.0
baseline,residual,384,1,23,3.6200686120075045,0.0
baseline,residual,384,1,24,3.557343809901603,0.0
baseline,residual,384,1,25,2.8568184538203965,0.0
baseline,residual,384,1,26,3.3529103094928616,0.0
baseline,residual,384,1,27,2.8353009872876225,0.0
baseline,residual,384,1,28,3.5500385988976397,0.0
baseline,residual,384,1,29,2.8513270036109972,0.0
baseline,residual,384,1,30,3.391419764267683,0.0
baseline,residual,384,1,31,3.2775254962036993,0.0
baseline,residual,384,1,32,3.1922364181290557,0.0
baseline,residual,384,1,33,3.150722854140014,0.0
baseline,residual,384,1,34,3.165075393708906,0.0
baseline,residual,384,1,35,3.971884224641895,0.0
baseline,residual,384,1,36,3.1847038522714186,0.0
baseline,residual,384,1,37,2.775295757084991,0.0
baseline,residual,384,1,38,3.971884224641895,0.0
baseline,residual,384,1,39,3.1695929777104603,0.0
baseline,residual,384,1,40,3.1462052701384593,0.0
baseline,residual,384,1,41,3.971884224641895,0.0
baseline,residual,384,2,0,5.4390023852428016,0.0
baseline,residual,384,2,1,4.864226190506353,0.0
baseline,residual,384,2,2,5.02195595062623,0.0
baseline,residual,384,2,3,4.527562192115066,0.0
baseline,residual,384,2,4,5.74380821909536,0.0
baseline,residual,384,2,5,5.2832239706684145,0.0
baseline,residual,384,2,6,5.054994279539723,0.0
baseline,residual,384,2,7,4.989009835439945,0.0
baseline,residual,384,2,8,5.052038865108898,0.0
baseline,residual,384,2,9,5.435897905374274,0.0
baseline,residual,384,2,10,4.826764528928135,0.0
baseline,residual,384,2,11,4.551943408150161,0.0
baseline,residual,384,2,12,6.177615472148676,0.0
baseline,residual,384,2,13,4.850160876390475,0.0
baseline,residual,384,2,14,5.094427632005564,0.0
baseline,residual,384,2,15,6.229243429862838,0.0
baseline,residual,384,2,16,5.1730882157795985,0.0
baseline,residual,384,2,17,5.1614631407333125,0.0
baseline,residual,384,2,18,4.665325631675436,0.0
