source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteMI-v0,384,0,0,4.182260560743384,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,1,4.17134223884338,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,2,4.106661921670188,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,3,4.143740411523472,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,4,4.158117195698348,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,5,4.12684194488511,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,6,4.158027001806052,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,7,4.151972979123751,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,8,4.092408555674211,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,9,4.107867288348566,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,10,4.17730962498508,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,11,4.112799346212592,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,12,4.170207233631729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,13,4.125600478542638,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,14,4.2160205545196545,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,15,4.135148058263617,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,16,4.204700965919513,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,17,4.203514425925226,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,18,4.137381162570716,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,19,4.091483650755155,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,20,3.0733387605887708,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,21,3.0586050332588264,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,22,2.76139881037142,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,23,3.112901971657665,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,24,3.1272651878027085,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,25,2.763678709101009,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,26,3.322616564341112,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,27,2.82711820940527,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,28,3.126578083099625,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,29,2.6971866307884156,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,30,3.3379616587882324,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,31,2.7123109058337938,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,32,3.1449195240553895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,33,3.0836324952548053,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,34,3.1097937437909997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,35,3.1232078193232162,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,36,3.0779370746447854,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,37,2.724438229561849,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,38,3.1232078193232162,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,39,3.09287844341453,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,40,3.100547795631275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,0,41,3.1232078193232162,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,0,4.422382544201729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,1,4.495454725657839,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,2,4.188496883782267,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,3,4.33732041807605,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,4,4.484448396353051,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,5,4.564420912067882,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,6,4.810689074156299,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,7,4.480438663490418,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,8,4.256078479898369,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,9,4.237996309493003,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,10,4.439444854277895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,11,4.498064788514997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,12,4.332868510062275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,13,4.256536417921963,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,14,4.34614957566409,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,15,4.46147925891832,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,16,4.457960200073542,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,17,4.466473957251738,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,18,4.465050199186734,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,19,4.255153574979312,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,20,3.2360000370193167,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,21,3.2222749574829836,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,22,2.76139881037142,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,23,3.442610033609416,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,24,3.2811779540646975,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,25,3.2032894583700107,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,26,3.453815854254601,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,27,3.0453447750374796,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,28,3.292616220827218,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,29,2.9154131964206256,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,30,3.7251216718933877,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,31,2.7123109058337938,0.0
