episode,snr_db,reward
1,1.0,93.83333333333333
2,1.0,410.8333333333344
3,1.0,93.83333333333333
4,1.0,273.8333333333332
5,1.0,398.83333333333405
6,1.0,428.66666666666686
7,1.0,436.16666666666697
8,1.0,46.50000000000001
9,1.0,228.33333333333334
10,1.0,453.8333333333339
11,1.0,439.5000000000003
12,1.0,92.5
13,1.0,468.99999999999983
14,1.0,451.0000000000001
15,1.0,432.83333333333377
16,1.0,373.00000000000045
17,1.0,456.9999999999999
18,1.0,428.00000000000074
19,1.0,381.8333333333342
20,1.0,369.3333333333331
21,1.0,139.16666666666666
22,1.0,94.16666666666666
23,1.0,428.33333333333337
24,1.0,185.5
25,1.0,398.16666666666754
26,1.0,415.66666666666697
27,1.0,437.66666666666646
28,1.0,93.33333333333334
29,1.0,429.33333333333417
30,1.0,453.0
31,1.0,448.83333333333246
32,1.0,425.83333333333377
33,1.0,408.1666666666671
34,1.0,448.16666666666697
35,1.0,426.16666666666725
36,1.0,93.66666666666666
37,1.0,95.5
38,1.0,426.6666666666672
39,1.0,458.49999999999983
40,1.0,435.83333333333366
41,1.0,92.5
42,1.0,433.83333333333377
43,1.0,425.666666666667
44,1.0,183.83333333333334
45,1.0,460.66666666666663
46,1.0,141.0
47,1.0,412.1666666666675
48,1.0,94.83333333333333
49,1.0,47.83333333333333
50,1.0,410.0000000000007
51,1.0,417.83333333333377
52,1.0,439.83333333333354
53,1.0,450.3333333333331
54,1.0,188.16666666666666
55,1.0,47.333333333333336
56,1.0,454.9999999999998
57,1.0,436.3333333333339
58,1.0,416.5000000000007
59,1.0,91.66666666666664
60,1.0,94.0
61,1.0,426.1666666666667
62,1.0,407.3333333333339
63,1.0,386.8333333333345
64,1.0,436.66666666666674
65,1.0,92.49999999999997
66,1.0,419.1666666666667
67,1.0,416.5000000000007
68,1.0,94.66666666666666
69,1.0,458.333333333333
70,1.0,416.8333333333335
71,1.0,47.000000000000014
72,1.0,442.16666666666754
73,1.0,431.83333333333314
74,1.0,380.00000000000074
75,1.0,93.49999999999999
76,1.0,423.3333333333338
77,1.0,442.83333333333337
78,1.0,429.666666666667
79,1.0,461.66666666666623
80,1.0,423.83333333333377
81,1.0,95.16666666666666
82,1.0,461.6666666666666
83,1.0,367.8333333333341
84,1.0,438.16666666666697
85,1.0,428.66666666666686
86,1.0,444.1666666666659
87,1.0,424.8333333333336
88,1.0,405.8333333333337
89,1.0,47.0
90,1.0,92.33333333333331
91,1.0,432.50000000000045
92,1.0,454.83333333333337
93,1.0,423.33333333333377
94,1.0,90.99999999999999
95,1.0,420.0000000000002
96,1.0,418.83333333333366
97,1.0,46.5
98,1.0,419.9999999999997
99,1.0,397.3333333333341
100,1.0,392.8333333333344
101,1.5,140.66666666666669
102,1.5,184.16666666666669
103,1.5,427.5
104,1.5,459.3333333333331
105,1.5,47.333333333333336
106,1.5,421.66666666666765
107,1.5,141.66666666666666
108,1.5,416.4999999999999
109,1.5,140.0
110,1.5,91.83333333333333
111,1.5,94.33333333333331
112,1.5,449.16666666666697
113,1.5,47.833333333333336
114,1.5,389.00000000000074
115,1.5,186.66666666666669
116,1.5,415.4999999999998
117,1.5,392.6666666666675
118,1.5,94.33333333333333
119,1.5,93.16666666666666
120,1.5,421.0000000000006
121,1.5,93.49999999999999
122,1.5,94.33333333333334
123,1.5,141.0
124,1.5,47.83333333333333
125,1.5,439.33333333333354
126,1.5,93.16666666666666
127,1.5,444.83333333333377
128,1.5,361.49999999999983
129,1.5,94.33333333333334
130,1.5,319.3333333333332
131,1.5,94.66666666666667
132,1.5,139.5
133,1.5,95.0
134,1.5,259.4999999999997
135,1.5,47.5
136,1.5,94.83333333333333
137,1.5,393.00000000000085
138,1.5,47.5
139,1.5,140.66666666666669
140,1.5,421.66666666666697
141,1.5,94.33333333333333
142,1.5,93.66666666666666
143,1.5,424.1666666666677
144,1.5,437.5
145,1.5,371.8333333333337
146,1.5,425.66666666666714
147,1.5,94.83333333333334
148,1.5,137.66666666666669
149,1.5,138.83333333333334
150,1.5,47.5
151,1.5,92.66666666666666
152,1.5,139.83333333333331
153,1.5,47.666666666666664
154,1.5,95.16666666666666
155,1.5,423.0
156,1.5,95.16666666666666
157,1.5,94.66666666666666
158,1.5,95.0
159,1.5,95.0
160,1.5,385.16666666666794
161,1.5,185.0
162,1.5,94.83333333333334
163,1.5,423.0000000000007
164,1.5,48.0
165,1.5,94.33333333333333
166,1.5,405.0000000000002
167,1.5,137.0
168,1.5,447.1666666666659
169,1.5,95.0
170,1.5,402.0000000000004
171,1.5,93.5
172,1.5,47.33333333333334
173,1.5,454.3333333333335
174,1.5,136.33333333333337
175,1.5,187.0
176,1.5,48.0
177,1.5,46.50000000000001
178,1.5,438.66666666666697
179,1.5,439.3333333333334
180,1.5,449.66666666666674
181,1.5,429.6666666666674
182,1.5,448.6666666666671
183,1.5,92.0
184,1.5,418.1666666666673
185,1.5,92.16666666666664
186,1.5,422.83333333333417
187,1.5,436.66666666666754
188,1.5,94.16666666666666
189,1.5,95.66666666666666
190,1.5,430.66666666666737
191,1.5,454.666666666667
192,1.5,48.0
193,1.5,94.83333333333333
