row,col
0,3
1,2
2,1
3,0
0,31
1,30
2,28
3,29
0,56
1,59
2,58
3,57
0,86
1,87
2,84
3,85
0,114
1,115
2,112
3,113
0,141
1,140
2,142
3,143
0,168
1,170
2,171
3,169
4,5
5,4
6,6
7,7
4,32
5,35
6,34
7,33
4,61
5,60
6,62
7,63
4,88
5,89
6,91
7,90
4,117
5,116
6,118
7,119
4,146
5,145
6,147
7,144
4,172
5,173
6,174
7,175
8,10
9,11
10,8
11,9
8,37
9,38
10,39
11,36
8,64
9,66
10,65
11,67
8,95
9,93
10,94
11,92
8,121
9,122
10,120
11,123
8,148
9,149
10,150
11,151
8,176
9,179
10,177
11,178
12,15
13,14
14,12
15,13
12,43
13,41
14,40
15,42
12,71
13,70
14,69
15,68
12,98
13,96
14,97
15,99
12,127
13,124
14,125
15,126
12,152
13,154
14,153
15,155
12,181
13,183
14,182
15,180
16,19
17,16
18,17
19,18
16,47
17,46
18,45
19,44
16,72
17,75
18,74
19,73
16,100
17,102
18,101
19,103
16,128
17,130
18,129
19,131
16,156
17,158
18,157
19,159
16,186
17,184
18,187
19,185
20,21
21,20
22,22
23,23
20,48
21,51
22,49
23,50
20,79
21,77
22,76
23,78
20,104
21,105
22,106
23,107
20,132
21,135
22,133
23,134
20,161
21,160
22,162
23,163
20,189
21,191
22,188
23,190
24,25
25,24
26,27
27,26
24,52
25,54
26,55
27,53
24,83
25,80
26,82
27,81
24,108
25,110
26,109
27,111
24,138
25,137
26,136
27,139
24,167
25,166
26,165
27,164
24,194
25,193
26,192
27,195
28,1
29,0
30,2
31,3
28,32
29,35
30,33
31,34
28,67
29,64
30,65
31,66
28,99
29,96
30,97
31,98
28,129
29,130
30,131
31,128
28,160
29,163
30,161
31,162
28,193
29,195
30,194
31,192
32,7
33,5
34,6
35,4
32,37
33,36
34,38
35,39
32,70
33,69
34,71
35,68
32,101
33,102
34,103
35,100
32,132
33,135
34,133
35,134
32,166
33,167
34,164
35,165
32,170
33,169
34,171
35,168
36,9
37,10
38,8
39,11
36,42
37,41
38,43
39,40
36,75
37,74
38,72
39,73
36,105
37,104
38,106
39,107
36,136
37,139
38,137
39,138
36,142
37,140
38,141
39,143
36,175
37,173
38,172
39,174
40,12
41,14
42,15
43,13
40,44
41,45
42,46
43,47
40,79
41,76
42,77
43,78
40,111
41,109
42,110
43,108
40,112
41,114
42,115
43,113
40,146
41,144
42,145
43,147
40,178
41,177
42,176
43,179
44,17
45,19
46,16
47,18
44,50
45,51
46,48
47,49
44,81
45,82
46,80
47,83
44,84
45,87
46,86
47,85
44,116
45,117
46,119
47,118
44,151
45,148
46,149
47,150
44,183
45,182
46,180
47,181
48,21
49,23
50,22
51,20
48,53
49,54
50,55
51,52
48,57
49,58
50,56
51,59
48,91
49,90
50,88
51,89
48,120
49,123
50,121
51,122
48,153
49,154
50,152
51,155
48,185
49,186
50,184
51,187
52,26
53,24
54,25
55,27
52,31
53,30
54,29
55,28
52,60
53,63
54,62
55,61
52,93
53,95
54,94
55,92
52,127
53,125
54,124
55,126
52,156
53,157
54,158
55,159
52,188
53,191
54,189
55,190
56,2
57,3
58,0
59,1
56,36
57,39
58,38
59,37
56,72
57,75
58,73
59,74
56,110
57,108
58,109
59,111
56,116
57,117
58,119
59,118
56,155
57,154
58,153
59,152
56,190
57,189
58,188
59,191
60,7
61,6
62,5
63,4
60,43
61,42
62,41
63,40
60,77
61,76
62,78
63,79
60,87
61,86
62,85
63,84
60,122
61,123
62,120
63,121
60,156
61,157
62,159
63,158
60,192
61,194
62,195
63,193
64,11
65,10
66,8
67,9
64,47
65,44
66,45
67,46
64,80
65,83
66,82
67,81
64,91
65,89
66,88
67,90
64,127
65,125
66,126
67,124
64,163
65,160
66,162
67,161
64,171
65,168
66,170
67,169
68,15
69,13
70,14
71,12
68,51
69,49
70,48
71,50
68,59
69,57
70,58
71,56
68,92
69,94
70,93
71,95
68,129
69,131
70,130
71,128
68,164
69,166
70,165
71,167
68,175
69,172
70,174
71,173
72,19
73,16
74,17
75,18
72,55
73,52
74,53
75,54
72,61
73,60
74,62
75,63
72,98
73,96
74,97
75,99
72,134
73,135
74,132
75,133
72,142
73,141
74,143
75,140
72,176
73,178
74,177
75,179
76,21
77,22
78,20
79,23
76,30
77,31
78,29
79,28
76,67
77,64
78,65
79,66
76,101
77,103
78,100
79,102
76,137
77,139
78,136
79,138
76,145
77,144
78,146
79,147
76,180
77,181
78,182
79,183
80,26
81,27
82,25
83,24
80,35
81,32
82,33
83,34
80,69
81,68
82,70
83,71
80,106
81,104
82,105
83,107
80,112
81,115
82,114
83,113
80,150
81,151
82,148
83,149
80,184
81,185
82,186
83,187
