row,col
0,15
0,118
0,212
0,313
0,415
1,9
1,108
1,207
1,303
1,416
2,14
2,109
2,206
2,318
2,402
3,7
3,107
3,213
3,302
3,410
4,12
4,104
4,208
4,308
4,408
5,10
5,101
5,217
5,315
5,400
6,6
6,106
6,205
6,300
6,406
7,19
7,111
7,201
7,306
7,418
8,3
8,105
8,210
8,319
8,404
9,0
9,115
9,209
9,311
9,409
10,16
10,100
10,219
10,316
10,412
11,5
11,112
11,214
11,314
11,405
12,11
12,119
12,215
12,305
12,414
13,18
13,102
13,218
13,317
13,419
14,2
14,114
14,203
14,304
14,413
15,4
15,116
15,211
15,301
15,411
16,17
16,110
16,202
16,310
16,401
17,1
17,103
17,200
17,307
17,417
18,13
18,113
18,204
18,309
18,403
19,8
19,117
19,216
19,312
19,407
20,22
20,128
20,228
20,326
20,426
21,29
21,123
21,239
21,338
21,434
22,24
22,138
22,227
22,336
22,427
23,38
23,136
23,232
23,335
23,425
24,36
24,135
24,226
24,327
24,423
25,31
25,132
25,225
25,324
25,424
26,25
26,124
26,231
26,330
26,421
27,23
27,126
27,237
27,321
27,436
28,20
28,125
28,223
28,329
28,428
29,37
29,120
29,233
29,334
29,420
30,21
30,129
30,238
30,337
30,437
31,26
31,134
31,234
31,323
31,438
32,35
32,131
32,235
32,339
32,435
33,28
33,139
33,221
33,328
33,433
34,32
34,130
34,220
34,331
34,439
35,39
35,122
35,224
35,325
35,431
36,34
36,137
36,236
36,333
36,432
37,30
37,127
37,229
37,320
37,422
38,33
38,121
38,222
38,322
38,429
39,27
39,133
39,230
39,332
39,430
40,55
40,144
40,240
40,347
40,457
41,56
41,153
41,248
41,345
41,440
42,51
42,146
42,247
42,357
42,449
43,49
43,149
43,242
43,344
43,456
44,58
44,143
44,244
44,355
44,448
45,43
45,141
45,253
45,342
45,458
46,47
46,150
46,251
46,350
46,455
47,44
47,145
47,243
47,351
47,442
48,50
48,140
48,256
48,341
48,447
49,40
49,142
49,250
49,340
49,451
50,52
50,157
50,241
50,346
50,445
51,59
51,151
51,258
51,352
51,444
52,48
52,158
52,249
52,354
52,450
53,41
53,148
53,257
53,356
53,446
54,46
54,154
54,259
54,349
54,441
55,45
55,152
55,255
55,353
55,459
56,57
56,159
56,246
56,359
56,453
57,42
57,155
57,245
57,358
57,443
58,54
58,156
58,252
58,343
58,454
59,53
59,147
59,254
59,348
59,452
60,71
60,172
60,273
60,360
60,467
61,79
61,171
61,271
61,364
61,463
62,68
62,173
62,278
62,373
62,473
63,65
63,165
63,267
63,375
63,470
64,73
64,163
64,260
64,361
64,469
65,69
65,170
65,274
65,371
65,478
66,66
66,160
66,277
66,374
66,479
67,76
67,169
67,279
67,366
67,471
68,74
68,164
68,269
68,372
68,461
69,77
69,175
69,264
69,376
69,468
70,67
70,176
70,266
70,367
70,464
71,78
71,162
71,268
71,368
71,474
72,72
72,166
72,270
72,378
72,476
73,61
73,167
73,272
73,379
73,477
74,64
74,161
74,265
74,362
74,462
75,63
75,174
75,263
75,365
75,465
76,62
76,168
76,262
76,377
76,466
77,75
77,177
77,276
77,370
77,460
78,70
78,179
78,261
78,369
78,472
79,60
79,178
79,275
79,363
79,475
80,84
80,192
80,286
80,384
80,497
81,99
81,196
81,289
81,395
81,496
82,94
82,183
82,282
82,386
82,488
83,88
83,184
83,280
83,380
83,486
84,95
84,197
84,288
84,381
84,492
85,97
85,180
85,290
85,393
85,489
86,92
86,194
86,299
86,394
86,499
87,81
87,198
87,292
87,397
87,480
88,90
88,182
88,294
88,382
88,483
89,86
89,188
89,291
89,396
89,481
90,96
90,186
90,298
90,398
90,487
91,98
91,195
91,284
91,392
91,493
92,85
92,193
92,297
92,387
92,484
93,87
93,181
93,281
93,391
93,495
94,83
94,189
94,293
94,388
94,482
95,91
95,185
95,285
95,389
95,490
96,89
96,199
96,296
96,390
96,498
97,93
97,190
97,295
97,383
97,491
98,82
98,191
98,283
98,399
98,485
99,80
99,187
99,287
99,385
99,494
100,7
100,121
100,253
100,361
100,496
101,3
101,130
101,255
101,379
101,487
102,16
102,127
102,243
102,367
102,486
103,0
103,124
103,242
103,371
103,482
104,14
104,134
104,244
104,370
104,480
105,17
105,128
105,247
105,364
105,493
106,10
106,131
106,240
106,378
106,491
107,9
107,122
107,254
107,362
107,498
108,1
108,139
108,252
108,374
108,484
109,15
109,133
109,246
109,363
109,492
110,13
110,138
110,249
110,360
110,489
111,12
111,132
111,251
111,376
111,490
112,2
112,126
112,250
112,373
112,499
113,4
113,123
113,248
113,375
113,494
114,11
114,129
114,257
114,365
114,485
115,8
115,135
115,245
115,372
115,497
116,6
116,136
116,258
116,369
116,483
117,19
117,120
117,241
117,368
117,481
118,18
118,125
118,256
118,377
118,495
119,5
119,137
119,259
119,366
119,488
120,38
120,146
120,279
120,387
120,401
121,28
121,143
121,267
121,396
121,405
122,35
122,155
122,262
122,382
122,400
123,25
123,150
123,275
123,388
123,409
124,33
124,158
124,263
124,384
124,407
125,31
125,145
125,277
125,392
125,417
126,23
126,151
126,268
126,389
126,404
127,29
127,154
127,273
127,385
127,411
128,39
128,157
128,274
128,398
128,403
129,26
129,144
129,260
129,394
129,408
130,36
130,141
130,271
130,391
130,415
131,37
131,159
131,278
131,386
131,419
132,22
132,140
132,266
132,395
132,416
133,34
133,142
133,276
133,399
133,402
134,24
134,153
134,269
134,380
134,412
135,21
135,147
135,261
135,393
135,418
136,20
136,152
136,272
136,397
136,413
137,30
137,156
137,265
137,383
137,410
138,32
138,148
138,270
138,390
138,414
139,27
139,149
139,264
139,381
139,406
140,56
140,173
140,285
140,317
140,436
141,51
141,165
141,299
141,314
141,425
142,47
142,167
142,291
142,306
142,420
143,43
143,166
143,281
143,303
143,435
144,52
144,168
144,297
144,312
144,422
145,54
145,177
145,289
145,315
145,423
146,55
146,160
146,282
146,307
146,431
147,44
147,178
147,293
147,308
147,424
148,48
148,176
148,296
148,311
148,429
149,50
149,171
149,294
149,309
149,421
150,45
150,179
150,280
150,319
150,427
151,42
151,162
151,287
151,313
151,439
152,59
152,164
152,286
152,310
152,433
153,53
153,170
153,290
153,300
153,438
154,49
154,161
154,295
154,316
154,428
155,58
155,169
155,298
155,304
155,432
156,57
156,172
156,288
156,302
156,426
157,40
157,163
157,283
157,301
157,437
158,46
158,174
158,292
158,305
158,430
159,41
159,175
159,284
159,318
159,434
160,78
160,181
160,210
160,323
160,458
161,68
161,198
161,204
161,329
161,456
162,76
162,193
162,207
162,333
162,440
163,71
163,195
163,215
163,330
163,452
164,61
164,185
164,201
164,322
164,449
165,79
165,192
165,217
165,337
165,446
166,62
166,194
166,206
166,338
166,459
167,75
167,188
167,202
167,321
167,455
168,64
168,186
168,216
168,324
168,447
169,66
169,182
169,212
169,332
169,445
170,65
170,180
170,205
170,339
170,453
171,67
171,191
171,214
171,334
171,454
172,69
172,196
172,203
172,327
172,448
173,74
173,189
173,209
173,335
173,444
174,72
174,184
174,218
174,328
174,451
175,63
175,190
175,211
175,326
175,441
176,73
176,187
176,208
176,320
176,457
177,70
177,183
177,219
177,325
177,442
178,77
178,199
178,213
178,336
178,443
179,60
179,197
179,200
179,331
179,450
180,98
180,100
180,226
180,349
180,463
181,87
181,116
181,228
181,345
181,469
182,80
182,115
182,231
182,356
182,471
183,95
183,112
183,233
183,353
183,461
184,99
184,107
184,232
184,342
184,464
185,84
185,113
185,225
185,355
185,468
186,83
186,109
186,229
186,346
186,462
187,81
187,102
187,227
187,340
187,473
188,92
188,118
188,238
188,354
188,465
189,88
189,105
189,221
189,352
189,472
190,90
190,119
190,223
190,343
190,476
191,96
191,101
191,239
191,341
191,466
192,93
192,103
192,224
192,357
192,470
193,91
193,111
193,222
193,347
193,467
194,94
194,114
194,235
194,358
194,474
195,85
195,104
195,234
195,344
195,478
196,82
196,110
196,237
196,359
196,475
197,86
197,117
197,230
197,350
197,479
198,97
198,106
198,220
198,348
198,477
199,89
199,108
199,236
199,351
199,460
200,3
200,140
200,290
200,338
200,471
201,5
201,156
201,294
201,325
201,470
202,11
202,149
202,284
202,329
202,468
203,13
203,144
203,285
203,321
203,469
204,19
204,152
204,291
204,336
204,467
205,4
205,145
205,282
205,332
205,473
206,10
206,150
206,293
206,331
206,478
207,17
207,146
207,295
207,320
207,465
208,2
208,158
208,299
208,324
208,476
209,8
209,151
209,281
209,322
209,472
210,12
210,148
210,280
210,326
210,461
211,18
211,154
211,286
211,323
211,464
212,1
212,147
212,298
212,334
212,462
213,14
213,159
213,297
213,335
213,479
214,7
214,153
214,296
214,328
214,475
215,9
215,142
215,288
215,327
215,466
216,6
216,157
216,287
216,339
216,460
217,0
217,141
217,283
217,333
217,474
218,15
218,155
218,292
218,337
218,463
219,16
219,143
219,289
219,330
219,477
220,30
220,162
220,219
220,345
220,498
221,34
221,165
221,218
221,340
221,482
222,36
222,169
222,204
222,344
222,486
223,20
223,179
223,208
223,357
223,487
224,25
224,171
224,216
224,358
224,483
225,26
225,175
225,210
225,348
225,493
226,22
226,161
226,209
226,350
226,481
227,29
227,176
227,206
227,354
227,494
228,37
228,173
228,200
228,359
228,496
229,33
229,166
229,205
229,347
229,484
230,28
230,163
230,215
230,353
230,485
231,32
231,172
231,214
231,346
231,490
232,38
232,164
232,201
232,355
232,488
233,24
233,168
233,207
233,341
233,492
234,27
234,177
234,202
234,352
234,499
235,39
235,174
235,212
235,356
235,489
236,21
236,170
236,217
236,351
236,497
237,31
237,160
237,213
237,343
237,480
238,23
238,178
238,211
238,342
238,491
239,35
239,167
239,203
239,349
239,495
240,40
240,184
240,237
240,372
240,406
241,50
241,188
241,224
241,374
241,405
242,52
242,197
242,231
242,367
242,404
243,58
243,194
243,232
243,373
243,407
244,46
244,198
244,233
244,369
244,402
245,54
245,192
245,236
245,370
245,400
246,47
246,183
246,220
246,379
246,411
247,44
247,195
247,221
247,378
247,418
248,57
248,186
248,222
248,376
248,415
249,42
249,189
249,223
249,364
249,413
250,56
250,193
