row,col
0,0
0,35
0,71
0,104
0,134
0,173
0,199
0,226
0,271
0,272
1,1
1,36
1,72
1,105
1,135
1,174
1,200
1,227
1,256
1,273
2,2
2,37
2,73
2,106
2,136
2,175
2,201
2,228
2,257
2,274
3,3
3,38
3,74
3,107
3,137
3,160
3,202
3,229
3,258
3,275
4,4
4,39
4,75
4,108
4,138
4,161
4,203
4,230
4,259
4,276
5,5
5,40
5,76
5,109
5,139
5,162
5,204
5,231
5,260
5,277
6,6
6,41
6,77
6,110
6,140
6,163
6,205
6,232
6,261
6,278
7,7
7,42
7,78
7,111
7,141
7,164
7,206
7,233
7,262
7,279
8,8
8,43
8,79
8,96
8,142
8,165
8,207
8,234
8,263
8,280
9,9
9,44
9,64
9,97
9,143
9,166
9,192
9,235
9,264
9,281
10,10
10,45
10,65
10,98
10,128
10,167
10,193
10,236
10,265
10,282
11,11
11,46
11,66
11,99
11,129
11,168
11,194
11,237
11,266
11,283
12,12
12,47
12,67
12,100
12,130
12,169
12,195
12,238
12,267
12,284
13,13
13,32
13,68
13,101
13,131
13,170
13,196
13,239
13,268
13,285
14,14
14,33
14,69
14,102
14,132
14,171
14,197
14,224
14,269
14,286
15,15
15,34
15,70
15,103
15,133
15,172
15,198
15,225
15,270
15,287
16,27
16,62
16,85
16,112
16,146
16,182
16,214
16,248
16,272
16,288
17,28
17,63
17,86
17,113
17,147
17,183
17,215
17,249
17,273
17,289
18,29
18,48
18,87
18,114
18,148
18,184
18,216
18,250
18,274
18,290
19,30
19,49
19,88
19,115
19,149
19,185
19,217
19,251
19,275
19,291
20,31
20,50
20,89
20,116
20,150
20,186
20,218
20,252
20,276
20,292
21,16
21,51
21,90
21,117
21,151
21,187
21,219
21,253
21,277
21,293
22,17
22,52
22,91
22,118
22,152
22,188
22,220
22,254
22,278
22,294
23,18
23,53
23,92
23,119
23,153
23,189
23,221
23,255
23,279
23,295
24,19
24,54
24,93
24,120
24,154
24,190
24,222
24,240
24,280
24,296
25,20
25,55
25,94
25,121
25,155
25,191
25,223
25,241
25,281
25,297
26,21
26,56
26,95
26,122
26,156
26,176
26,208
26,242
26,282
26,298
27,22
27,57
27,80
27,123
27,157
27,177
27,209
27,243
27,283
27,299
28,23
28,58
28,81
28,124
28,158
28,178
28,210
28,244
28,284
28,300
29,24
29,59
29,82
29,125
29,159
29,179
29,211
29,245
29,285
29,301
30,25
30,60
30,83
30,126
30,144
30,180
30,212
30,246
30,286
30,302
31,26
31,61
31,84
31,127
31,145
31,181
31,213
31,247
31,287
31,303
32,1
32,46
32,74
32,100
32,142
32,162
32,197
32,236
32,288
32,304
33,2
33,47
33,75
33,101
33,143
33,163
33,198
33,237
33,289
33,305
34,3
34,32
34,76
34,102
34,128
34,164
34,199
34,238
34,290
34,306
35,4
35,33
35,77
35,103
35,129
35,165
35,200
35,239
35,291
35,307
36,5
36,34
36,78
36,104
36,130
36,166
36,201
36,224
36,292
36,308
37,6
37,35
37,79
37,105
37,131
37,167
37,202
37,225
37,293
37,309
38,7
38,36
38,64
38,106
38,132
38,168
38,203
38,226
38,294
38,310
39,8
39,37
39,65
39,107
39,133
39,169
39,204
39,227
39,295
39,311
40,9
40,38
40,66
40,108
40,134
40,170
40,205
40,228
40,296
40,312
41,10
41,39
41,67
41,109
41,135
41,171
41,206
41,229
41,297
41,313
42,11
42,40
42,68
42,110
42,136
42,172
42,207
42,230
42,298
42,314
43,12
43,41
43,69
43,111
43,137
43,173
43,192
43,231
43,299
43,315
44,13
44,42
44,70
44,96
44,138
44,174
44,193
44,232
44,300
44,316
45,14
45,43
45,71
45,97
45,139
45,175
45,194
45,233
45,301
45,317
46,15
